#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   u      g      r      i      z        Mact
 1   7.23 -0.23  0.89125 -0.327 3.733  4.594 12.20  0.049 0.00 17.787 19.799 18.331 17.742 17.578 17.515  0.891 
 1   7.55  0.45  0.10385 -2.124 3.478  4.435  8.70  0.049 0.00 18.780 25.764 22.423 20.826 19.296 18.406  0.104 
 1   7.67 -0.05  0.10106 -2.212 3.487  4.549  7.90  0.051 0.00 18.200 24.966 21.663 20.078 18.645 17.813  0.101 
 1   7.69  0.01  0.77795 -0.676 3.673  4.645  8.70  0.064 0.00 15.160 18.283 16.168 15.252 14.974 14.823  0.778 
 1   7.93  0.53  0.89126 -0.439 3.701  4.578  5.00  0.025 0.00 10.866 13.692 11.627 10.809 10.600 10.506  0.891 
 1   7.97 -0.17  0.40062 -1.601 3.586  4.932  5.20  0.025 0.87 13.393 17.872 15.341 14.007 13.338 12.935  0.401 
 1   8.03 -0.01  0.31002 -1.874 3.563  5.001  8.50  0.052 0.00 17.955 22.932 20.230 18.854 18.009 17.506  0.310 
 1   8.11 -0.11  0.33743 -1.787 3.573  4.992  9.70  0.050 0.00 18.937 23.662 21.051 19.687 18.935 18.482  0.337 
 1   8.15 -0.05  0.18186 -2.268 3.530  5.031  8.00  0.049 0.00 18.441 24.146 21.171 19.703 18.634 18.006  0.182 
 1   8.21 -0.01  0.14136 -2.395 3.500  4.930  7.00  0.050 0.00 17.757 24.100 20.970 19.433 18.120 17.350  0.141 
 1   8.25  0.31  1.59504  0.789 3.856  4.224  6.80  0.041 0.88  9.107 10.339  9.214  9.021  9.039  9.113  1.595 
 1   8.27 -0.21  0.69892 -0.815 3.663  4.694  7.60  0.050 0.77 14.061 17.422 15.256 14.248 13.905 13.706  0.699 
 1   8.29  0.17  0.27419 -1.999 3.547  5.010  8.20  0.045 0.94 17.274 22.633 19.775 18.357 17.396 16.831  0.274 
 1   8.35  0.07  3.64824  2.509 4.012  3.485  8.90  0.044 0.00  7.397  8.419  7.574  7.854  8.091  8.250  3.648 
 1   8.35  0.33  0.13244 -2.479 3.486  4.928  8.30  0.059 0.85 18.651 25.540 22.236 20.647 19.151 18.277  0.132 
 1   8.35  0.39  0.40061 -1.650 3.570  4.916  4.40  0.021 0.00 13.295 18.088 15.555 14.276 13.359 12.831  0.401 
 1   8.43  0.13  0.13304 -2.487 3.488  4.949  5.90  0.037 0.00 16.889 23.541 20.310 18.748 17.323 16.492  0.133 
 1   8.49  0.13  0.29324 -1.936 3.553  4.999  8.60  0.044 0.00 18.210 23.410 20.611 19.215 18.301 17.763  0.293 
 1   8.49  0.45  0.33743 -1.820 3.559  4.967  8.10  0.053 0.93 16.745 21.884 19.142 17.772 16.845 16.303  0.337 
 1   8.55 -0.19  1.02656 -0.033 3.769  4.505  6.80  0.043 0.81 11.321 13.048 11.765 11.264 11.133 11.094  1.027 
 1   8.55  0.43  0.11898 -2.613 3.476  4.976  6.40  0.038 0.98 16.965 24.001 20.641 19.041 17.491 16.590  0.119 
 1   8.57 -0.01  0.43464 -1.545 3.584  4.902  8.80  0.053 0.76 16.974 21.621 19.064 17.731 16.979 16.525  0.435 
 1   8.59 -0.01  0.31528 -1.860 3.564  4.997  8.40  0.051 0.00 17.820 22.772 20.081 18.708 17.869 17.369  0.315 
 1   8.59  0.07  0.24588 -2.074 3.547  5.035  8.10  0.054 0.00 18.054 23.414 20.551 19.130 18.176 17.615  0.246 
 1   8.61 -0.15  0.15204 -2.397 3.511  5.005  8.40  0.046 0.00 19.162 25.365 22.187 20.641 19.444 18.748  0.152 
 1   8.65  0.17  2.41998  1.650 3.943  3.888  6.30  0.032 0.00  6.944  8.013  6.896  7.066  7.252  7.397  2.420 
 1   8.67  0.05  0.42818 -1.566 3.580  4.902  8.00  0.051 0.00 16.685 21.291 18.772 17.460 16.692 16.233  0.428 
 1   8.69  0.03  0.22570 -2.143 3.544  5.058  8.00  0.058 0.00 18.129 23.547 20.665 19.235 18.264 17.692  0.226 
 1   8.71  0.05  0.13491 -2.554 3.490  5.027  8.10  0.051 0.92 18.591 25.348 22.070 20.493 19.047 18.204  0.135 
 1   8.71  0.19  0.10315 -2.804 3.460  5.042  7.00  0.049 0.00 18.780 26.423 22.810 21.164 19.439 18.441  0.103 
 1   8.75 -0.17  0.12800 -2.603 3.494  5.070  7.60  0.048 0.97 18.162 24.957 21.527 19.911 18.546 17.767  0.128 
 1   8.77  0.11  1.17540  0.206 3.784  4.385  8.70  0.047 0.00 12.954 14.485 13.267 12.860 12.780 12.784  1.175 
 1   8.79 -0.29  0.66524 -0.880 3.658  4.717  9.60  0.052 0.00 16.569 19.831 17.697 16.722 16.405 16.226  0.665 
 1   8.79  0.11  0.11327 -2.754 3.471  5.076  6.60  0.040 0.00 18.255 25.545 22.048 20.424 18.817 17.889  0.113 
 1   8.81 -0.01  3.79267 -2.382 4.160  8.303  5.30  0.025 0.00 16.024 17.300 16.947 17.298 17.581 17.838  0.788 
 1   8.83  0.03  0.23931 -2.092 3.547  5.044  7.40  0.037 0.00 17.400 22.722 19.867 18.452 17.507 16.952  0.239 
 1   8.85  0.17  0.43054 -1.571 3.576  4.895  8.70  0.052 0.94 16.726 21.466 18.933 17.628 16.774 16.272  0.431 
 1   8.85  0.27  0.21730 -2.194 3.534  5.051  9.70  0.044 0.00 19.954 25.546 22.621 21.174 20.127 19.513  0.217 
 1   8.85  0.39  0.78435 -0.685 3.666  4.629  9.30  0.050 0.00 15.783 19.217 16.893 15.888 15.586 15.422  0.784 
 1   8.87 -0.19  0.27390 -1.945 3.567  5.034  8.40  0.052 0.87 17.418 22.406 19.645 18.233 17.445 16.975  0.274 
 1   8.87  0.23  0.85463 -0.512 3.690  4.589  7.30  0.047 0.97 12.669 15.649 13.562 12.694 12.447 12.322  0.855 
 1   8.89 -0.11  0.08852 -3.154 3.431  5.211  5.20  0.026 0.74 17.663 27.051 22.622 20.850 18.754 17.535  0.089 
 1   8.89 -0.01  0.54977 -1.257 3.608  4.814  8.70  0.051 0.00 16.613 20.745 18.306 17.055 16.533 16.214  0.550 
 1   8.89  0.01  0.57642 -1.194 3.614  4.793  9.00  0.051 0.00 16.754 20.827 18.391 17.161 16.666 16.366  0.576 
 1   8.91  0.23  1.19524  0.233 3.783  4.362 12.50  0.056 0.77 16.438 18.177 16.832 16.352 16.246 16.230  1.195 
 1   8.93 -0.33  0.24265 -2.020 3.569  5.065  8.10  0.045 0.00 17.921 22.778 20.043 18.622 17.904 17.475  0.243 
 1   8.93 -0.05  1.19937  0.300 3.801  4.368  7.50  0.050 0.94 10.936 12.340 11.220 10.864 10.795 10.806  1.199 
 1   8.93  0.17  0.17120 -2.429 3.509  5.081  7.40  0.045 0.00 18.241 24.422 21.314 19.794 18.549 17.820  0.171 
 1   8.95 -0.13  0.20437 -2.198 3.548  5.086  9.50  0.050 0.00 19.765 25.146 22.211 20.760 19.858 19.329  0.204 
 1   8.95 -0.11  0.16673 -2.431 3.518  5.109  7.50  0.044 0.00 18.348 24.396 21.258 19.731 18.587 17.921  0.167 
 1   8.95  0.01  0.55701 -1.242 3.609  4.807  8.60  0.050 0.72 16.096 20.355 17.893 16.628 16.042 15.680  0.557 
 1   8.95  0.25  0.34522 -1.797 3.560  4.960  8.40  0.052 0.00 17.663 22.713 20.009 18.648 17.747 17.217  0.345 
 1   8.97 -0.05  0.33486 -1.801 3.569  4.988  9.00  0.050 0.75 17.778 22.721 20.026 18.646 17.821 17.328  0.335 
 1   8.97  0.17  0.21231 -2.208 3.534  5.057  6.90  0.039 0.97 16.470 22.065 19.136 17.689 16.641 16.026  0.212 
 1   8.97  0.17  0.72445 -0.837 3.649  4.676  9.10  0.062 1.00 15.210 18.856 16.495 15.416 15.062 14.860  0.724 
 1   8.99 -0.07  1.33215  0.556 3.831  4.274 10.30  0.048 0.00 13.679 14.894 13.850 13.630 13.619 13.671  1.332 
 1   8.99  0.11  0.85098 -0.499 3.695  4.594 12.70  0.061 0.00 18.718 21.497 19.538 18.732 18.502 18.388  0.851 
 1   8.99  0.13  0.10654 -2.981 3.455  5.211  6.70  0.036 0.00 18.923 27.012 23.113 21.426 19.616 18.588  0.107 
 1   8.99  0.27  0.26945 -2.015 3.545  5.009  8.60  0.060 0.00 18.407 23.803 20.937 19.513 18.543 17.971  0.269 
 1   9.01 -0.25  0.80802 -0.494 3.710  4.627  7.30  0.040 0.00 13.305 15.643 13.972 13.287 13.086 12.995  0.808 
 1   9.01 -0.03  0.43421 -1.541 3.585  4.901 10.20  0.049 0.00 18.822 23.328 20.817 19.502 18.799 18.375  0.434 
 1   9.01 -0.01  1.35051  0.569 3.826  4.250 10.10  0.051 0.00 13.448 14.689 13.629 13.391 13.374 13.421  1.351 
 1   9.01  0.01  0.19592 -2.264 3.536  5.085  9.00  0.047 0.00 19.431 25.001 22.073 20.625 19.595 18.990  0.196 
 1   9.01  0.05  0.95836 -0.225 3.736  4.534  8.50  0.047 0.00 13.832 15.914 14.366 13.764 13.608 13.552  0.958 
 1   9.01  0.17  1.55871  0.818 3.839  4.114  6.80  0.038 0.00  9.524 10.751  9.640  9.443  9.454  9.521  1.559 
 1   9.01  0.17  0.49623 -1.410 3.590  4.848  7.00  0.037 0.00 15.294 19.736 17.271 16.005 15.285 14.856  0.496 
 1   9.03 -0.39  0.27973 -1.891 3.580  5.041  9.00  0.053 0.00 18.497 23.068 20.465 19.077 18.440 18.056  0.280 
 1   9.03 -0.13  0.17826 -2.361 3.529  5.113  8.80  0.053 0.00 19.472 25.273 22.207 20.703 19.655 19.043  0.178 
 1   9.03 -0.07  0.43508 -1.531 3.587  4.902  8.60  0.046 0.89 16.589 21.106 18.585 17.261 16.563 16.141  0.435 
 1   9.03 -0.05  0.27839 -1.955 3.559  5.021  8.10  0.057 0.00 17.757 22.833 20.073 18.677 17.822 17.314  0.278 
 1   9.03  0.07  0.17930 -2.381 3.520  5.099  9.00  0.052 0.72 19.349 25.517 22.418 20.903 19.666 18.934  0.179 
 1   9.03  0.09  0.33795 -1.807 3.563  4.973  9.40  0.040 0.00 18.687 23.637 20.960 19.602 18.741 18.231  0.338 
 1   9.03  0.13  0.23860 -2.106 3.542  5.036  5.90  0.029 0.90 15.293 20.751 17.861 16.432 15.430 14.843  0.239 
 1   9.03  0.13  0.21402 -2.197 3.537  5.059  8.50  0.059 0.00 18.763 24.329 21.409 19.962 18.933 18.328  0.214 
 1   9.05 -0.31  0.72734 -0.694 3.682  4.669 12.50  0.048 0.00 19.004 21.801 19.887 19.064 18.807 18.672  0.727 
 1   9.05 -0.21  0.32836 -1.791 3.577  5.000  7.00  0.048 0.00 16.246 20.869 18.278 16.909 16.215 15.795  0.328 
 1   9.05 -0.07  0.19549 -2.253 3.540  5.090  8.30  0.047 0.00 18.703 24.223 21.274 19.818 18.839 18.265  0.195 
 1   9.05 -0.05  0.27854 -1.954 3.559  5.021  8.30  0.053 0.00 17.956 23.025 20.267 18.871 18.018 17.510  0.279 
 1   9.05  0.03  0.50039 -1.387 3.595  4.852  8.40  0.052 0.00 16.638 20.965 18.501 17.216 16.594 16.216  0.500 
 1   9.05  0.27  0.18515 -2.352 3.519  5.081  8.90  0.041 0.88 18.971 25.059 21.980 20.472 19.257 18.545  0.185 
 1   9.05  0.35  0.36281 -1.749 3.563  4.946  9.60  0.053 0.00 18.742 23.726 21.076 19.740 18.829 18.296  0.363 
 1   9.07 -0.15  2.30343 -0.678 4.519  7.984  9.30  0.048 0.00 15.765 18.329 18.661 19.165 19.534 19.880  0.704 
 1   9.07 -0.13  0.27865 -1.940 3.564  5.026  7.90  0.047 0.98 16.792 21.763 19.025 17.627 16.823 16.344  0.279 
 1   9.07  0.09  1.38387  0.603 3.822  4.210  7.00  0.047 0.00 10.263 11.541 10.444 10.186 10.165 10.211  1.384 
 1   9.07  0.19  0.20737 -2.228 3.532  5.059 10.30  0.045 0.93 19.970 25.659 22.705 21.246 20.165 19.531  0.207 
