#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   u      g      r      i      z        Mact
 1   6.85  0.17  0.32285 -1.859 3.557  4.979  6.80  0.200 0.00 16.217 21.572 18.765 17.334 16.405 15.845  0.323 
 1   6.85  0.35  0.52670 -1.341 3.595  4.827 10.10  0.410 0.00 18.222 23.193 20.615 19.262 18.477 17.981  0.527 
 1   7.05  0.21  0.14347 -1.756 3.491  4.260  8.60  0.404 0.00 17.759 24.918 21.577 19.899 18.428 17.540  0.143 
 1   7.15  0.17  0.19225 -2.176 3.526  4.948  8.50  0.307 0.00 18.709 24.848 21.808 20.263 19.103 18.400  0.192 
 1   7.17  0.51  0.52816 -1.337 3.595  4.826 10.70  0.354 0.00 18.813 23.727 21.178 19.867 19.053 18.547  0.528 
 1   7.21 -0.27  0.95617 -0.165 3.757  4.558  7.90  0.331 0.00 13.083 15.213 13.854 13.272 13.091 13.003  0.956 
 1   7.21  0.15  0.65325 -1.024 3.630  4.742 10.00  0.382 0.88 16.790 21.321 18.762 17.461 16.924 16.574  0.653 
 1   7.23  0.25  0.18397 -1.802 3.491  4.301  7.40  0.273 0.77 16.232 22.902 19.708 18.108 16.753 15.936  0.142 
 1   7.27  0.03  0.16221 -1.792 3.504  4.375  8.00  0.278 0.94 16.605 23.137 19.980 18.390 17.086 16.302  0.153 
 1   7.27  0.29  0.39943 -1.654 3.570  4.918  9.60  0.386 0.73 18.058 23.555 20.793 19.342 18.371 17.775  0.399 
 1   7.31  0.13  0.33280 -1.828 3.561  4.976  9.00  0.410 0.85 17.745 23.431 20.546 19.042 18.075 17.476  0.333 
 1   7.37  0.31  0.56200 -1.255 3.604  4.803  9.30  0.413 0.00 17.207 22.057 19.471 18.123 17.429 16.982  0.562 
 1   7.39 -0.27  0.32285 -1.797 3.580  5.010  4.40  0.078 0.89 13.022 17.698 15.080 13.691 13.005 12.588  0.323 
 1   7.39 -0.09  0.52670 -1.303 3.607  4.837  7.70  0.310 0.00 15.726 20.244 17.726 16.385 15.817 15.452  0.527 
 1   7.39  0.19  0.26331 -2.035 3.544  5.015  8.40  0.343 0.00 18.257 24.117 21.142 19.621 18.591 17.961  0.263 
 1   7.47  0.09  0.17231 -2.024 3.515  4.706  7.50  0.326 0.00 17.331 23.744 20.626 19.044 17.797 17.042  0.172 
 1   7.51 -0.29  1.43288  0.703 3.879  4.354  8.90  0.309 0.00 11.913 13.438 12.309 12.165 12.182 12.231  1.433 
 1   7.55  0.09  0.51559 -1.359 3.596  4.841  9.00  0.422 0.00 17.166 22.067 19.474 18.078 17.381 16.929  0.516 
 1   7.59  0.07  1.06269 -0.044 3.758  4.488  8.80  0.315 0.00 13.681 15.890 14.426 13.827 13.657 13.578  1.063 
 1   7.67 -0.07  0.34035 -1.786 3.571  4.988  8.30  0.359 0.00 17.536 22.791 20.057 18.591 17.758 17.233  0.340 
 1   7.77  0.29  0.12562 -2.179 3.485  4.602  5.80  0.174 0.83 15.398 22.475 19.126 17.497 15.978 15.081  0.126 
 1   7.77  0.47  0.24724 -2.086 3.540  5.024  7.40  0.249 0.00 17.386 23.173 20.211 18.712 17.672 17.044  0.247 
 1   7.79  0.57  0.45799 -1.507 3.581  4.875  9.40  0.386 0.00 17.939 23.120 20.566 19.229 18.252 17.665  0.458 
 1   7.83 -0.25  3.45712  2.229 4.139  4.248 10.70  0.426 0.00  9.897 11.741 11.194 11.406 11.607 11.767  3.457 
 1   7.83  0.51  0.67572 -0.974 3.634  4.723 10.80  0.403 0.83 17.547 22.205 19.584 18.293 17.713 17.334  0.676 
 1   7.85 -0.05  0.13507 -2.202 3.500  4.718  6.80  0.268 0.00 17.076 23.797 20.550 18.929 17.582 16.778  0.135 
 1   7.99 -0.13  0.17903 -2.254 3.532  5.018  8.20  0.337 0.00 18.606 24.756 21.640 20.060 18.976 18.317  0.179 
 1   7.99 -0.05  0.41183 -1.595 3.582  4.921  9.00  0.367 0.00 17.758 22.818 20.173 18.740 17.959 17.464  0.412 
 1   8.01 -0.33  0.80397 -0.492 3.715  4.640  7.90  0.336 0.00 13.901 16.604 14.895 14.137 13.887 13.744  0.804 
 1   8.05 -0.13  0.89377 -0.351 3.726  4.589 10.90  0.389 0.00 16.546 19.234 17.541 16.798 16.560 16.424  0.894 
 1   8.05  0.23  0.78445 -0.698 3.665  4.638  9.60  0.343 0.00 16.115 19.941 17.570 16.483 16.126 15.905  0.784 
 1   8.05  0.39  0.63578 -1.074 3.623  4.755 10.20  0.357 0.00 17.656 22.238 19.629 18.334 17.782 17.426  0.636 
 1   8.05  0.55  1.10372  0.023 3.761  4.450 13.60  0.449 0.76 18.069 20.799 19.060 18.321 18.106 17.989  1.104 
 1   8.07 -0.17  0.11605 -2.514 3.495  4.941  7.30  0.274 0.87 17.718 24.856 21.382 19.697 18.274 17.440  0.116 
 1   8.07  0.01  0.36804 -1.723 3.571  4.959  7.50  0.260 0.97 15.860 20.975 18.295 16.877 16.030 15.506  0.368 
 1   8.07  0.43  1.04898 -0.087 3.748  4.484  8.50  0.369 0.00 13.488 16.074 14.357 13.655 13.462 13.366  1.049 
 1   8.09 -0.23  0.43006 -1.518 3.595  4.914  9.60  0.410 0.00 18.166 22.993 20.408 18.982 18.334 17.915  0.430 
 1   8.09  0.05  1.17079  0.187 3.786  4.409  9.40  0.396 0.00 13.703 15.746 14.432 13.920 13.775 13.713  1.171 
 1   8.11 -0.17  0.39240 -1.624 3.585  4.941  9.30  0.435 0.00 18.130 23.215 20.549 19.085 18.350 17.876  0.392 
 1   8.13  0.09  0.30960 -1.886 3.558  4.993  9.20  0.325 0.00 18.685 24.206 21.362 19.889 18.950 18.373  0.310 
 1   8.13  0.51  0.09859 -2.652 3.467  4.898  6.30  0.209 0.99 16.964 24.580 21.041 19.363 17.682 16.692  0.099 
 1   8.17 -0.03  3.48890  2.285 4.093  4.012 10.70  0.440 0.00  9.758 11.492 10.806 10.995 11.182 11.318  3.489 
 1   8.17  0.19  1.49737  0.666 3.838  4.247 10.60  0.444 0.00 13.704 15.559 14.316 13.977 13.909 13.899  1.497 
 1   8.21 -0.05  0.63943 -1.021 3.634  4.749  8.70  0.363 0.72 15.696 20.077 17.585 16.313 15.803 15.469  0.639 
