#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   u      g      r      i      z        Mact
 1   6.61 -0.01  0.37772 -1.694 3.574  4.951 10.10  0.133 0.00 19.106 23.948 21.346 19.978 19.175 18.686  0.378 
 1   6.91  0.17  0.34060 -1.810 3.560  4.968 10.90  0.119 0.00 20.196 25.344 22.610 21.221 20.319 19.782  0.341 
 1   6.95  0.07  0.23314 -2.122 3.544  5.049  8.20  0.107 0.87 17.657 23.218 20.301 18.847 17.841 17.245  0.233 
 1   7.07 -0.09  1.00779 -0.124 3.753  4.523  9.00  0.147 0.00 14.080 16.026 14.644 14.095 13.945 13.890  1.008 
 1   7.07  0.15  5.02677  2.738 4.214  4.203  9.20  0.127 0.00  7.124  8.646  8.432  8.788  9.070  9.319  5.027 
 1   7.11 -0.17  0.12797 -1.821 3.506  4.336  8.50  0.129 0.00 17.822 24.279 21.019 19.427 18.182 17.453  0.128 
 1   7.11 -0.07  0.71182 -0.828 3.658  4.694  9.90  0.127 0.00 16.739 20.215 17.981 16.956 16.624 16.431  0.712 
 1   7.13  0.09  0.16133 -1.851 3.507  4.470  8.50  0.121 0.00 17.896 24.186 21.084 19.546 18.271 17.516  0.161 
 1   7.29 -0.03  0.11837 -1.921 3.495  4.360  7.90  0.104 0.77 16.896 23.600 20.345 18.760 17.354 16.529  0.118 
 1   7.33 -0.25  0.06324 -2.408 3.457  4.421  7.90  0.107 0.94 17.981 26.281 22.229 20.482 18.668 17.679  0.063 
 1   7.37 -0.15  0.55201 -1.222 3.616  4.814  8.60  0.128 0.73 16.043 20.264 17.813 16.544 16.009 15.678  0.552 
 1   7.37  0.09  1.10922  0.042 3.768  4.458 10.60  0.147 0.00 15.265 17.109 15.766 15.260 15.136 15.100  1.109 
 1   7.41 -0.27  0.40717 -1.567 3.593  4.932  7.10  0.090 0.85 15.224 19.654 17.142 15.798 15.183 14.808  0.407 
 1   7.45 -0.09  6.61803  3.278 4.285  4.066  9.10  0.157 0.00  5.674  7.526  7.449  7.823  8.117  8.378  6.618 
 1   7.51 -0.31  0.18140 -2.059 3.544  4.876  9.80  0.134 0.00 19.718 25.381 22.304 20.779 19.873 19.334  0.181 
 1   7.53  0.15  0.33187 -1.832 3.559  4.975 10.90  0.156 0.00 20.251 25.474 22.715 21.308 20.400 19.855  0.332 
 1   7.55  0.33  0.20644 -2.201 3.525  4.969 10.00  0.152 0.93 19.561 25.425 22.441 20.948 19.837 19.175  0.192 
 1   7.63 -0.23  0.69437 -0.823 3.662  4.698 11.10  0.131 0.00 17.928 21.252 19.108 18.130 17.810 17.625  0.694 
 1   7.63 -0.15  0.18225 -1.940 3.510  4.531 10.30  0.153 0.81 19.359 25.461 22.337 20.789 19.661 18.990  0.147 
 1   7.65 -0.07  0.11475 -2.119 3.494  4.540  7.70  0.077 0.98 17.026 23.649 20.388 18.807 17.440 16.643  0.115 
 1   7.65  0.25  0.32177 -1.864 3.555  4.977 10.80  0.126 0.00 20.230 25.504 22.710 21.302 20.375 19.823  0.322 
 1   7.67 -0.13  0.19591 -1.961 3.510  4.556  9.40  0.122 0.76 18.574 24.554 21.473 19.947 18.845 18.188  0.148 
 1   7.67  0.19  1.57123  0.751 3.854  4.244 11.00  0.143 0.00 13.892 15.227 14.102 13.917 13.932 13.995  1.571 
 1   7.67  0.25  0.38768 -1.685 3.568  4.928 10.20  0.178 0.00 19.183 24.265 21.618 20.252 19.340 18.795  0.388 
 1   7.69 -0.13  0.14336 -2.002 3.508  4.574  9.70  0.174 0.00 19.476 25.927 22.700 21.111 19.862 19.126  0.143 
 1   7.69  0.05  0.05710 -2.789 3.437  4.679  7.00  0.078 0.71 18.285 26.869 23.081 21.401 19.354 18.095  0.057 
 1   7.71 -0.05  0.14859 -1.996 3.506  4.576  9.60  0.130 0.00 19.359 25.725 22.570 21.012 19.738 18.987  0.149 
 1   7.73  0.21  0.06438 -2.730 3.446  4.707  8.20  0.116 0.86 19.173 27.429 23.692 22.011 20.076 18.927  0.064 
 1   7.77 -0.03  0.68449 -0.910 3.646  4.714  9.60  0.157 0.00 16.645 20.386 18.048 16.942 16.569 16.346  0.684 
 1   7.83  0.07  0.29049 -1.938 3.555  5.006 10.10  0.151 0.83 19.136 24.533 21.686 20.249 19.306 18.742  0.290 
 1   7.83  0.11  2.01067  1.221 3.949  4.260  8.80  0.133 0.00 10.517 11.735 10.618 10.751 10.916 11.055  2.011 
 1   7.85 -0.11  0.53064 -1.288 3.609  4.833  9.40  0.117 0.00 17.389 21.572 19.131 17.863 17.343 17.023  0.531 
 1   7.85  0.11  0.37586 -1.710 3.569  4.944 10.50  0.129 0.00 19.544 24.508 21.871 20.507 19.645 19.128  0.376 
 1   7.87  0.05  0.48061 -1.441 3.590  4.868  9.20  0.118 0.00 17.572 22.097 19.594 18.280 17.593 17.172  0.481 
 1   7.87  0.29  0.51752 -1.363 3.593  4.834 10.40  0.134 0.00 18.578 23.135 20.653 19.380 18.642 18.196  0.518 
 1   7.91 -0.19  0.10399 -2.442 3.491  4.807  9.10  0.127 0.00 19.975 26.890 23.450 21.810 20.423 19.623  0.104 
 1   7.91 -0.15  0.46242 -1.453 3.597  4.888  8.20  0.115 0.00 16.603 20.950 18.480 17.163 16.574 16.210  0.462 
 1   7.93  0.27  0.29649 -1.935 3.550  4.992 10.70  0.150 0.00 20.306 25.735 22.867 21.427 20.480 19.914  0.296 
 1   7.95 -0.19  0.43185 -1.521 3.593  4.912 10.90  0.141 0.76 19.015 23.578 21.037 19.678 19.025 18.621  0.432 
 1   7.95  0.03  0.36255 -1.740 3.570  4.963 10.60  0.142 0.00 19.720 24.673 22.028 20.650 19.815 19.308  0.363 
 1   7.97 -0.39  0.96594 -0.087 3.772  4.545  6.70  0.083 0.97 11.004 12.572 11.428 10.985 10.868 10.839  0.966 
 1   7.97 -0.33  0.46553 -1.412 3.607  4.892  8.00  0.112 0.74 15.878 20.111 17.670 16.367 15.823 15.490  0.466 
 1   7.99 -0.35  0.33527 -1.752 3.586  5.007 10.40  0.128 0.00 19.550 24.086 21.530 20.152 19.531 19.150  0.335 
 1   7.99  0.09  0.32001 -1.858 3.560  4.987 10.50  0.156 0.00 19.916 25.126 22.367 20.957 20.060 19.520  0.320 
 1   7.99  0.19  0.24005 -2.111 3.539  5.032  9.60  0.158 0.00 19.648 25.316 22.380 20.908 19.877 19.262  0.240 
 1   7.99  0.51  2.36854  1.501 3.987  4.203 10.00  0.149 0.77 10.700 11.916 10.866 11.003 11.174 11.315  2.369 
 1   8.01  0.19  0.29738 -1.931 3.551  4.992  7.80  0.082 0.92 16.728 22.079 19.229 17.808 16.862 16.302  0.297 
 1   8.01  0.31  0.25936 -2.048 3.543  5.016  8.60  0.125 0.99 17.751 23.300 20.396 18.944 17.943 17.348  0.259 
 1   8.01  0.39  0.15939 -2.320 3.504  4.921 10.10  0.131 0.86 20.026 26.564 23.389 21.822 20.466 19.664  0.159 
 1   8.03  0.15  0.30467 -1.906 3.554  4.991  8.20  0.108 0.00 17.734 23.005 20.199 18.788 17.867 17.319  0.305 
 1   8.03  0.17  0.49378 -1.419 3.589  4.852  8.90  0.119 0.00 17.217 21.797 19.302 18.007 17.265 16.818  0.494 
 1   8.05  0.13  0.33134 -1.832 3.560  4.977  9.00  0.134 0.00 18.349 23.519 20.776 19.378 18.480 17.942  0.331 
 1   8.07 -0.31  0.09265 -2.667 3.484  4.956  7.60  0.098 0.74 18.592 26.150 22.437 20.741 19.182 18.275  0.093 
 1   8.07 -0.01  0.25640 -2.029 3.553  5.035  9.20  0.126 0.00 19.044 24.378 21.536 20.105 19.186 18.637  0.256 
 1   8.07  0.15  1.07910 -0.017 3.759  4.468 13.30  0.143 0.72 17.909 20.030 18.535 17.931 17.765 17.697  1.079 
 1   8.07  0.21  0.11399 -2.546 3.477  4.896  9.10  0.109 0.84 19.625 26.872 23.451 21.823 20.227 19.291  0.114 
 1   8.09 -0.15  0.09322 -2.674 3.478  4.938  8.30  0.108 0.00 19.756 27.030 23.480 21.818 20.288 19.413  0.093 
 1   8.09  0.21  0.30739 -1.903 3.553  4.986  9.30  0.149 0.75 18.341 23.823 20.950 19.506 18.531 17.948  0.307 
 1   8.09  0.33  0.58288 -1.205 3.609  4.792  8.90  0.129 0.00 16.683 21.033 18.542 17.300 16.695 16.325  0.583 
 1   8.11 -0.25  0.36765 -1.681 3.586  4.973 10.30  0.125 1.00 18.520 23.087 20.532 19.164 18.514 18.116  0.368 
 1   8.15  0.19  0.26824 -2.020 3.545  5.012 10.10  0.146 0.00 19.919 25.450 22.552 21.099 20.113 19.526  0.268 
 1   8.17 -0.05  0.12881 -2.460 3.495  4.936  8.90  0.123 0.00 19.821 26.453 23.210 21.624 20.259 19.458  0.129 
 1   8.17  0.11  0.26418 -2.022 3.548  5.021 10.10  0.153 0.92 19.249 24.767 21.870 20.416 19.441 18.859  0.264 
 1   8.17  0.15  0.18189 -2.287 3.520  5.012  7.90  0.083 0.00 18.388 24.310 21.309 19.821 18.659 17.974  0.182 
 1   8.17  0.19  0.10570 -2.609 3.472  4.906  8.70  0.132 0.00 19.994 27.286 23.851 22.212 20.609 19.671  0.106 
 1   8.17  0.23  0.15640 -2.338 3.501  4.920  9.00  0.125 0.00 19.614 26.051 22.907 21.350 20.026 19.243  0.156 
 1   8.17  0.29  0.24481 -2.095 3.540  5.027  9.10  0.127 0.00 19.107 24.713 21.793 20.333 19.312 18.706  0.245 
 1   8.19 -0.17  0.40717 -1.585 3.587  4.928  8.70  0.125 0.00 17.432 21.981 19.446 18.094 17.434 17.029  0.407 
 1   8.19 -0.11  0.24671 -2.044 3.557  5.048  8.60  0.124 0.00 18.480 23.745 20.900 19.458 18.592 18.073  0.247 
 1   8.21 -0.19  0.42990 -1.526 3.592  4.913  9.70  0.114 0.91 17.647 22.127 19.611 18.268 17.633 17.243  0.430 
 1   8.21  0.15  0.70462 -0.891 3.643  4.697  8.30  0.119 0.00 15.299 19.110 16.711 15.588 15.202 14.973  0.705 
 1   8.21  0.21  0.24273 -2.102 3.539  5.029  9.20  0.126 0.00 19.226 24.839 21.916 20.456 19.432 18.824  0.243 
 1   8.21  0.33  0.77817 -0.713 3.664  4.642 11.30  0.141 0.00 17.852 21.446 19.095 18.052 17.725 17.538  0.778 
 1   8.23 -0.05  1.33042  0.490 3.827  4.327  6.80  0.082 0.00 10.344 11.618 10.565 10.320 10.297 10.339  1.330 
