#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   u      g      r      i      z        Mact
 1   6.85  0.21  0.20648 -2.234 3.532  5.061  7.20  0.114 0.00 17.556 23.304 20.339 18.862 17.787 17.149  0.206 
 1   6.97 -0.15  0.06750 -2.234 3.465  4.308  8.00  0.135 0.00 18.356 26.133 22.388 20.687 19.003 18.048  0.067 
 1   7.17  0.03  0.16920 -1.932 3.516  4.608  8.00  0.140 0.00 17.601 23.710 20.664 19.145 17.937 17.220  0.169 
 1   7.37  0.23  0.78119 -0.708 3.664  4.642  8.60  0.115 0.00 15.141 18.628 16.332 15.315 14.997 14.817  0.781 
 1   7.43 -0.05  0.02422 -3.143 3.343  4.282  5.20  0.059 0.00 17.827 29.831 24.730 22.611 20.035 18.142  0.024 
 1   7.51  0.27  1.10139  0.011 3.760  4.455  8.60  0.117 0.80 13.028 15.164 13.613 13.005 12.850 12.793  1.101 
 1   7.71  0.19  0.46528 -1.489 3.582  4.871  5.40  0.063 0.00 13.893 18.503 16.014 14.730 13.929 13.455  0.465 
 1   7.71  0.27  0.09965 -2.265 3.474  4.544 10.20  0.143 0.87 19.997 27.364 23.906 22.260 20.636 19.684  0.100 
 1   7.75  0.15  0.24891 -2.074 3.543  5.026  7.60  0.128 0.00 17.555 23.098 20.193 18.741 17.745 17.153  0.249 
 1   7.77 -0.21  0.25858 -1.989 3.565  5.046  8.20  0.124 0.00 17.943 23.011 20.234 18.797 18.010 17.534  0.259 
 1   7.81  0.01  0.11291 -2.277 3.488  4.667  9.30  0.156 0.00 19.763 26.609 23.333 21.730 20.280 19.425  0.113 
 1   7.83 -0.03  0.09659 -2.399 3.481  4.690  4.90  0.050 0.00 15.667 22.600 19.254 17.656 16.158 15.289  0.097 
 1   7.87  0.03  0.28334 -1.955 3.556  5.015  6.90  0.104 0.00 16.556 21.781 18.988 17.578 16.675 16.137  0.283 
 1   7.91 -0.17  1.10140  0.098 3.786  4.470  8.90  0.145 0.88 12.956 14.653 13.437 12.976 12.856 12.823  1.101 
 1   7.97  0.15  0.16920 -2.274 3.512  4.933  9.90  0.153 0.82 19.693 26.115 22.980 21.424 20.114 19.335  0.169 
 1   7.99  0.15  2.00561  1.214 3.942  4.240  9.00  0.156 0.73 10.482 11.769 10.633 10.665 10.774 10.881  2.006 
 1   8.01  0.01  0.21207 -2.193 3.542  5.072  8.50  0.141 0.00 18.753 24.347 21.420 19.956 18.954 18.357  0.212 
 1   8.03  0.37  0.07259 -2.875 3.444  4.896  7.80  0.117 0.85 19.163 27.660 23.795 22.094 20.109 18.931  0.073 
 1   8.09 -0.03  0.36189 -1.735 3.573  4.968  8.30  0.124 0.00 17.407 22.264 19.643 18.268 17.471 16.985  0.362 
 1   8.09  0.03  0.26285 -2.016 3.552  5.028  6.80  0.113 0.00 16.609 21.943 19.101 17.675 16.748 16.197  0.263 
 1   8.11  0.05  0.11605 -2.531 3.485  4.918  8.50  0.110 0.89 18.937 25.906 22.582 20.975 19.470 18.588  0.116 
 1   8.11  0.35  0.08716 -2.748 3.456  4.896  7.50  0.106 0.00 19.140 26.956 23.317 21.650 19.874 18.838  0.087 
 1   8.13  0.31  0.11892 -2.525 3.480  4.903  7.60  0.133 0.00 18.682 25.737 22.386 20.767 19.242 18.347  0.119 
 1   8.15  0.35  0.25858 -2.050 3.543  5.017  7.20  0.106 0.00 17.095 22.610 19.714 18.268 17.273 16.682  0.259 
 1   8.17  0.31  0.71348 -0.877 3.644  4.691  9.20  0.155 0.93 15.554 19.568 17.089 15.922 15.496 15.238  0.713 
 1   8.17  0.37  0.24495 -2.094 3.540  5.026  7.90  0.118 0.00 17.906 23.497 20.580 19.124 18.105 17.500  0.245 
 1   8.19  0.11  0.14689 -2.366 3.498  4.910  6.70  0.099 0.00 17.385 23.851 20.694 19.138 17.795 17.005  0.147 
 1   8.21  0.13  0.42378 -1.586 3.577  4.903  8.70  0.121 0.00 17.435 22.227 19.685 18.357 17.516 17.013  0.424 
 1   8.23 -0.17  0.26551 -1.975 3.564  5.039  8.90  0.129 0.00 18.608 23.704 20.926 19.493 18.687 18.201  0.266 
 1   8.23  0.35  0.90984 -0.392 3.708  4.566  5.40  0.073 0.00 11.151 13.867 11.912 11.130 10.924 10.828  0.910 
 1   8.27  0.11  0.22068 -2.172 3.539  5.057  9.10  0.137 0.00 19.301 24.943 22.007 20.539 19.514 18.904  0.221 
