#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   u      g      r      i      z        Mact
 1   6.61  0.39  1.65686  0.849 3.872  4.242  9.80  0.215 0.00 12.446 13.873 12.688 12.534 12.569 12.642  1.657 
 1   6.85  0.01  0.19667 -2.202 3.537  5.027  7.10  0.122 0.00 17.374 23.026 20.094 18.630 17.589 16.971  0.197 
 1   6.97  0.13  0.83439 -0.563 3.686  4.611 11.40  0.225 0.00 17.578 20.799 18.683 17.765 17.483 17.323  0.834 
 1   7.05 -0.11  0.77996 -0.641 3.685  4.656 10.40  0.184 0.00 16.772 19.825 17.813 16.935 16.659 16.504  0.780 
 1   7.33 -0.11  0.24201 -2.019 3.529  4.770  8.80  0.211 0.73 17.917 23.602 20.639 19.137 18.155 17.560  0.177 
 1   7.41  0.17  0.76205 -0.751 3.660  4.657  9.10  0.197 0.93 15.148 18.913 16.545 15.450 15.084 14.864  0.762 
 1   7.67  0.05  0.85216 -0.498 3.698  4.603  6.80  0.119 0.00 12.816 15.617 13.683 12.878 12.642 12.520  0.852 
 1   7.67  0.15  0.70863 -0.882 3.645  4.696  8.90  0.186 0.00 15.876 19.770 17.353 16.215 15.822 15.585  0.709 
 1   7.73 -0.37  0.10695 -2.212 3.505  4.644  7.60  0.149 0.00 17.901 24.589 21.129 19.469 18.253 17.550  0.107 
 1   7.73  0.43  0.38297 -1.698 3.567  4.932 10.10  0.208 0.92 18.458 23.663 20.983 19.611 18.657 18.089  0.383 
 1   7.75  0.01  0.37031 -1.717 3.572  4.957  8.40  0.188 0.83 16.896 21.966 19.281 17.878 17.028 16.509  0.370 
 1   7.77 -0.07  2.34593  1.523 4.018  4.301 10.80  0.240 0.00 11.762 13.154 12.224 12.426 12.622 12.768  2.346 
 1   7.79  0.27  0.36511 -1.746 3.564  4.947  9.90  0.179 0.97 18.320 23.512 20.798 19.409 18.487 17.935  0.365 
 1   7.81 -0.11  0.26492 -1.987 3.560  5.036  7.70  0.158 0.00 17.438 22.663 19.852 18.410 17.560 17.046  0.265 
 1   7.83 -0.05  1.61617  0.865 3.891  4.294  9.60  0.241 0.00 12.208 13.631 12.479 12.397 12.453 12.531  1.616 
 1   7.85  0.19  0.33551 -1.826 3.558  4.969  8.50  0.184 0.00 17.834 23.127 20.348 18.931 18.008 17.453  0.336 
 1   7.85  0.23  0.36697 -1.741 3.564  4.945  7.50  0.156 0.00 16.622 21.748 19.056 17.677 16.768 16.225  0.367 
 1   7.85  0.33  1.31258  0.399 3.805  4.323  9.80  0.197 0.00 13.573 15.244 13.986 13.591 13.517 13.520  1.313 
 1   7.89 -0.03  1.37325  0.542 3.833  4.313 11.40  0.235 0.00 14.814 16.314 15.202 14.927 14.886 14.906  1.373 
 1   7.89  0.03  1.89805  1.135 3.939  4.282  7.50  0.128 0.87  8.956 10.190  9.067  9.113  9.233  9.352  1.898 
 1   7.89  0.09  0.58489 -1.187 3.613  4.791  8.30  0.185 0.00 16.037 20.352 17.859 16.588 16.050 15.714  0.585 
 1   7.89  0.11  0.46941 -1.473 3.586  4.872  7.50  0.127 0.97 15.238 19.891 17.373 16.056 15.294 14.832  0.469 
 1   7.89  0.19  0.17877 -2.225 3.516  4.926  6.50  0.109 0.74 16.145 22.483 19.373 17.836 16.537 15.765  0.179 
 1   7.95 -0.25  0.42250 -1.533 3.594  4.921  9.20  0.172 0.00 17.803 22.257 19.757 18.408 17.807 17.434  0.423 
 1   7.95 -0.17  0.36748 -1.695 3.581  4.969  8.40  0.181 0.92 16.747 21.544 18.928 17.529 16.808 16.362  0.367 
 1   7.95  0.39  0.36729 -1.740 3.564  4.945  9.10  0.260 0.00 18.220 23.514 20.803 19.406 18.450 17.876  0.367 
 1   7.97 -0.17  0.36930 -1.690 3.581  4.967  9.10  0.184 0.00 18.095 22.853 20.253 18.860 18.152 17.713  0.369 
 1   8.01 -0.05  1.66064  0.916 3.901  4.291  8.10  0.170 0.75 10.327 11.672 10.538 10.447 10.496 10.571  1.661 
 1   8.01  0.23  0.56200 -1.255 3.604  4.803 10.20  0.211 0.00 18.106 22.616 20.105 18.814 18.179 17.781  0.562 
 1   8.03  0.13  1.12801  0.084 3.771  4.437  7.20  0.120 0.00 11.761 13.542 12.216 11.728 11.614 11.588  1.128 
 1   8.03  0.17  2.03286  1.235 3.943  4.230  9.40  0.214 0.86 10.620 11.983 10.820 10.852 10.966 11.074  2.033 
 1   8.05 -0.17  1.94228  1.237 3.972  4.324 10.30  0.243 0.00 11.979 13.376 12.285 12.426 12.590 12.718  1.942 
 1   8.05 -0.09  0.56390 -1.206 3.616  4.805  9.90  0.178 0.00 17.685 21.889 19.432 18.170 17.672 17.362  0.564 
 1   8.07 -0.11  1.40194  0.611 3.850  4.320  9.10  0.236 0.00 12.343 13.792 12.697 12.480 12.464 12.500  1.402 
 1   8.07  0.33  2.28444  1.442 3.975  4.200  9.40  0.223 0.00 10.565 11.892 10.816 10.974 11.151 11.285  2.284 
 1   8.09  0.11  0.82246 -0.585 3.683  4.616 11.10  0.242 0.95 16.702 20.091 17.906 16.937 16.631 16.451  0.822 
 1   8.11 -0.13  0.25382 -2.017 3.560  5.044  8.80  0.165 0.89 17.980 23.319 20.448 18.988 18.119 17.595  0.254 
 1   8.11 -0.03  1.68924  0.944 3.904  4.283  7.40  0.124 0.91  9.258 10.501  9.391  9.344  9.419  9.517  1.689 
 1   8.15  0.29  0.11908 -2.526 3.480  4.905  6.90  0.132 0.80 17.410 24.649 21.237 19.605 18.018 17.086  0.119 
 1   8.17  0.11  0.17415 -2.299 3.517  4.991  7.60  0.134 0.00 18.117 24.197 21.159 19.645 18.445 17.733  0.174 
 1   8.19 -0.09  0.95226 -0.237 3.739  4.554  7.40  0.136 0.00 12.761 14.886 13.384 12.778 12.608 12.537  0.952 
 1   8.19  0.33  0.26306 -2.036 3.544  5.014  8.60  0.189 0.00 18.460 24.087 21.166 19.695 18.691 18.089  0.263 
 1   8.21  0.25  0.34132 -1.810 3.559  4.964  6.30  0.106 0.00 15.595 20.749 18.014 16.630 15.717 15.176  0.341 
 1   8.23  0.09  0.55075 -1.269 3.604  4.812 11.10  0.224 0.93 18.401 22.931 20.415 19.096 18.469 18.074  0.551 
 1   8.23  0.33  0.26030 -2.045 3.543  5.016  7.80  0.141 0.00 17.681 23.245 20.338 18.882 17.882 17.286  0.260 
 1   8.25 -0.27  0.33551 -1.765 3.582  5.002  6.80  0.117 0.83 15.404 20.123 17.498 16.100 15.412 14.991  0.336 
 1   8.25 -0.13  0.94492 -0.239 3.740  4.558  7.50  0.156 0.00 12.867 14.989 13.507 12.903 12.731 12.657  0.945 
