#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   u      g      r      i      z        Mact
 1   7.27  0.25  0.04901 -2.538 3.440  4.373  6.20  0.052 0.00 17.315 25.283 21.726 20.086 18.178 17.041  0.049 
 1   7.45  0.01  0.16780 -1.976 3.516  4.649 10.20  0.089 0.00 19.911 25.937 22.910 21.409 20.212 19.505  0.168 
 1   7.53  0.05  1.50989  0.703 3.854  4.275 12.40  0.087 0.00 15.413 16.642 15.566 15.407 15.429 15.500  1.510 
 1   7.57 -0.07  0.14513 -1.914 3.506  4.482  9.20  0.082 0.87 18.116 24.503 21.323 19.766 18.478 17.724  0.145 
 1   7.85 -0.25  0.19230 -2.184 3.548  5.045  8.70  0.078 0.00 18.929 24.393 21.391 19.907 19.030 18.513  0.192 
 1   7.85  0.19  1.76189  0.972 3.894  4.233  8.90  0.084 0.00 11.240 12.427 11.297 11.272 11.366 11.480  1.762 
 1   7.89 -0.01  0.19970 -2.235 3.540  5.081  8.30  0.055 0.00 18.658 24.162 21.249 19.806 18.808 18.221  0.200 
 1   7.95 -0.09  0.29084 -1.913 3.564  5.017  9.20  0.095 0.00 18.753 23.782 21.047 19.643 18.821 18.327  0.291 
 1   7.97  0.05  0.21830 -2.174 3.542  5.064  6.70  0.073 0.00 16.906 22.402 19.499 18.058 17.063 16.477  0.218 
 1   8.09  0.17  0.21036 -2.217 3.534  5.060  7.90  0.064 0.88 17.534 23.259 20.303 18.838 17.748 17.105  0.210 
 1   8.09  0.45  1.90898  1.119 3.919  4.223  8.60  0.075 0.77 10.264 11.458 10.302 10.288 10.388 10.503  1.909 
 1   8.11  0.25  1.28182  0.353 3.799  4.334  7.70  0.060 0.94 10.988 12.515 11.283 10.892 10.823 10.836  1.282 
 1   8.13  0.01  0.32357 -1.841 3.564  4.992  8.70  0.074 0.82 17.507 22.583 19.849 18.460 17.589 17.070  0.324 
 1   8.13  0.09  0.24879 -2.066 3.546  5.031  8.20  0.077 0.00 18.136 23.538 20.666 19.237 18.276 17.708  0.249 
 1   8.13  0.11  0.11076 -2.567 3.479  4.912  8.10  0.079 0.85 18.670 25.813 22.424 20.809 19.237 18.319  0.111 
 1   8.15  0.11  0.10187 -2.627 3.473  4.912  9.00  0.073 0.00 20.339 27.500 24.101 22.484 20.905 19.984  0.102 
 1   8.19  0.11  0.37182 -1.720 3.568  4.947  9.30  0.085 0.89 17.746 22.723 20.058 18.694 17.828 17.311  0.372 
 1   8.25 -0.25  1.76178  1.097 3.950  4.331  7.50  0.072 0.00  9.528 10.667  9.582  9.736  9.909 10.059  1.762 
 1   8.27 -0.01  0.10410 -2.628 3.479  4.944  8.50  0.081 0.00 19.840 26.856 23.503 21.896 20.370 19.481  0.104 
 1   8.27  0.03  0.18476 -2.275 3.528  5.036  8.40  0.066 0.00 18.857 24.603 21.643 20.177 19.076 18.428  0.185 
 1   8.29 -0.05  0.13729 -2.427 3.499  4.946  8.20  0.078 0.81 18.463 25.065 21.829 20.255 18.884 18.081  0.137 
 1   8.29  0.07  0.09338 -2.726 3.465  4.940  7.60  0.074 0.00 19.186 26.637 23.129 21.493 19.822 18.849  0.093 
 1   8.29  0.23  0.27014 -2.015 3.545  5.010  9.30  0.089 0.00 19.106 24.548 21.671 20.237 19.262 18.685  0.270 
 1   8.31  0.43  0.89289 -0.431 3.702  4.575  8.10  0.082 0.76 13.672 16.706 14.611 13.736 13.476 13.337  0.893 
 1   8.33  0.21  0.08685 -2.808 3.451  4.933  4.40  0.029 0.00 16.190 24.070 20.389 18.735 16.916 15.861  0.087 
