TOI,TIC,Full TOI ID,TOI Disposition,TIC Right Ascension,TIC Declination,TMag Value,Orbital Period Value,Transit Depth Value,Surface Gravity Value,Planet Radius Value,Night,Effective Temperature Value
1246,230127302,1246.03,CP,251.116487458471,70.4296389962785,11.1802,5.90412784204916,773.926646811741,4.49143,2.44894535286704,200225,5141.0
1246,230127302,1246.02,CP,251.116487458471,70.4296389962785,11.1802,4.30745132484352,1094.84194953462,4.49143,3.28198792824821,200225,5141.0
1247,232540264,1247.01,PC,227.870475519279,71.8409508634934,8.4724,15.9235242,390.0,4.38315,2.16731,240124,5711.85
1249,232976128,1249.01,PC,200.561734621427,66.3087325074556,10.2108,13.0791729,970.0,4.41707,3.19898,191029,5453.0
1255,237222864,1255.01,CP,296.244328418828,74.0627370514966,9.1416,10.288898,852.0,4.49772,2.75739,210323,5126.0
1256,274762761,1256.01,PC,301.347533178752,38.2308079772319,13.5608,1.03324411383409,26111.5081972147,5.15741,4.08798801940722,191029,2972.0
1261,356311210,1261.01,PC,268.016095716733,53.7306203918967,10.6965,18.0574016082718,1198.05721281664,4.45922,3.80926625174897,210322,5897.0
1266,467179528,1266.02,CP,197.998167681085,65.8338065266292,11.0402,18.8016111099805,1686.78810332636,4.79432,1.91122822688092,191029,3618.0
1266,467179528,1266.01,CP,197.998167681085,65.8338065266292,11.0402,10.8948420981743,3168.38535839801,4.79432,2.46914139899506,191029,3618.0
1269,198241702,1269.01,PC,249.697075,64.558693,10.948,4.2530084,680.0,4.38111,2.27163,191029,5591.0
1269,198241702,1269.02,PC,249.697075,64.558693,10.948,9.2378703,660.0,4.38111,2.22995,191029,5591.0
1276,43064903,1276.01,EB,302.667462289953,40.6689979259709,12.5405,6.26116895033486,4005.0228080017,5.04431,1.34683189626535,191029,3145.0
1279,224297258,1279.01,PC,185.06388336987,56.2011484692541,9.99454,9.6142606,1190.0,4.5707,3.09223,210322,5477.0
1280,230017324,1280.01,PC,291.465149586301,61.7762529452416,10.6355,9.692636,1840.0,4.56182,3.21431,191029,4665.0
