#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   u      g      r      i      z        Mact
 1   6.67  0.13  0.15846 -1.773 3.502  4.367  9.60  1.870 0.00 18.803 27.942 24.175 22.038 20.398 19.289  0.158 
 1   6.75 -0.15  0.74641 -0.713 3.676  4.673  9.40  1.379 0.00 15.953 21.025 18.510 17.186 16.666 16.268  0.746 
 1   6.75 -0.03  1.13779  0.128 3.782  4.440 11.70  1.927 0.00 16.150 20.602 18.742 17.708 17.269 16.908  1.138 
 1   6.75  0.15  0.05399 -2.319 3.455  4.253  5.60  0.436 0.80 15.570 23.994 20.276 18.501 16.605 15.457  0.054 
 1   6.81  0.17  0.64739 -1.042 3.627  4.747 10.40  1.761 0.00 17.774 24.417 21.351 19.601 18.836 18.246  0.647 
 1   6.95  0.01  1.37167  0.525 3.829  4.311 12.20  2.268 0.00 15.658 20.368 18.508 17.533 17.103 16.730  1.372 
 1   6.95  0.07  0.92961 -0.327 3.722  4.567 10.10  1.931 0.88 15.210 20.652 18.188 16.830 16.273 15.820  0.930 
 1   7.01  0.17  0.52413 -1.345 3.596  4.830 10.90  1.675 0.82 18.529 25.547 22.484 20.669 19.640 18.895  0.524 
 1   7.05  0.11  0.20316 -1.968 3.515  4.651  9.60  1.422 0.85 18.823 26.808 23.328 21.395 20.001 19.070  0.173 
 1   7.07 -0.21  0.58281 -1.130 3.628  4.789  8.10  1.152 0.00 15.694 21.226 18.478 16.947 16.323 15.867  0.583 
 1   7.11 -0.03  1.48967  0.695 3.860  4.301  9.40  1.531 0.00 12.433 15.908 14.321 13.701 13.460 13.260  1.490 
 1   7.11  0.09  0.17822 -2.022 3.519  4.735  8.90  1.581 0.00 18.725 27.012 23.467 21.476 20.025 19.049  0.178 
 1   7.13  0.19  0.42959 -1.578 3.575  4.896 10.30  1.484 0.00 19.014 25.972 22.945 21.171 20.042 19.263  0.430 
 1   7.13  0.25  0.14303 -1.773 3.491  4.276  7.50  0.934 0.00 16.704 24.696 21.162 19.306 17.735 16.745  0.143 
 1   7.13  0.45  0.13788 -1.798 3.489  4.279  9.50  1.679 0.81 18.158 27.448 23.601 21.483 19.730 18.574  0.138 
