#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   u      g      r      i      z        Mact
 1   7.51  0.13  0.46737 -1.479 3.585  4.873  8.80  0.112 0.00 17.268 21.900 19.391 18.083 17.318 16.857  0.467 
 1   7.55  0.21  0.20130 -1.973 3.502  4.573  8.00  0.120 0.80 17.245 23.392 20.332 18.810 17.589 16.861  0.161 
 1   7.67  0.15  3.29891  2.066 4.090  4.196  9.50  0.124 0.00  9.105 10.330  9.742 10.037 10.286 10.485  3.299 
 1   7.67  0.23  0.09034 -2.299 3.469  4.513  6.10  0.069 0.00 16.618 23.932 20.475 18.849 17.220 16.271  0.090 
 1   7.67  0.39  1.19641  0.192 3.780  4.391  9.60  0.156 0.00 13.889 15.731 14.348 13.860 13.756 13.740  1.196 
 1   7.69  0.17  0.16292 -2.053 3.505  4.670  8.70  0.128 0.00 18.604 24.947 21.831 20.285 18.993 18.229  0.163 
 1   7.83 -0.01  0.08136 -2.519 3.467  4.683  6.60  0.074 0.00 17.668 25.041 21.555 19.923 18.281 17.326  0.081 
 1   7.87  0.33  0.39074 -1.677 3.568  4.925  8.20  0.127 0.82 16.622 21.720 19.046 17.684 16.759 16.212  0.391 
 1   7.91 -0.31  0.46737 -1.411 3.606  4.890  8.10  0.123 0.73 15.981 20.249 17.799 16.489 15.937 15.598  0.467 
 1   7.91 -0.17  0.22566 -2.113 3.556  5.073  7.60  0.114 0.00 17.652 22.961 20.069 18.611 17.755 17.245  0.226 
 1   7.99  0.19  0.92086 -0.366 3.712  4.561  8.70  0.131 0.00 14.384 17.043 15.176 14.417 14.206 14.103  0.921 
 1   8.05 -0.07  0.11088 -2.546 3.488  4.926  6.90  0.108 0.00 18.036 24.900 21.559 19.950 18.514 17.677  0.111 
 1   8.07 -0.05  1.19641  0.254 3.798  4.400  6.80  0.105 0.81 10.623 12.205 11.017 10.603 10.507 10.493  1.196 
 1   8.07  0.09  0.43234 -1.561 3.580  4.899  8.50  0.125 0.00 17.173 21.914 19.373 18.042 17.241 16.757  0.432 
 1   8.17  0.25  0.67969 -0.963 3.635  4.718 10.60  0.139 0.00 17.777 21.798 19.328 18.152 17.717 17.453  0.680 
 1   8.17  0.35  1.20935  0.228 3.785  4.377  7.40  0.101 0.76 11.360 13.201 11.805 11.302 11.191 11.169  1.209 
 1   8.23  0.13  0.16886 -2.315 3.512  4.975  8.60  0.137 0.77 18.579 24.988 21.857 20.306 18.994 18.214  0.169 
 1   8.23  0.27  0.14077 -2.410 3.491  4.908  7.30  0.088 0.00 18.096 24.748 21.526 19.954 18.547 17.720  0.141 
 1   8.31 -0.21  0.42738 -1.528 3.593  4.915  9.00  0.156 0.83 17.054 21.608 19.072 17.710 17.067 16.670  0.427 
 1   8.31 -0.17  0.35922 -1.718 3.580  4.978  7.50  0.106 0.00 16.566 21.231 18.647 17.276 16.573 16.144  0.359 
 1   8.33  0.09  0.38373 -1.685 3.571  4.937  9.90  0.157 0.00 18.884 23.844 21.220 19.851 18.996 18.480  0.384 
 1   8.35  0.05  2.13348  1.366 3.964  4.201  7.70  0.103 0.00  9.054 10.220  9.153  9.330  9.517  9.666  2.133 
 1   8.39  0.31  0.12392 -2.539 3.481  4.938  6.50  0.092 0.00 17.617 24.582 21.255 19.652 18.143 17.260  0.124 
 1   8.39  0.31  0.65271 -1.030 3.628  4.739 11.30  0.141 0.00 18.646 22.802 20.292 19.083 18.608 18.316  0.653 
 1   8.41  0.09  3.04318  2.077 4.018  3.861  9.30  0.123 0.00  8.879 10.048  9.179  9.432  9.655  9.812  3.043 
 1   8.43  0.03  0.31932 -1.854 3.562  4.992  8.80  0.108 0.00 18.204 23.275 20.557 19.166 18.301 17.782  0.319 
 1   8.47 -0.27  0.26525 -1.958 3.570  5.045  8.90  0.127 0.00 18.566 23.516 20.785 19.352 18.609 18.158  0.265 
 1   8.47  0.03  0.97478 -0.204 3.740  4.536  7.20  0.113 0.00 12.479 14.598 13.070 12.466 12.304 12.240  0.975 
 1   8.47  0.29  0.13196 -2.507 3.485  4.950  7.90  0.101 0.99 18.201 25.083 21.786 20.189 18.710 17.843  0.132 
 1   8.47  0.37  0.68061 -0.959 3.635  4.715  7.80  0.105 0.00 14.968 18.987 16.496 15.326 14.887 14.623  0.681 
 1   8.49  0.15  0.44242 -1.541 3.579  4.888  9.20  0.127 0.00 17.822 22.580 20.050 18.730 17.904 17.409  0.442 
 1   8.51 -0.07  1.81313  1.114 3.929  4.244 10.00  0.139 0.94 11.380 12.634 11.495 11.543 11.665 11.783  1.813 
 1   8.51 -0.01  0.66825 -0.956 3.640  4.726  6.80  0.084 0.00 13.961 17.694 15.344 14.227 13.846 13.621  0.668 
 1   8.53 -0.33  0.38056 -1.629 3.592  4.961 10.00  0.150 0.76 18.359 22.919 20.365 18.986 18.358 17.971  0.381 
 1   8.53  0.11  0.97828 -0.212 3.736  4.529  8.70  0.150 0.00 14.001 16.278 14.663 14.018 13.843 13.768  0.978 
