#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   u      g      r      i      z        Mact
 1   6.81 -0.39  0.02287 -2.771 3.387  4.064  4.60  0.049 0.00 16.298 25.256 21.803 20.156 17.837 16.275  0.023 
 1   6.85  0.31  0.09713 -1.954 3.478  4.236  7.80  0.110 0.00 17.455 24.533 21.171 19.553 18.013 17.111  0.097 
 1   7.63  0.19  0.07664 -2.432 3.461  4.544  7.30  0.082 0.00 18.151 25.762 22.195 20.547 18.828 17.828  0.077 
 1   7.67  0.33  0.73871 -0.815 3.652  4.674  6.70  0.102 0.80 13.122 16.998 14.566 13.440 13.025 12.776  0.739 
 1   7.81  0.23  0.13146 -2.189 3.487  4.641  6.40  0.099 0.87 16.000 22.877 19.582 17.986 16.508 15.642  0.131 
 1   7.83  0.05  0.04842 -3.031 3.408  4.731  5.90  0.086 0.00 18.247 27.660 23.521 21.799 19.530 18.126  0.048 
 1   7.89  0.03  0.15521 -2.181 3.507  4.784  8.90  0.161 0.00 19.123 25.476 22.360 20.809 19.525 18.763  0.155 
 1   7.89  0.31  0.30415 -1.912 3.552  4.988  7.60  0.117 0.00 17.151 22.492 19.658 18.236 17.299 16.742  0.304 
 1   7.91  0.03  1.05870 -0.035 3.761  4.488  8.70  0.119 0.00 13.557 15.411 14.054 13.536 13.406 13.367  1.059 
 1   8.07 -0.11  0.73872 -0.745 3.670  4.678  7.00  0.109 0.94 13.010 16.325 14.163 13.187 12.874 12.695  0.739 
 1   8.11  0.33  0.10003 -2.637 3.468  4.895  7.70  0.106 0.00 19.062 26.438 22.965 21.327 19.690 18.734  0.100 
 1   8.13  0.35  0.47302 -1.471 3.584  4.865  8.60  0.133 0.00 17.047 21.767 19.282 18.005 17.153 16.650  0.473 
 1   8.17 -0.09  0.71095 -0.822 3.659  4.693  8.80  0.125 0.00 15.625 19.068 16.850 15.836 15.507 15.316  0.711 
 1   8.17  0.31  0.17030 -2.312 3.510  4.969  7.60  0.103 0.00 18.151 24.331 21.260 19.738 18.493 17.757  0.170 
 1   8.19 -0.05  0.18460 -2.264 3.532  5.040  7.50  0.109 0.00 17.929 23.694 20.704 19.218 18.153 17.523  0.185 
 1   8.21 -0.21  0.13146 -2.442 3.503  4.959  4.30  0.043 0.00 15.175 21.597 18.310 16.728 15.485 14.768  0.131 
 1   8.21 -0.09  0.12930 -2.460 3.497  4.945  8.50  0.118 0.00 19.421 26.030 22.768 21.177 19.838 19.054  0.129 
 1   8.23 -0.03  0.38832 -1.661 3.577  4.940  9.00  0.120 0.81 17.393 22.259 19.633 18.259 17.458 16.972  0.388 
 1   8.25  0.55  0.40511 -1.639 3.571  4.913  8.30  0.106 0.00 17.167 22.083 19.551 18.266 17.304 16.748  0.405 
 1   8.29  0.11  0.58680 -1.184 3.613  4.789  9.20  0.111 0.76 16.528 20.865 18.383 17.121 16.521 16.149  0.587 
 1   8.31  0.43  0.12623 -2.509 3.483  4.925  8.10  0.138 0.00 19.142 26.122 22.798 21.185 19.686 18.805  0.126 
 1   8.35  0.09  0.21137 -2.204 3.538  5.066  9.10  0.119 0.00 19.381 25.018 22.080 20.615 19.586 18.975  0.211 
 1   8.35  0.15  1.44348  0.608 3.832  4.262  8.10  0.115 0.77 11.081 12.522 11.364 11.061 11.019 11.046  1.443 
 1   8.37 -0.19  0.25815 -1.993 3.564  5.045  7.70  0.102 0.00 17.454 22.518 19.739 18.310 17.514 17.035  0.258 
 1   8.37  0.13  0.28530 -1.960 3.551  5.005  7.00  0.084 0.00 16.670 21.973 19.139 17.724 16.795 16.245  0.285 
 1   8.37  0.35  0.21032 -2.220 3.533  5.058  9.30  0.105 0.00 19.620 25.338 22.381 20.910 19.841 19.209  0.210 
 1   8.37  0.41  0.11305 -2.601 3.475  4.936  7.50  0.097 0.86 18.154 25.469 22.022 20.390 18.768 17.820  0.113 
 1   8.41  0.03  0.59713 -1.147 3.618  4.780  7.10  0.113 0.00 14.738 18.861 16.406 15.172 14.686 14.388  0.597 
 1   8.43 -0.13  0.36261 -1.715 3.578  4.972  9.40  0.131 0.00 18.458 23.201 20.604 19.225 18.494 18.046  0.363 
 1   8.43  0.05  0.12489 -2.533 3.487  4.962  7.50  0.104 0.00 18.603 25.398 22.131 20.542 19.092 18.242  0.125 
 1   8.45  0.09  0.51516 -1.358 3.596  4.840  8.70  0.130 0.00 16.865 21.310 18.823 17.524 16.881 16.485  0.515 
 1   8.47 -0.23  0.12769 -2.508 3.500  5.000  6.30  0.095 0.92 16.663 23.350 19.965 18.342 17.040 16.289  0.128 
 1   8.47  0.03  0.43427 -1.550 3.582  4.900  8.40  0.114 0.00 17.045 21.713 19.176 17.842 17.086 16.626  0.434 
 1   8.49  0.03  0.17347 -2.319 3.519  5.019  9.40  0.134 0.83 19.338 25.555 22.477 20.946 19.701 18.961  0.173 
 1   8.51 -0.15  0.26622 -1.976 3.563  5.037  9.70  0.127 0.00 19.410 24.527 21.744 20.312 19.495 19.002  0.266 
 1   8.51  0.01  0.50926 -1.366 3.598  4.848  7.80  0.113 0.00 15.984 20.352 17.874 16.570 15.969 15.596  0.509 
 1   8.51  0.19  0.27748 -1.991 3.547  5.006  9.40  0.131 0.97 18.428 23.915 21.028 19.583 18.608 18.027  0.277 
 1   8.53 -0.05  1.17051  0.220 3.793  4.405  7.80  0.113 0.00 12.021 13.529 12.384 12.003 11.921 11.919  1.171 
 1   8.53  0.25  0.42542 -1.587 3.574  4.898  5.70  0.082 0.00 14.438 19.220 16.706 15.410 14.520 13.998  0.425 
 1   8.57 -0.03  1.09768  0.077 3.775  4.446 12.60  0.157 0.00 17.177 18.909 17.659 17.190 17.073 17.042  1.098 
 1   8.57  0.11  0.30324 -1.904 3.556  4.994  6.70  0.092 0.00 16.230 21.436 18.654 17.252 16.345 15.806  0.303 
 1   8.59 -0.25  1.79067  1.158 3.947  4.268  8.40  0.122 0.00 10.276 11.496 10.386 10.520 10.682 10.819  1.791 
 1   8.59 -0.23  0.51304 -1.307 3.612  4.849  9.10  0.144 0.00 17.138 21.285 18.864 17.599 17.096 16.787  0.513 
 1   8.59 -0.05  0.13438 -2.509 3.495  5.002  7.00  0.104 0.00 18.042 24.652 21.413 19.832 18.469 17.670  0.134 
 1   8.59  0.53  1.12965  0.087 3.768  4.424  9.10  0.134 0.00 13.652 15.635 14.138 13.595 13.478 13.454  1.130 
 1   8.61 -0.31  0.20032 -2.184 3.558  5.102 10.00  0.139 0.96 19.515 24.923 21.946 20.446 19.620 19.126  0.200 
 1   8.61 -0.13  0.20512 -2.196 3.549  5.086  8.10  0.134 0.00 18.360 23.870 20.905 19.427 18.510 17.965  0.205 
 1   8.61 -0.01  0.15257 -2.405 3.505  4.992  7.70  0.104 0.00 18.482 24.799 21.682 20.141 18.855 18.096  0.153 
 1   8.63 -0.03  0.19964 -2.233 3.541  5.083  7.50  0.109 0.00 17.853 23.429 20.489 19.026 18.031 17.443  0.200 
 1   8.63 -0.01  0.10951 -2.692 3.477  5.025  7.90  0.129 0.00 19.401 26.559 23.152 21.521 19.972 19.067  0.110 
 1   8.65  0.15  0.13495 -2.538 3.486  4.998  6.90  0.101 0.00 18.016 24.829 21.555 19.965 18.508 17.654  0.135 
 1   8.67 -0.15  0.12684 -2.580 3.494  5.042  8.60  0.119 0.97 19.097 25.952 22.542 20.912 19.534 18.738  0.127 
 1   8.67  0.03  0.41466 -1.597 3.578  4.912  8.30  0.122 0.00 17.062 21.809 19.252 17.908 17.119 16.641  0.415 
 1   8.69 -0.25  0.14898 -2.427 3.512  5.031  8.20  0.133 0.00 19.037 25.435 22.136 20.533 19.355 18.667  0.149 
 1   8.69  0.29  0.41223 -1.619 3.572  4.907  7.80  0.101 0.94 15.946 20.857 18.280 16.959 16.052 15.519  0.412 
 1   8.69  0.33  0.22556 -2.164 3.536  5.045  9.50  0.125 0.92 19.003 24.721 21.767 20.293 19.232 18.602  0.226 
 1   8.71 -0.15  0.16004 -2.389 3.516  5.042  9.70  0.131 0.99 19.702 25.940 22.752 21.187 20.014 19.324  0.160 
 1   8.71 -0.03  0.11927 -2.658 3.483  5.050  6.50  0.088 0.86 17.326 24.493 21.045 19.418 17.871 16.973  0.119 
