#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   u      g      r      i      z        Mact
 1   7.07  0.49  0.20848 -2.227 3.532  5.059  8.80  0.095 0.00 19.138 24.848 21.892 20.423 19.354 18.722  0.208 
 1   7.17 -0.05  0.07988 -2.124 3.480  4.329  8.50  0.120 0.00 18.579 25.674 22.269 20.640 19.122 18.238  0.080 
 1   7.43  0.07  0.28135 -1.966 3.554  5.013  7.00  0.098 0.00 16.684 21.956 19.140 17.726 16.808 16.263  0.281 
 1   7.43  0.13  0.17270 -2.021 3.514  4.697  9.20  0.114 0.00 19.022 25.144 22.091 20.575 19.353 18.631  0.173 
 1   7.51  0.05  0.20848 -1.991 3.513  4.651 10.60  0.112 0.80 19.836 25.733 22.738 21.248 20.113 19.437  0.167 
 1   7.57 -0.29  0.15684 -1.921 3.524  4.595 10.30  0.123 0.00 19.872 25.938 22.744 21.175 20.115 19.489  0.157 
 1   7.81 -0.09  0.23941 -2.075 3.554  5.054 10.00  0.108 0.87 19.344 24.729 21.832 20.380 19.473 18.933  0.239 
 1   7.81  0.41  0.28021 -1.984 3.547  5.004  8.30  0.104 0.00 18.030 23.453 20.582 19.149 18.187 17.616  0.280 
 1   7.83 -0.37  0.28135 -1.894 3.579  5.041  8.30  0.124 0.00 17.804 22.519 19.880 18.464 17.802 17.396  0.281 
 1   7.85  0.31  0.29625 -1.935 3.550  4.993  7.70  0.085 0.00 17.308 22.636 19.792 18.373 17.438 16.884  0.296 
 1   7.87 -0.03  0.71400 -0.834 3.656  4.694  8.60  0.112 0.00 15.455 18.961 16.703 15.668 15.332 15.138  0.714 
 1   7.95  0.19  0.43784 -1.557 3.577  4.890  7.00  0.096 0.00 15.661 20.415 17.898 16.592 15.736 15.230  0.438 
 1   7.97  0.41  0.16121 -2.282 3.504  4.890  7.20  0.086 0.88 16.984 23.419 20.270 18.721 17.385 16.597  0.161 
 1   8.01 -0.19  1.35670  0.569 3.849  4.342  9.30  0.112 0.77 12.385 13.704 12.643 12.412 12.389 12.425  1.357 
