#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   u      g      r      i      z        Mact
 1   6.91  0.29  0.13870 -1.756 3.490  4.240  9.00  0.159 0.00 18.161 24.974 21.709 20.109 18.672 17.823  0.139 
 1   6.97  0.09  0.07796 -2.113 3.473  4.279  8.10  0.183 0.87 17.540 24.995 21.512 19.851 18.212 17.248  0.078 
 1   6.97  0.17  0.17015 -1.930 3.509  4.582  9.30  0.212 0.00 18.895 25.273 22.155 20.593 19.318 18.557  0.170 
 1   7.11  0.13  0.03084 -2.702 3.406  4.201  5.30  0.049 0.00 16.824 25.249 21.888 20.272 18.098 16.698  0.031 
 1   7.17  0.07  0.29261 -1.932 3.556  5.005  9.40  0.177 0.00 19.000 24.343 21.525 20.092 19.171 18.617  0.293 
 1   7.27  0.25  0.45440 -1.516 3.580  4.877 10.20  0.222 0.77 18.291 23.320 20.716 19.358 18.466 17.928  0.454 
 1   7.33 -0.01  1.40041  0.574 3.836  4.301  8.90  0.191 0.82 11.892 13.391 12.261 11.958 11.906 11.920  1.400 
 1   7.33  0.15  0.16461 -1.927 3.506  4.553  9.40  0.208 0.73 18.243 24.913 21.708 20.116 18.741 17.920  0.165 
 1   7.35 -0.03  0.91569 -0.335 3.724  4.577  9.60  0.175 0.00 15.208 17.628 15.958 15.270 15.070 14.973  0.916 
 1   7.37  0.05  0.30828 -1.886 3.560  4.997  9.00  0.170 0.00 18.484 23.722 20.950 19.531 18.635 18.095  0.308 
 1   7.39  0.45  0.15534 -1.864 3.497  4.428  8.60  0.159 0.00 18.029 24.620 21.430 19.851 18.488 17.680  0.155 
 1   7.45 -0.35  0.67083 -0.852 3.663  4.713  8.40  0.196 0.00 15.301 18.671 16.545 15.560 15.229 15.032  0.671 
 1   7.55  0.11  0.85902 -0.498 3.696  4.599 10.50  0.236 0.00 16.516 19.564 17.544 16.682 16.420 16.273  0.859 
 1   7.55  0.21  0.12073 -2.037 3.484  4.437  8.00  0.171 0.00 17.862 24.860 21.535 19.914 18.420 17.538  0.121 
 1   7.57  0.07  0.96729 -0.242 3.734  4.546  9.80  0.220 0.76 14.912 17.486 15.776 15.040 14.816 14.698  0.967 
 1   7.59 -0.13  0.88929 -0.362 3.724  4.593 10.90  0.247 0.00 16.575 19.062 17.407 16.705 16.492 16.380  0.889 
 1   7.63 -0.03  0.35291 -1.760 3.571  4.976  9.90  0.215 0.71 18.619 23.786 21.056 19.629 18.773 18.248  0.353 
 1   7.69 -0.09  0.47342 -1.437 3.596  4.879  9.10  0.184 0.00 17.463 21.957 19.451 18.112 17.491 17.104  0.473 
 1   7.69 -0.01  0.81361 -0.589 3.689  4.639 11.20  0.241 0.86 16.988 20.300 18.190 17.236 16.927 16.743  0.814 
 1   7.71  0.07  0.08551 -2.365 3.470  4.562  8.40  0.171 0.83 18.624 26.193 22.669 21.003 19.324 18.335  0.086 
 1   7.75 -0.09  0.26084 -2.003 3.559  5.037  9.40  0.195 0.00 19.177 24.506 21.666 20.210 19.335 18.804  0.261 
 1   7.75 -0.05  0.73654 -0.771 3.665  4.681  8.00  0.145 0.92 14.114 17.621 15.381 14.350 14.011 13.813  0.737 
 1   7.75  0.23  0.16277 -2.091 3.504  4.703  8.50  0.126 0.00 18.499 24.866 21.742 20.194 18.893 18.124  0.163 
 1   7.77  0.21  1.70898  0.910 3.883  4.236  9.10  0.215 0.00 11.594 12.997 11.828 11.718 11.768 11.847  1.709 
 1   7.79  0.05  0.14656 -2.083 3.501  4.635  9.40  0.206 0.00 19.377 25.951 22.774 21.189 19.846 19.046  0.147 
 1   7.81 -0.03  0.10552 -2.317 3.486  4.670  7.80  0.149 0.00 18.363 25.281 21.958 20.344 18.883 18.026  0.106 
 1   7.81  0.25  0.53027 -1.332 3.596  4.824 10.40  0.226 0.00 18.499 23.145 20.629 19.322 18.609 18.168  0.530 
 1   7.83 -0.05  0.37300 -1.700 3.575  4.958  9.20  0.181 0.00 18.221 23.104 20.489 19.100 18.312 17.826  0.373 
 1   7.83  0.01  0.26009 -2.021 3.553  5.031  9.80  0.191 0.00 19.624 25.067 22.202 20.751 19.813 19.249  0.260 
 1   7.83  0.25  1.72183  0.924 3.885  4.236 10.40  0.205 0.00 12.860 14.246 13.074 12.975 13.033 13.116  1.722 
 1   7.89  0.05  0.98978 -0.183 3.742  4.531  8.70  0.173 0.00 13.927 16.116 14.579 13.962 13.793 13.721  0.990 
 1   7.89  0.05  0.57546 -1.205 3.612  4.797  8.90  0.170 0.00 16.682 20.973 18.489 17.216 16.682 16.349  0.575 
 1   7.89  0.11  1.10704  0.046 3.768  4.453 10.00  0.175 0.00 14.656 16.554 15.192 14.674 14.544 14.503  1.107 
 1   7.89  0.25  0.14934 -2.185 3.496  4.725  9.60  0.190 0.99 19.095 25.798 22.575 20.980 19.589 18.764  0.149 
 1   7.93 -0.11  0.33174 -1.802 3.572  4.995  7.50  0.158 0.96 16.058 21.000 18.326 16.920 16.137 15.658  0.332 
