#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   u      g      r      i      z        Mact
 1   6.61  0.27  0.07777 -2.073 3.470  4.227 10.60  0.399 0.00 20.554 28.343 24.781 23.048 21.371 20.367  0.078 
 1   6.67  0.29  0.01766 -2.980 3.357  4.039  6.90  0.229 0.00 19.121 29.887 25.709 23.805 21.247 19.398  0.018 
 1   6.85 -0.21  0.49220 -1.368 3.606  4.868  8.30  0.329 0.00 16.489 21.007 18.501 17.149 16.583 16.219  0.492 
 1   6.97  0.39  0.02300 -2.826 3.380  4.094  5.90  0.165 0.00 17.736 27.251 23.584 21.868 19.460 17.812  0.023 
 1   7.05 -0.07  0.67828 -0.915 3.647  4.718  7.70  0.350 0.00 14.757 18.770 16.379 15.217 14.811 14.553  0.678 
 1   7.07  0.21  0.16206 -1.824 3.487  4.269  9.30  0.439 0.80 17.917 25.020 21.708 20.029 18.587 17.710  0.130 
 1   7.17  0.39  0.21091 -2.218 3.533  5.058 10.00  0.506 0.00 20.316 26.660 23.558 21.953 20.810 20.102  0.211 
 1   7.27  0.07  0.19556 -2.202 3.533  5.011  8.90  0.391 0.00 19.176 25.313 22.272 20.713 19.593 18.906  0.196 
 1   7.27  0.17  0.19095 -2.168 3.525  4.933  8.50  0.363 0.00 18.690 24.934 21.870 20.304 19.126 18.409  0.191 
 1   7.29 -0.23  0.15565 -1.808 3.520  4.464  9.80  0.413 0.00 19.090 25.675 22.385 20.723 19.559 18.851  0.156 
 1   7.37 -0.03  0.51601 -1.343 3.601  4.846 13.10  0.401 0.00 21.229 25.978 23.409 22.016 21.395 20.989  0.516 
 1   7.45 -0.03  0.22583 -2.136 3.548  5.064  6.10  0.169 0.00 16.210 21.751 18.828 17.361 16.401 15.828  0.226 
 1   7.47  0.19  0.22110 -2.180 3.535  5.050 10.10  0.431 0.88 19.613 25.852 22.783 21.205 20.065 19.363  0.221 
 1   7.51  0.17  0.18266 -1.912 3.492  4.414  6.70  0.249 0.77 15.728 22.300 19.134 17.548 16.218 15.418  0.141 
 1   7.61 -0.01  0.17058 -2.043 3.495  4.505  7.50  0.291 0.73 16.631 23.161 20.006 18.416 17.119 16.336  0.125 
 1   7.63 -0.07  0.07581 -2.448 3.466  4.577  9.40  0.405 0.00 20.290 28.322 24.613 22.848 21.128 20.114  0.076 
 1   7.65 -0.25  0.06797 -2.614 3.454  4.645  9.90  0.446 0.85 20.584 29.553 25.387 23.532 21.582 20.471  0.068 
 1   7.67  0.13  0.17006 -2.080 3.512  4.743  9.90  0.357 0.00 19.871 26.409 23.258 21.656 20.377 19.601  0.170 
 1   7.67  0.33  0.36940 -1.734 3.564  4.943  9.20  0.396 0.00 18.306 23.802 21.041 19.595 18.623 18.028  0.369 
 1   7.69 -0.05  0.14900 -1.978 3.506  4.559  9.30  0.391 0.89 18.359 25.195 21.928 20.275 18.931 18.118  0.149 
 1   7.69  0.33  0.09970 -2.247 3.474  4.528  9.30  0.474 0.00 19.688 27.432 23.905 22.157 20.517 19.528  0.100 
 1   7.71  0.13  0.07932 -2.430 3.463  4.564 10.40  0.399 0.00 21.244 29.283 25.627 23.878 22.122 21.073  0.079 
 1   7.73  0.57  0.57900 -1.215 3.608  4.795 10.40  0.502 0.93 17.566 22.613 19.990 18.636 17.875 17.385  0.579 
 1   7.75  0.11  0.88165 -0.442 3.704  4.587  9.40  0.414 0.00 15.274 18.461 16.453 15.574 15.295 15.127  0.882 
 1   7.77 -0.27  0.17434 -2.110 3.536  4.878 11.30  0.412 0.00 21.345 27.594 24.390 22.760 21.731 21.099  0.174 
 1   7.77 -0.07  0.10373 -2.284 3.488  4.636 10.60  0.459 0.00 21.081 28.483 25.019 23.294 21.796 20.894  0.104 
 1   7.79 -0.05  0.19628 -2.088 3.512  4.721 10.10  0.383 0.81 19.486 25.809 22.691 21.101 19.937 19.223  0.158 
 1   7.83  0.33  0.22237 -2.177 3.535  5.048  7.90  0.347 0.98 17.374 23.427 20.396 18.849 17.751 17.082  0.222 
 1   7.87 -0.25  0.22110 -2.117 3.559  5.082  8.50  0.336 0.00 18.562 24.143 21.184 19.646 18.792 18.264  0.221 
 1   7.91 -0.05  0.21862 -2.159 3.547  5.071 10.60  0.474 0.00 20.768 26.809 23.760 22.183 21.168 20.538  0.219 
 1   7.91  0.23  0.31485 -1.883 3.554  4.982  9.50  0.378 0.00 18.977 24.678 21.774 20.274 19.297 18.695  0.315 
 1   7.93  0.29  0.11388 -2.431 3.479  4.786  8.90  0.362 0.77 19.196 26.845 23.334 21.621 19.975 18.988  0.114 
 1   7.93  0.35  0.11589 -2.420 3.480  4.786  7.50  0.336 0.00 18.320 25.699 22.273 20.585 19.020 18.085  0.116 
 1   7.95  0.13  0.16303 -2.256 3.508  4.885 10.30  0.378 0.00 20.710 27.372 24.187 22.566 21.252 20.455  0.163 
 1   7.95  0.17  0.19567 -2.255 3.529  5.046  8.80  0.446 0.00 19.208 25.532 22.436 20.843 19.681 18.967  0.196 
 1   7.99 -0.09  0.10593 -2.555 3.486  4.908  8.70  0.321 0.86 19.230 26.641 23.135 21.431 19.894 18.986  0.106 
 1   8.01 -0.13  0.41907 -1.563 3.587  4.918  9.00  0.470 0.00 17.677 22.777 20.119 18.656 17.921 17.444  0.419 
 1   8.01  0.07  0.07147 -2.873 3.444  4.886  9.00  0.424 0.00 20.952 29.691 25.786 23.991 22.022 20.842  0.071 
 1   8.01  0.43  0.80968 -0.636 3.673  4.621  8.40  0.410 0.00 14.759 18.660 16.233 15.140 14.791 14.575  0.810 
 1   8.05  0.25  0.25761 -2.053 3.542  5.017  8.30  0.363 0.00 18.202 24.125 21.134 19.603 18.557 17.917  0.258 
 1   8.05  0.27  0.21534 -2.202 3.534  5.054  8.40  0.383 0.00 18.675 24.808 21.756 20.194 19.081 18.401  0.215 
 1   8.09 -0.05  0.09291 -2.682 3.473  4.925  8.90  0.446 0.00 20.375 28.200 24.597 22.840 21.190 20.205  0.093 
 1   8.11  0.03  0.57210 -1.210 3.612  4.799  8.10  0.321 0.00 15.895 20.418 17.881 16.556 15.997 15.637  0.572 
 1   8.13  0.25  1.56431  0.748 3.851  4.234  7.50  0.287 0.00 10.401 11.976 10.787 10.541 10.524 10.558  1.564 
 1   8.13  0.35  0.22313 -2.174 3.535  5.047  8.50  0.387 0.00 18.704 24.810 21.767 20.209 19.106 18.432  0.223 
 1   8.15  0.19  0.22269 -2.174 3.536  5.048  8.10  0.398 0.00 18.306 24.425 21.379 19.817 18.715 18.039  0.223 
 1   8.17 -0.25  0.16493 -2.291 3.527  4.999  9.70  0.459 0.00 20.197 26.700 23.435 21.772 20.660 19.977  0.165 
 1   8.17 -0.15  0.21322 -2.163 3.552  5.082  7.10  0.304 0.00 17.277 22.989 19.982 18.451 17.528 16.965  0.213 
 1   8.17 -0.09  0.11455 -2.539 3.490  4.941  8.90  0.387 0.00 20.018 27.278 23.836 22.134 20.669 19.794  0.115 
 1   8.21  0.23  0.42570 -1.587 3.574  4.898  8.20  0.305 0.99 16.205 21.347 18.741 17.363 16.437 15.875  0.426 
 1   8.23 -0.23  0.05778 -3.219 3.395  4.943  7.40  0.314 0.00 20.217 31.136 26.201 24.279 21.826 20.281  0.058 
 1   8.23 -0.13  0.11546 -2.541 3.492  4.953 11.10  0.468 0.96 21.498 28.905 25.399 23.660 22.193 21.314  0.115 
