#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   u      g      r      i      z        Mact
 1   6.61  0.09  0.51087 -1.371 3.595  4.845  8.30  0.336 0.00 16.497 21.282 18.718 17.348 16.656 16.215  0.511 
 1   7.23  0.31  0.18590 -2.119 3.520  4.852  8.10  0.320 0.00 18.167 24.464 21.380 19.813 18.603 17.870  0.186 
 1   7.33  0.05  0.11210 -1.969 3.489  4.360  8.20  0.281 0.00 17.893 24.906 21.594 19.952 18.489 17.616  0.112 
 1   7.37  0.21  1.18737  0.173 3.778  4.398  4.00  0.098 0.00  8.338 10.041  8.736  8.277  8.178  8.167  1.187 
 1   7.51 -0.25  0.15267 -1.866 3.519  4.508  8.30  0.367 0.00 17.734 24.296 20.995 19.339 18.177 17.474  0.153 
 1   7.57 -0.01  0.69445 -0.890 3.648  4.707  7.50  0.260 0.00 14.496 18.382 16.009 14.874 14.487 14.249  0.694 
 1   7.57  0.09  4.32051  2.526 4.168  4.166  6.30  0.227 0.00  4.755  6.305  5.938  6.235  6.484  6.697  4.321 
 1   7.71  0.07  0.59282 -1.165 3.616  4.786  9.60  0.383 0.00 17.283 21.868 19.308 17.978 17.422 17.061  0.593 
 1   7.73 -0.03  0.12875 -2.115 3.497  4.598  6.70  0.288 0.00 16.758 23.579 20.314 18.683 17.300 16.473  0.129 
 1   7.73  0.29  0.24565 -2.092 3.540  5.026  9.00  0.356 0.88 18.371 24.385 21.367 19.824 18.743 18.083  0.246 
 1   7.85  0.05  0.42018 -1.588 3.579  4.910  8.90  0.404 0.77 17.159 22.458 19.753 18.301 17.429 16.880  0.420 
 1   7.89  0.31  0.15267 -2.185 3.498  4.744  8.20  0.309 0.82 17.831 24.792 21.506 19.865 18.427 17.563  0.153 
 1   7.95  0.19  0.27150 -2.010 3.546  5.010  9.10  0.404 0.00 18.894 24.817 21.829 20.291 19.262 18.628  0.271 
 1   8.11  0.13  0.49430 -1.414 3.590  4.854  7.90  0.348 0.00 16.206 21.110 18.531 17.154 16.398 15.921  0.494 
 1   8.15 -0.13  0.76958 -0.658 3.683  4.660  8.20  0.330 0.00 14.615 17.924 15.848 14.913 14.605 14.419  0.770 
 1   8.15  0.33  0.60335 -1.156 3.615  4.780  6.00  0.198 0.00 13.661 18.061 15.536 14.280 13.703 13.344  0.603 
 1   8.21  0.25  0.14605 -2.377 3.494  4.902  7.30  0.348 0.00 18.012 24.986 21.699 20.048 18.620 17.760  0.146 
 1   8.23  0.05  0.88073 -0.428 3.708  4.588 10.00  0.306 0.00 15.839 18.760 16.857 16.040 15.789 15.646  0.881 
