#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   u      g      r      i      z        Mact
 1   6.85  0.25  0.89127 -0.441 3.701  4.579 12.90  0.063 0.00 18.772 21.530 19.560 18.764 18.546 18.442  0.891 
 1   7.31  0.19  0.08257 -2.157 3.468  4.330  6.90  0.048 0.00 17.061 24.356 20.901 19.281 17.652 16.705  0.083 
 1   7.41  0.11  0.23524 -2.119 3.542  5.044  7.40  0.063 0.00 17.468 22.929 20.040 18.605 17.616 17.034  0.235 
 1   7.51 -0.03  0.46531 -1.468 3.591  4.882  8.40  0.066 0.00 16.840 21.262 18.773 17.465 16.811 16.413  0.465 
 1   7.61 -0.19  1.04222 -0.011 3.773  4.503 12.20  0.068 0.00 16.996 18.564 17.385 16.947 16.841 16.822  1.042 
 1   7.67  0.07  0.08627 -2.325 3.472  4.531  7.60  0.049 0.00 18.181 25.354 21.945 20.334 18.743 17.818  0.086 
 1   7.71 -0.25  0.08257 -2.374 3.483  4.608  7.60  0.070 0.00 18.304 25.456 21.870 20.208 18.755 17.936  0.083 
 1   7.75  0.05  0.57696 -1.201 3.613  4.797  6.70  0.047 0.00 14.473 18.565 16.126 14.897 14.388 14.080  0.577 
 1   7.77 -0.05  0.10219 -2.295 3.486  4.633  7.40  0.059 0.00 17.906 24.711 21.396 19.806 18.363 17.525  0.102 
 1   7.95  0.29  0.40433 -1.641 3.571  4.914  7.20  0.064 0.85 15.500 20.430 17.817 16.489 15.586 15.058  0.404 
 1   8.09  0.15  0.23768 -2.115 3.541  5.038  8.60  0.060 0.00 18.657 24.141 21.247 19.811 18.811 18.222  0.238 
 1   8.13 -0.11  0.08098 -2.796 3.461  4.934  7.00  0.063 0.93 18.113 26.060 22.273 20.588 18.805 17.793  0.081 
 1   8.13  0.01  1.39139  0.563 3.832  4.293  8.60  0.069 0.00 11.963 13.214 12.151 11.925 11.914 11.964  1.391 
 1   8.13  0.03  0.18276 -2.274 3.526  5.026  6.40  0.044 0.00 16.856 22.588 19.634 18.174 17.067 16.417  0.183 
 1   8.27  0.13  0.41914 -1.597 3.576  4.906 10.10  0.076 0.00 18.863 23.601 21.071 19.756 18.917 18.418  0.419 
 1   8.31 -0.09  0.36797 -1.707 3.577  4.964  9.50  0.067 0.00 18.538 23.212 20.637 19.283 18.540 18.091  0.368 
 1   8.33  0.31  0.06758 -3.139 3.412  4.999  5.00  0.035 0.00 17.618 27.312 22.827 21.065 18.806 17.450  0.068 
 1   8.39  0.21  3.24735  2.201 4.008  3.729  9.50  0.065 0.00  8.768  9.828  8.948  9.216  9.448  9.609  3.247 
 1   8.43  0.01  0.33652 -1.807 3.566  4.984  9.90  0.053 0.00 19.188 24.080 21.423 20.061 19.231 18.736  0.337 
 1   8.47  0.01  1.14160  0.148 3.783  4.424 12.30  0.085 0.92 16.150 17.797 16.549 16.100 15.996 15.979  1.142 
 1   8.51  0.25  0.20523 -2.238 3.532  5.061  8.10  0.055 0.00 18.466 24.127 21.181 19.724 18.657 18.030  0.205 
 1   8.51  0.27  0.26517 -2.029 3.544  5.013  7.70  0.064 0.00 17.543 22.964 20.091 18.664 17.686 17.110  0.265 
 1   8.53 -0.15  0.13911 -2.456 3.503  4.995  7.60  0.065 0.97 17.792 24.243 20.988 19.410 18.136 17.395  0.139 
 1   8.55 -0.09  0.54383 -1.256 3.611  4.820  9.40  0.074 0.00 17.310 21.410 18.983 17.737 17.233 16.927  0.544 
 1   8.55 -0.05  0.54302 -1.267 3.609  4.821  5.30  0.030 0.00 13.238 17.313 14.891 13.650 13.139 12.829  0.543 
 1   8.57  0.09  0.11172 -2.660 3.476  4.995  7.90  0.064 0.99 18.582 25.661 22.290 20.681 19.126 18.219  0.112 
 1   8.59 -0.33  0.14931 -2.393 3.516  5.016  6.90  0.056 0.96 16.943 23.191 19.890 18.301 17.183 16.536  0.149 
 1   8.59 -0.11  1.09642  0.092 3.781  4.454  8.80  0.071 0.00 13.339 14.865 13.699 13.287 13.194 13.184  1.096 
 1   8.59  0.11  0.54027 -1.297 3.601  4.819  8.70  0.061 0.00 16.712 20.974 18.521 17.258 16.668 16.308  0.540 
 1   8.61 -0.25  0.40190 -1.582 3.591  4.933  9.00  0.080 0.94 17.061 21.488 18.978 17.638 17.017 16.639  0.402 
 1   8.63 -0.43  1.58807  0.981 3.931  4.329  8.00  0.067 0.76 10.059 11.210 10.142 10.182 10.289 10.402  1.588 
 1   8.63 -0.17  0.16888 -2.333 3.525  5.044  6.90  0.059 0.87 16.868 22.931 19.786 18.250 17.116 16.453  0.169 
 1   8.63  0.11  1.40456  0.578 3.827  4.262  8.50  0.067 0.97 11.143 12.444 11.345 11.084 11.062 11.106  1.405 
 1   8.63  0.11  0.54900 -1.275 3.603  4.811  8.70  0.081 0.74 16.259 20.664 18.182 16.904 16.253 15.852  0.549 
 1   8.65 -0.35  0.35533 -1.698 3.589  4.991  6.00  0.040 0.00 15.016 19.343 16.851 15.516 14.929 14.576  0.355 
 1   8.65 -0.03  0.15725 -2.396 3.509  5.013  6.60  0.048 0.00 17.359 23.515 20.423 18.905 17.667 16.942  0.157 
 1   8.65  0.25  0.23671 -2.124 3.538  5.034  7.30  0.050 0.00 17.379 22.898 19.996 18.557 17.539 16.940  0.237 
 1   8.67 -0.19  0.14153 -2.476 3.505  5.030  7.90  0.064 0.00 18.860 25.291 22.005 20.420 19.179 18.461  0.142 
 1   8.67  0.49  0.14818 -2.458 3.493  4.983  6.70  0.054 0.75 17.139 23.911 20.649 19.075 17.615 16.758  0.148 
 1   8.69 -0.15  1.05719  0.028 3.775  4.478  9.10  0.065 0.94 13.212 14.847 13.618 13.157 13.044 13.019  1.057 
 1   8.69  0.31  0.21027 -2.220 3.533  5.057  9.20  0.073 0.86 18.901 24.710 21.730 20.253 19.138 18.480  0.210 
 1   8.69  0.33  0.24133 -2.107 3.539  5.029  6.30  0.050 0.77 15.809 21.441 18.511 17.060 15.999 15.373  0.241 
 1   8.71 -0.17  1.33867  0.567 3.843  4.317 10.90  0.077 0.00 14.253 15.466 14.436 14.251 14.254 14.312  1.339 
 1   8.73 -0.17  0.17970 -2.302 3.533  5.073  8.00  0.068 0.00 18.524 24.270 21.212 19.708 18.697 18.103  0.180 
 1   8.73 -0.13  0.67964 -0.889 3.651  4.711  8.80  0.058 0.72 15.492 19.078 16.813 15.737 15.357 15.132  0.680 
 1   8.73  0.31  0.31953 -1.869 3.555  4.978  8.10  0.064 0.00 17.542 22.728 19.954 18.567 17.647 17.105  0.320 
 1   8.75  0.11  0.24793 -2.071 3.545  5.029  9.10  0.073 1.00 18.295 23.715 20.839 19.409 18.438 17.866  0.248 
 1   8.77 -0.37  0.21879 -2.104 3.566  5.091  7.30  0.053 0.70 16.901 22.140 19.250 17.774 16.960 16.471  0.219 
 1   8.77 -0.33  1.03957  0.068 3.791  4.496  7.50  0.056 0.00 12.100 13.467 12.417 12.060 11.981 11.982  1.040 
 1   8.77 -0.15  0.91162 -0.288 3.734  4.570 10.10  0.061 0.75 15.339 17.557 15.998 15.340 15.146 15.057  0.912 
 1   8.79  0.07  2.11608  1.431 3.916  3.942  9.90  0.060 0.86 10.663 11.815 10.660 10.717 10.847 10.970  2.116 
