#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   u      g      r      i      z        Mact
 1   7.25  0.03  0.05186 -2.490 3.445  4.370  5.90  0.027 0.00 16.895 24.805 21.186 19.543 17.680 16.586  0.052 
 1   7.59  0.01  0.22053 -2.162 3.544  5.065  5.90  0.030 0.00 16.074 21.455 18.580 17.158 16.191 15.624  0.221 
 1   7.85  0.09  0.13593 -2.204 3.494  4.698  7.90  0.040 0.00 18.181 24.675 21.498 19.950 18.579 17.778  0.136 
 1   7.91 -0.21  0.21863 -2.133 3.556  5.082  7.10  0.030 0.00 17.202 22.372 19.501 18.064 17.239 16.754  0.219 
 1   7.91 -0.03  0.16491 -2.208 3.517  4.875  7.70  0.044 0.00 17.989 23.952 20.922 19.430 18.252 17.562  0.165 
 1   7.97  0.57  0.22053 -2.183 3.535  5.050  7.80  0.042 0.00 18.028 23.604 20.683 19.238 18.197 17.586  0.221 
 1   8.03  0.25  0.16776 -2.306 3.510  4.953  7.70  0.037 0.87 17.552 23.808 20.709 19.189 17.895 17.136  0.168 
 1   8.19 -0.07  0.40946 -1.597 3.582  4.923  4.90  0.025 0.00 13.663 18.172 15.652 14.331 13.626 13.202  0.409 
 1   8.23  0.05  0.91033 -0.357 3.718  4.573  7.70  0.040 0.00 13.363 15.701 13.992 13.312 13.129 13.051  0.910 
 1   8.37  0.13  0.21684 -2.189 3.537  5.058  8.20  0.043 0.88 17.788 23.399 20.469 19.020 17.966 17.347  0.217 
 1   8.39  0.31  0.19132 -2.279 3.525  5.042  7.00  0.034 0.77 16.846 22.862 19.833 18.342 17.133 16.419  0.191 
 1   8.43 -0.19  0.60593 -1.073 3.633  4.770  7.70  0.035 0.82 14.699 18.515 16.171 15.005 14.571 14.313  0.606 
 1   8.43 -0.05  0.87514 -0.414 3.714  4.598  6.90  0.033 0.73 12.462 14.972 13.214 12.471 12.247 12.135  0.875 
 1   8.49 -0.27  0.14402 -2.409 3.511  4.996  8.20  0.044 0.85 18.392 24.790 21.475 19.884 18.679 17.985  0.144 
 1   8.51  0.05  0.12327 -2.564 3.485  4.980  7.30  0.034 0.00 18.480 25.218 21.958 20.387 18.934 18.087  0.123 
 1   8.55 -0.01  0.63126 -1.053 3.630  4.756  8.20  0.042 0.00 15.601 19.440 17.051 15.890 15.477 15.233  0.631 
 1   8.59  0.15  0.22587 -2.157 3.538  5.048  8.50  0.033 0.00 18.664 24.158 21.258 19.824 18.810 18.216  0.226 
 1   8.59  0.21  1.13116  0.090 3.769  4.422  8.10  0.032 0.00 12.644 14.346 13.003 12.528 12.427 12.417  1.131 
 1   8.69  0.19  0.86479 -0.493 3.694  4.588 11.90  0.036 0.00 17.902 20.717 18.715 17.896 17.668 17.556  0.865 
 1   8.69  0.19  0.96711 -0.252 3.727  4.529 12.30  0.037 0.00 17.700 19.964 18.277 17.621 17.455 17.391  0.967 
 1   8.71 -0.23  0.60131 -1.074 3.633  4.771  6.90  0.033 0.86 13.841 17.612 15.284 14.130 13.707 13.458  0.601 
 1   8.71 -0.05  0.19825 -2.236 3.541  5.083  5.40  0.025 0.00 15.759 21.212 18.291 16.851 15.878 15.309  0.198 
 1   8.73 -0.15  0.26948 -1.966 3.564  5.035  6.50  0.030 0.00 16.184 21.133 18.393 16.996 16.201 15.728  0.269 
 1   8.73  0.01  0.16436 -2.390 3.512  5.039  8.00  0.035 0.00 18.745 24.803 21.747 20.247 19.029 18.317  0.164 
 1   8.73  0.51  0.70882 -0.885 3.642  4.689  8.80  0.040 0.00 15.781 19.649 17.162 16.033 15.635 15.404  0.709 
 1   8.77 -0.21  0.38086 -1.648 3.585  4.955  8.00  0.039 0.92 16.240 20.725 18.187 16.844 16.188 15.791  0.381 
 1   8.79 -0.13  0.39649 -1.618 3.583  4.934 10.10  0.038 0.00 18.915 23.415 20.888 19.557 18.875 18.463  0.396 
 1   8.79  0.03  0.87018 -0.439 3.707  4.590 12.00  0.039 0.00 17.869 20.379 18.570 17.841 17.637 17.544  0.870 
 1   8.83 -0.15  0.27945 -1.936 3.565  5.028  7.70  0.035 0.00 17.309 22.216 19.499 18.106 17.322 16.854  0.279 
 1   8.83 -0.07  0.27888 -1.951 3.561  5.023  7.10  0.034 0.00 16.747 21.760 19.015 17.625 16.789 16.292  0.279 
 1   8.83  0.17  1.37046  0.528 3.816  4.259 10.50  0.034 0.00 13.951 15.256 14.133 13.851 13.824 13.868  1.370 
 1   8.83  0.23  0.33499 -1.826 3.558  4.968  8.00  0.038 0.00 17.335 22.409 19.681 18.314 17.413 16.883  0.335 
 1   8.85 -0.15  0.33746 -1.779 3.575  4.993  8.00  0.041 0.00 17.216 21.871 19.281 17.919 17.194 16.757  0.337 
