#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   u      g      r      i      z        Mact
 1   7.21  0.37  0.10288 -1.987 3.479  4.300  6.20  0.052 0.00 15.938 22.886 19.558 17.964 16.447 15.563  0.103 
 1   7.53 -0.31  0.19006 -2.120 3.550  4.984  7.90  0.074 0.00 17.971 23.399 20.389 18.902 18.055 17.556  0.190 
 1   7.55 -0.03  0.04535 -2.805 3.420  4.527  7.90  0.069 0.00 19.682 28.131 24.547 22.913 20.801 19.498  0.045 
 1   7.61  0.01  0.04042 -2.959 3.403  4.562  6.80  0.060 0.00 18.966 28.183 24.266 22.586 20.300 18.856  0.040 
 1   7.63 -0.03  0.06475 -2.627 3.450  4.624  8.30  0.072 0.00 19.637 27.645 23.898 22.221 20.386 19.329  0.065 
 1   7.81 -0.05  0.42575 -1.561 3.584  4.911 12.10  0.072 0.87 20.192 24.812 22.266 20.927 20.196 19.752  0.426 
 1   7.91  0.25  0.07807 -2.676 3.453  4.764  8.40  0.082 0.00 19.859 27.739 24.070 22.404 20.601 19.551  0.078 
 1   7.93  0.03  0.42224 -1.581 3.580  4.910  7.80  0.064 0.00 16.522 21.152 18.623 17.301 16.535 16.075  0.422 
 1   7.93  0.19  0.11293 -2.436 3.478  4.786  7.40  0.054 0.00 18.260 25.229 21.894 20.297 18.775 17.887  0.113 
 1   8.03  0.23  1.43283  0.576 3.826  4.270 12.00  0.078 0.00 15.329 16.660 15.532 15.268 15.249 15.297  1.433 
 1   8.09 -0.39  0.26611 -1.935 3.577  5.053  7.40  0.058 0.00 17.007 21.649 19.016 17.613 16.960 16.565  0.266 
 1   8.11  0.13  0.07148 -2.942 3.438  4.932  6.70  0.057 0.00 18.824 27.233 23.361 21.677 19.710 18.555  0.071 
 1   8.13  0.13  0.14608 -2.365 3.497  4.903  6.50  0.046 0.88 16.548 23.071 19.887 18.336 16.956 16.149  0.146 
 1   8.15  0.03  0.09421 -2.686 3.470  4.923  7.20  0.060 0.77 18.203 25.751 22.229 20.594 18.887 17.879  0.094 
 1   8.19  0.11  0.06837 -3.030 3.426  4.954  8.00  0.069 0.82 19.804 29.118 24.912 23.168 20.979 19.648  0.068 
 1   8.21 -0.17  0.62267 -1.034 3.637  4.758 12.40  0.066 0.73 19.412 23.237 20.895 19.739 19.303 19.042  0.623 
 1   8.25  0.05  0.14194 -2.399 3.498  4.927  8.10  0.066 0.85 18.257 24.810 21.620 20.062 18.679 17.867  0.142 
 1   8.25  0.23  0.14814 -2.369 3.495  4.905  6.70  0.056 0.00 17.394 23.881 20.709 19.159 17.796 16.997  0.148 
 1   8.31 -0.19  0.24273 -2.045 3.561  5.057  7.00  0.056 0.00 16.883 21.963 19.156 17.731 16.924 16.444  0.243 
 1   8.35  0.35  0.34220 -1.807 3.559  4.964  6.70  0.059 0.93 15.313 20.439 17.702 16.331 15.413 14.873  0.342 
 1   8.39  0.21  0.34429 -1.802 3.560  4.962  8.60  0.078 0.00 17.874 22.968 20.248 18.874 17.973 17.440  0.344 
 1   8.43  0.07  0.22987 -2.133 3.543  5.052  8.30  0.068 0.81 17.823 23.401 20.484 19.035 18.003 17.393  0.230 
 1   8.47  0.11  0.10502 -2.679 3.471  4.969  8.20  0.077 0.00 19.668 26.903 23.477 21.855 20.253 19.319  0.105 
 1   8.47  0.17  0.26611 -2.023 3.546  5.014  4.80  0.032 0.00 14.628 19.969 17.114 15.701 14.741 14.178  0.266 
 1   8.49 -0.29  1.18446  0.321 3.822  4.424  8.80  0.071 0.98 12.056 13.302 12.304 12.044 12.006 12.038  1.184 
 1   8.49  0.11  0.38523 -1.683 3.570  4.934  6.70  0.058 0.00 15.676 20.495 17.904 16.571 15.726 15.224  0.385 
 1   8.49  0.15  0.87705 -0.457 3.700  4.585  8.00  0.067 0.76 13.634 16.534 14.545 13.700 13.440 13.302  0.877 
 1   8.49  0.19  0.22706 -2.158 3.536  5.044  7.60  0.068 0.00 17.765 23.347 20.427 18.978 17.945 17.336  0.227 
 1   8.49  0.31  0.17680 -2.322 3.514  5.011  8.10  0.069 0.00 18.676 24.722 21.683 20.182 18.974 18.262  0.177 
 1   8.55  0.13  0.10220 -2.732 3.466  4.990  6.50  0.053 0.77 17.661 25.357 21.784 20.141 18.389 17.350  0.102 
 1   8.55  0.23  2.20986  1.432 3.944  4.073  9.50  0.073 0.00 10.690 11.818 10.698 10.848 11.024 11.169  2.210 
 1   8.57 -0.19  0.85274 -0.415 3.720  4.609  7.30  0.071 0.00 13.108 15.368 13.754 13.096 12.907 12.822  0.853 
 1   8.63 -0.03  0.27233 -1.978 3.557  5.026  9.70  0.076 0.00 19.415 24.574 21.789 20.383 19.504 18.982  0.272 
 1   8.65  0.01  0.32389 -1.839 3.564  4.990  8.00  0.073 0.00 17.367 22.342 19.653 18.278 17.432 16.927  0.324 
