#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   u      g      r      i      z        Mact
 1   6.67 -0.03  0.16597 -1.847 3.517  4.518  8.60  0.936 0.00 17.989 25.349 21.996 20.205 18.861 18.000  0.166 
 1   6.75 -0.05  1.12971  0.118 3.782  4.445 11.50  1.107 0.00 15.974 19.134 17.578 16.819 16.534 16.329  1.130 
 1   6.85  0.15  1.02537 -0.134 3.744  4.507 10.50  0.873 0.80 15.287 18.776 16.873 15.954 15.628 15.403  1.025 
 1   7.05  0.33  0.54087 -1.306 3.598  4.816  8.60  0.953 0.00 16.634 22.403 19.627 18.092 17.246 16.667  0.541 
 1   7.07  0.21  0.16462 -1.883 3.504  4.499  8.20  0.979 0.00 17.678 25.388 21.953 20.119 18.657 17.724  0.165 
 1   7.21  0.05  0.09133 -2.055 3.481  4.323  9.20  0.977 0.82 18.540 27.015 23.326 21.417 19.702 18.626  0.091 
 1   7.33 -0.03  0.11441 -1.954 3.494  4.373  9.00  1.021 0.00 18.655 26.719 23.155 21.271 19.720 18.736  0.114 
 1   7.39 -0.09  1.90795  1.173 3.959  4.326  9.70  1.128 0.00 11.537 14.323 12.876 12.694 12.679 12.633  1.908 
 1   7.41 -0.15  0.17552 -2.014 3.530  4.763  9.30  1.065 0.00 19.104 26.428 23.033 21.203 19.977 19.175  0.176 
 1   7.47  0.13  0.16675 -1.982 3.509  4.626  8.30  0.758 0.00 18.026 25.260 21.943 20.199 18.822 17.957  0.167 
 1   7.49 -0.11  0.54086 -1.261 3.612  4.824  6.70  0.644 0.00 14.622 19.604 16.975 15.540 14.933 14.520  0.541 
 1   7.51 -0.17  0.23596 -2.074 3.558  5.063  8.60  1.026 0.98 17.820 24.504 21.309 19.554 18.538 17.860  0.236 
 1   7.61 -0.01  0.63001 -1.058 3.629  4.758 10.80  1.053 0.71 17.893 23.457 20.679 19.151 18.484 18.001  0.630 
 1   7.63  0.19  0.53203 -1.327 3.597  4.823  7.20  0.682 0.00 15.287 20.622 17.938 16.471 15.696 15.180  0.532 
 1   7.65  0.11  0.15534 -1.982 3.502  4.567  8.20  0.787 0.00 17.926 25.367 21.993 20.218 18.781 17.879  0.155 
 1   7.67 -0.05  0.32577 -1.827 3.568  4.995  9.60  1.053 0.00 18.938 25.368 22.345 20.640 19.650 18.979  0.326 
 1   7.67  0.03  0.11460 -2.140 3.489  4.540  8.70  0.963 0.00 18.821 26.904 23.345 21.474 19.883 18.879  0.115 
 1   7.69 -0.37  1.35144  0.597 3.866  4.380 10.00  1.107 0.00 13.276 16.056 14.669 14.216 14.058 13.941  1.351 
 1   7.69  0.01  0.09176 -2.297 3.478  4.556  7.10  0.552 0.83 17.079 25.001 21.428 19.653 17.980 16.963  0.092 
 1   7.69  0.11  0.40434 -1.633 3.574  4.918  9.70  1.367 0.00 18.553 25.353 22.329 20.572 19.489 18.742  0.404 
 1   7.73 -0.15  1.56512  0.831 3.894  4.323  9.20  1.257 0.00 11.892 14.905 13.394 12.979 12.846 12.731  1.565 
 1   7.73  0.09  0.10833 -2.227 3.483  4.578  6.40  0.515 0.00 16.737 24.291 20.836 19.099 17.534 16.585  0.108 
 1   7.79 -0.11  0.97895 -0.176 3.747  4.540 10.10  0.974 0.00 15.311 18.622 16.900 16.051 15.737 15.516  0.979 
 1   7.79  0.09  0.47946 -1.447 3.589  4.867  7.50  0.629 0.00 15.887 21.253 18.563 17.082 16.270 15.737  0.479 
 1   7.79  0.19  0.76809 -0.739 3.661  4.651 12.50  1.372 0.00 19.117 24.617 21.856 20.404 19.841 19.414  0.768 
 1   7.83 -0.05  0.22000 -2.154 3.547  5.070  8.40  0.873 0.99 17.818 24.485 21.291 19.581 18.491 17.784  0.220 
 1   7.85 -0.01  0.13587 -2.200 3.499  4.712  7.30  0.764 0.00 17.570 25.076 21.673 19.893 18.431 17.517  0.136 
 1   7.87 -0.09  0.16153 -2.163 3.517  4.823  8.50  1.066 0.00 18.678 26.275 22.829 20.979 19.629 18.756  0.162 
 1   7.87  0.13  1.71636  0.934 3.891  4.249 11.40  1.284 0.94 13.227 16.307 14.761 14.290 14.135 14.006  1.716 
 1   7.89  0.31  0.19018 -2.204 3.506  4.830  9.40  1.073 0.87 18.975 26.560 23.175 21.344 19.955 19.055  0.165 
 1   7.91 -0.13  0.26077 -1.996 3.561  5.040 10.00  0.918 0.97 19.035 25.465 22.365 20.664 19.674 19.018  0.261 
 1   7.91 -0.09  0.46931 -1.447 3.595  4.881 11.00  1.177 0.74 18.964 25.151 22.244 20.553 19.692 19.082  0.469 
 1   7.91 -0.03  0.48685 -1.416 3.595  4.868 10.50  1.082 0.00 18.811 24.740 21.902 20.265 19.461 18.893  0.487 
 1   7.91  0.35  0.60329 -1.157 3.615  4.781 10.90  1.298 0.00 18.562 24.695 21.767 20.144 19.357 18.787  0.603 
 1   7.93  0.03  0.23707 -2.102 3.547  5.048  8.90  1.165 0.77 18.327 25.575 22.278 20.470 19.248 18.437  0.237 
 1   7.97  0.15  0.26469 -2.025 3.546  5.017  9.50  1.021 0.86 18.731 25.676 22.447 20.695 19.531 18.769  0.265 
 1   8.01  0.13  0.58792 -1.185 3.613  4.789 11.50  1.162 0.00 19.232 25.098 22.246 20.650 19.917 19.388  0.588 
 1   8.05 -0.35  3.34849  2.241 4.132  4.197 10.20  1.118 1.00  8.617 11.542 10.721 10.698 10.766 10.791  3.348 
 1   8.05 -0.25  0.16895 -2.269 3.531  5.006  7.90  0.913 0.96 17.614 24.790 21.371 19.561 18.378 17.615  0.169 
 1   8.05 -0.21  0.15568 -2.308 3.518  4.957  9.00  0.857 0.70 19.048 26.572 23.057 21.226 19.884 19.037  0.156 
 1   8.05  0.05  0.73431 -0.797 3.657  4.676  9.20  1.047 0.00 15.963 20.945 18.331 16.983 16.475 16.105  0.734 
 1   8.05  0.37  0.19310 -2.268 3.526  5.043  8.00  0.842 0.00 18.439 25.433 22.182 20.452 19.195 18.393  0.193 
 1   8.07  0.21  0.66038 -1.012 3.630  4.735  8.60  0.970 0.86 15.397 20.881 18.099 16.602 15.939 15.468  0.660 
 1   8.09  0.11  0.87034 -0.468 3.700  4.592  9.60  1.174 0.00 15.540 19.982 17.661 16.509 16.080 15.762  0.870 
 1   8.09  0.23  0.40527 -1.639 3.571  4.913 10.10  0.985 0.92 18.311 24.641 21.709 20.075 19.016 18.319  0.405 
 1   8.09  0.29  1.59990  0.790 3.858  4.230 10.20  1.040 0.00 12.994 15.740 14.269 13.794 13.648 13.547  1.600 
 1   8.09  0.55  0.58878 -1.191 3.611  4.789  9.80  1.152 0.00 17.548 23.542 20.662 19.094 18.274 17.695  0.589 
 1   8.11 -0.01  1.04416 -0.068 3.756  4.496 10.40  1.264 0.00 15.340 19.029 17.237 16.321 15.968 15.704  1.044 
 1   8.11  0.11  0.18187 -2.282 3.522  5.014  7.50  0.658 0.00 17.975 24.758 21.560 19.884 18.629 17.842  0.182 
 1   8.11  0.17  0.31464 -1.881 3.555  4.984  8.80  0.943 0.00 18.272 24.830 21.734 20.048 18.972 18.267  0.315 
 1   8.13 -0.09  0.79325 -0.611 3.688  4.648  9.30  1.007 0.00 15.599 19.893 17.606 16.469 16.045 15.738  0.793 
 1   8.15 -0.23  0.64379 -0.960 3.647  4.739 10.30  1.169 0.90 16.920 22.273 19.594 18.130 17.544 17.113  0.644 
 1   8.15 -0.13  0.23253 -2.094 3.555  5.064  7.70  0.647 0.00 17.704 23.854 20.780 19.151 18.179 17.558  0.233 
 1   8.15  0.13  0.32079 -1.860 3.558  4.983  8.90  0.996 0.00 18.320 24.890 21.809 20.115 19.046 18.339  0.321 
 1   8.15  0.31  0.84372 -0.552 3.685  4.603  9.20  0.895 0.00 15.350 19.731 17.286 16.115 15.705 15.416  0.844 
 1   8.17 -0.17  0.29407 -1.890 3.569  5.019  8.90  0.961 0.00 18.395 24.654 21.645 19.951 19.022 18.393  0.294 
 1   8.17 -0.03  0.82987 -0.539 3.696  4.628 11.50  1.182 0.00 17.618 22.069 19.771 18.614 18.175 17.847  0.830 
 1   8.17  0.01  0.07296 -2.947 3.437  4.944  6.40  0.476 0.80 18.022 27.486 23.332 21.484 19.338 18.015  0.073 
 1   8.21 -0.15  1.06869  0.035 3.776  4.482  9.40  1.173 0.00 14.083 17.364 15.790 14.994 14.685 14.460  1.069 
 1   8.21 -0.03  0.25433 -2.032 3.554  5.037  8.50  0.841 0.00 18.350 24.795 21.691 20.019 18.975 18.296  0.254 
 1   8.21  0.05  0.35334 -1.767 3.568  4.969  9.20  1.089 0.00 18.386 24.879 21.867 20.167 19.138 18.444  0.353 
 1   8.21  0.17  0.65798 -1.013 3.630  4.736 10.80  1.292 0.00 18.104 23.972 21.086 19.505 18.840 18.347  0.658 
 1   8.23 -0.15  0.35964 -1.721 3.579  4.976  8.20  0.851 0.78 16.755 22.726 19.817 18.180 17.295 16.700  0.360 
 1   8.23  0.07  0.35334 -1.768 3.567  4.967  9.40  1.019 0.00 18.590 24.992 21.999 20.323 19.299 18.613  0.353 
 1   8.23  0.39  0.20276 -2.248 3.531  5.063  7.40  0.766 0.93 17.075 23.933 20.712 19.008 17.775 16.992  0.203 
 1   8.25  0.01  0.76968 -0.696 3.671  4.649 10.00  1.197 0.83 16.101 21.224 18.621 17.251 16.715 16.315  0.770 
 1   8.25  0.03  0.24289 -2.080 3.548  5.042  7.90  0.774 0.00 17.870 24.333 21.214 19.555 18.477 17.785  0.243 
 1   8.27 -0.33  0.81875 -0.452 3.720  4.631  9.30  1.022 0.00 15.201 18.887 16.985 16.024 15.656 15.389  0.819 
 1   8.27  0.09  2.27361  1.468 3.979  4.190  9.40  1.008 0.97  9.812 12.389 11.030 10.926 10.953 10.935  2.274 
 1   8.27  0.27  0.43881 -1.554 3.577  4.888  9.50  1.200 0.00 18.156 24.650 21.749 20.089 18.999 18.270  0.439 
 1   8.29  0.35  0.32957 -1.842 3.557  4.972  9.20  1.095 0.77 18.069 24.941 21.776 20.036 18.895 18.141  0.330 
 1   8.31 -0.13  0.12712 -2.486 3.497  4.963  8.10  0.787 0.74 18.580 26.499 22.884 21.039 19.505 18.556  0.127 
 1   8.31 -0.11  0.91169 -0.315 3.729  4.577 11.40  1.197 0.00 16.959 20.871 18.909 17.910 17.526 17.240  0.912 
 1   8.31 -0.05  0.32764 -1.822 3.568  4.993  7.80  0.956 0.00 17.125 23.394 20.411 18.740 17.769 17.117  0.328 
 1   8.31  0.05  1.05480 -0.040 3.760  4.486  9.40  1.184 0.00 14.271 17.822 16.059 15.176 14.844 14.600  1.055 
 1   8.33 -0.25  0.21431 -2.142 3.558  5.088  7.90  0.766 0.83 17.415 23.903 20.698 18.989 17.985 17.335  0.214 
 1   8.33 -0.13  0.92521 -0.280 3.735  4.569 10.50  1.266 0.00 15.970 19.908 17.976 16.978 16.589 16.296  0.925 
 1   8.35 -0.25  0.07285 -3.062 3.424  5.007  5.60  0.360 0.00 18.026 27.572 23.283 21.456 19.270 17.956  0.073 
 1   8.35 -0.25  0.39759 -1.594 3.590  4.938  8.90  0.878 0.00 17.656 23.314 20.522 18.919 18.155 17.629  0.398 
 1   8.35 -0.15  1.87012  1.182 3.953  4.287  9.30  1.078 0.00 11.116 13.829 12.383 12.209 12.199 12.158  1.870 
 1   8.35  0.01  2.39833  1.592 3.997  4.160 11.20  1.121 0.00 11.991 14.749 13.423 13.313 13.334 13.301  2.398 
 1   8.35  0.07  0.31798 -1.861 3.560  4.989  7.80  0.771 0.00 17.223 23.385 20.407 18.791 17.784 17.130  0.318 
 1   8.35  0.23  0.48529 -1.441 3.586  4.856  9.60  1.189 0.00 17.972 24.288 21.406 19.759 18.771 18.096  0.485 
 1   8.37  0.07  1.78301  1.034 3.909  4.237  9.50  1.233 0.00 11.685 14.662 13.117 12.762 12.664 12.568  1.783 
 1   8.37  0.15  0.77810 -0.700 3.666  4.640 10.00  1.285 0.84 16.091 21.496 18.776 17.339 16.770 16.342  0.778 
 1   8.37  0.17  0.77974 -0.700 3.666  4.639  9.50  1.128 0.00 16.020 21.037 18.410 17.071 16.569 16.199  0.780 
 1   8.37  0.25  0.26186 -2.040 3.543  5.015  9.10  1.110 0.00 18.969 26.046 22.789 21.010 19.830 19.051  0.262 
 1   8.37  0.27  2.86413  1.914 4.011  3.969  8.10  0.836 0.00  8.086 10.365  9.203  9.211  9.298  9.321  2.864 
 1   8.37  0.55  1.04407 -0.093 3.747  4.485 11.10  1.103 0.00 16.101 19.882 17.862 16.903 16.571 16.335  1.044 
 1   8.39  0.03  0.09526 -2.736 3.466  4.964  6.90  0.658 0.88 17.903 26.425 22.654 20.813 18.982 17.865  0.095 
 1   8.39  0.11  0.23234 -2.129 3.542  5.046  8.80  0.733 0.00 18.893 25.419 22.282 20.621 19.502 18.790  0.232 
 1   8.39  0.23  1.88061  1.106 3.910  4.193  9.30  1.239 0.88 10.808 13.813 12.256 11.849 11.728 11.620  1.881 
 1   8.41 -0.11  0.68842 -0.874 3.653  4.706 10.90  1.292 0.00 17.855 23.229 20.547 19.107 18.543 18.118  0.688 
 1   8.41 -0.03  0.61673 -1.086 3.627  4.766  9.90  1.050 0.00 17.384 22.845 20.079 18.566 17.953 17.509  0.617 
 1   8.41  0.15  0.66908 -0.978 3.634  4.723  7.60  0.645 0.00 14.814 19.600 16.969 15.624 15.099 14.742  0.669 
 1   8.41  0.35  0.85489 -0.522 3.689  4.595  9.50  1.224 0.82 15.200 20.229 17.625 16.303 15.799 15.423  0.855 
 1   8.43  0.05  0.20817 -2.212 3.539  5.071  7.50  0.689 0.87 17.146 23.781 20.614 18.948 17.769 17.024  0.208 
 1   8.43  0.05  1.90216  1.162 3.930  4.220 10.00  1.078 0.81 11.495 14.232 12.754 12.454 12.380 12.307  1.902 
 1   8.43  0.25  0.52435 -1.345 3.595  4.828  9.70  1.226 0.00 17.833 24.070 21.189 19.546 18.631 17.992  0.524 
 1   8.45 -0.17  0.22692 -2.108 3.556  5.071  9.20  0.974 0.86 18.623 25.375 22.133 20.375 19.331 18.642  0.227 
 1   8.45  0.11  0.38658 -1.679 3.571  4.933  9.90  0.985 0.71 18.436 24.839 21.849 20.183 19.138 18.445  0.387 
 1   8.45  0.29  0.93665 -0.325 3.717  4.548  7.80  0.839 0.00 13.383 17.119 15.000 14.015 13.680 13.451  0.937 
 1   8.47 -0.27  1.25707  0.445 3.837  4.385 10.00  1.064 0.00 13.657 16.417 15.056 14.521 14.325 14.186  1.257 
 1   8.47  0.13  1.03986 -0.086 3.751  4.490 10.20  1.270 0.00 15.185 19.010 17.117 16.160 15.799 15.530  1.040 
 1   8.47  0.13  1.04205 -0.081 3.751  4.488 10.50  1.204 0.00 15.474 19.189 17.323 16.391 16.043 15.787  1.042 
 1   8.49 -0.25  0.50358 -1.329 3.611  4.858 10.70  1.339 0.00 18.792 24.822 21.967 20.298 19.567 19.027  0.504 
 1   8.49  0.15  0.16598 -2.350 3.509  4.988  8.00  0.841 0.00 18.644 26.026 22.674 20.900 19.501 18.617  0.166 
 1   8.49  0.31  0.73416 -0.822 3.650  4.673 11.10  1.301 0.00 17.926 23.561 20.706 19.204 18.618 18.180  0.734 
 1   8.49  0.51  1.04419 -0.090 3.748  4.483  7.40  0.791 0.00 12.395 15.682 13.778 12.924 12.651 12.476  1.044 
 1   8.51 -0.33  0.85704 -0.358 3.734  4.609  9.30  1.140 0.00 14.964 18.646 16.821 15.876 15.506 15.234  0.857 
 1   8.51 -0.03  2.84187  1.994 4.000  3.844 11.80  0.969 0.00 11.586 14.093 12.840 12.794 12.849 12.835  2.842 
 1   8.51  0.03  0.71562 -0.838 3.651  4.682  9.80  1.436 0.00 16.665 22.353 19.561 18.050 17.453 16.998  0.716 
 1   8.51  0.21  0.63399 -1.077 3.623  4.754  9.40  1.093 0.00 16.863 22.540 19.698 18.154 17.484 17.000  0.634 
 1   8.51  0.35  0.22094 -2.181 3.535  5.049  8.20  0.851 0.00 18.423 25.267 22.052 20.337 19.144 18.379  0.221 
 1   8.51  0.43  1.38432  0.521 3.817  4.274 10.00  1.111 0.94 12.850 15.940 14.340 13.657 13.422 13.261  1.384 
 1   8.51  0.47  0.09345 -2.807 3.454  4.977  7.10  0.585 0.00 18.886 27.516 23.679 21.848 19.962 18.824  0.093 
 1   8.53 -0.19  0.19751 -2.214 3.549  5.089  8.70  0.971 0.82 18.398 25.450 22.097 20.303 19.167 18.423  0.198 
 1   8.53 -0.17  0.13629 -2.473 3.502  5.000  8.20  0.758 0.82 18.575 26.284 22.704 20.875 19.423 18.527  0.136 
 1   8.53 -0.15  0.34392 -1.763 3.576  4.989  8.10  1.062 0.92 16.614 22.902 19.924 18.217 17.294 16.660  0.344 
 1   8.53  0.03  0.18469 -2.288 3.527  5.047  6.00  0.426 0.00 16.490 22.815 19.717 18.128 16.957 16.239  0.185 
 1   8.53  0.09  0.96155 -0.246 3.732  4.540 10.00  1.231 0.72 15.170 19.347 17.260 16.182 15.765 15.450  0.962 
 1   8.53  0.15  1.03190 -0.105 3.748  4.493  9.10  1.054 0.77 13.872 17.586 15.659 14.696 14.340 14.084  1.032 
 1   8.53  0.27  0.65569 -1.022 3.628  4.736 10.30  0.936 0.00 17.625 23.004 20.216 18.744 18.127 17.689  0.656 
 1   8.53  0.31  1.11076  0.049 3.764  4.438  9.50  1.079 0.00 14.147 17.588 15.791 14.935 14.632 14.419  1.111 
 1   8.53  0.51  0.33860 -1.817 3.559  4.966 10.30  1.205 0.84 19.031 26.018 22.841 21.079 19.926 19.157  0.339 
 1   8.55 -0.37  0.37337 -1.643 3.593  4.971  9.10  1.185 0.00 17.977 24.014 21.142 19.439 18.661 18.104  0.373 
 1   8.55 -0.17  0.71820 -0.775 3.667  4.684 10.80  1.484 0.00 17.509 22.894 20.277 18.869 18.307 17.873  0.718 
 1   8.55 -0.05  0.21559 -2.170 3.546  5.073  8.90  0.815 0.00 19.095 25.685 22.507 20.815 19.731 19.033  0.216 
 1   8.55  0.09  0.72426 -0.828 3.652  4.678  8.90  1.113 0.00 15.740 20.944 18.250 16.843 16.305 15.911  0.724 
 1   8.55  0.13  0.83703 -0.550 3.687  4.606  8.10  0.814 0.81 13.880 18.180 15.804 14.638 14.210 13.910  0.837 
 1   8.55  0.13  0.22309 -2.165 3.539  5.053  9.40  1.112 0.89 18.934 26.161 22.856 21.056 19.826 19.018  0.223 
 1   8.55  0.13  1.37832  0.529 3.821  4.278 10.20  1.183 0.00 13.646 16.715 15.202 14.555 14.319 14.148  1.378 
 1   8.55  0.25  0.33652 -1.823 3.558  4.967  9.80  1.060 0.00 19.127 25.797 22.704 20.997 19.902 19.178  0.337 
 1   8.55  0.27  1.03052 -0.117 3.744  4.491 10.00  1.147 0.98 14.371 18.202 16.210 15.237 14.885 14.630  1.031 
 1   8.55  0.35  1.08270 -0.008 3.758  4.457  9.40  1.101 0.00 14.189 17.764 15.892 14.995 14.678 14.453  1.083 
 1   8.57 -0.25  0.24250 -2.036 3.564  5.061  8.70  0.950 0.00 18.559 24.959 21.852 20.127 19.189 18.559  0.243 
 1   8.57  0.09  0.46073 -1.491 3.585  4.878 10.40  1.311 0.00 18.897 25.401 22.451 20.734 19.758 19.075  0.461 
 1   8.57  0.17  0.66829 -0.985 3.632  4.724 11.20  1.303 0.00 18.433 24.283 21.402 19.829 19.172 18.684  0.668 
 1   8.57  0.19  0.96002 -0.271 3.724  4.535  8.00  0.886 0.74 13.212 17.013 14.937 13.929 13.564 13.307  0.960 
