#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   u      g      r      i      z        Mact
 1   6.75  0.05  1.02394 -0.124 3.750  4.518 11.20  0.365 0.00 16.280 18.658 17.122 16.474 16.281 16.182  1.024 
 1   6.85 -0.17  2.78911  1.818 4.086  4.357 10.00  0.389 0.00 10.225 11.912 11.197 11.396 11.590 11.737  2.789 
 1   6.85 -0.13  0.11283 -1.853 3.500  4.289  9.60  0.442 0.00 19.002 26.071 22.683 20.980 19.616 18.792  0.113 
 1   6.91  0.35  2.58436  1.626 4.020  4.253 11.00  0.441 0.00 11.706 13.373 12.388 12.532 12.697 12.808  2.584 
 1   7.07 -0.29  0.32443 -1.790 3.581  5.010 10.20  0.399 0.00 19.445 24.531 21.832 20.349 19.632 19.172  0.324 
 1   7.13  0.17  0.68575 -0.944 3.638  4.715 10.90  0.403 0.94 17.398 21.824 19.274 18.005 17.520 17.205  0.686 
 1   7.13  0.29  0.38187 -1.701 3.567  4.933  9.10  0.356 0.00 18.123 23.508 20.787 19.362 18.407 17.823  0.382 
 1   7.35  0.25  0.96689 -0.266 3.725  4.536 10.00  0.416 0.93 14.856 17.901 15.961 15.123 14.867 14.718  0.967 
 1   7.37  0.17  0.39876 -1.653 3.570  4.920  6.90  0.190 0.00 15.803 20.833 18.208 16.841 15.952 15.417  0.399 
 1   7.37  0.35  0.46050 -1.502 3.581  4.873 10.10  0.499 0.00 18.624 23.958 21.337 19.934 18.988 18.402  0.460 
 1   7.41 -0.09  2.58441  1.683 4.052  4.321  9.00  0.316 0.00  9.564 11.092 10.271 10.476 10.673 10.818  2.584 
 1   7.47  0.13  0.16243 -1.948 3.506  4.567  8.40  0.376 0.00 18.039 24.747 21.548 19.922 18.592 17.785  0.162 
 1   7.49  0.27  0.61079 -1.138 3.617  4.776  6.60  0.191 0.71 13.877 18.352 15.830 14.564 13.936 13.541  0.611 
 1   7.51 -0.09  0.21108 -2.181 3.548  5.080  6.50  0.182 0.00 16.723 22.312 19.347 17.860 16.915 16.350  0.211 
 1   7.51  0.11  0.56560 -1.236 3.608  4.803  8.30  0.316 0.00 16.160 20.754 18.209 16.879 16.278 15.892  0.566 
 1   7.57  0.19  0.12913 -2.007 3.487  4.449  8.70  0.332 0.00 18.486 25.645 22.292 20.627 19.133 18.238  0.129 
 1   7.61 -0.13  0.33389 -1.793 3.574  4.995  9.60  0.441 0.00 18.852 24.177 21.425 19.928 19.112 18.590  0.334 
 1   7.61  0.17  0.40618 -1.634 3.572  4.914  8.40  0.342 0.83 16.709 22.048 19.329 17.897 16.970 16.400  0.406 
 1   7.61  0.17  0.43014 -1.574 3.576  4.897  9.80  0.386 0.00 18.506 23.723 21.093 19.685 18.777 18.215  0.430 
 1   7.67  0.13  0.13482 -2.043 3.492  4.524  8.50  0.337 0.00 18.378 25.400 22.095 20.441 18.993 18.124  0.135 
 1   7.69 -0.25  0.84672 -0.418 3.722  4.617  7.80  0.266 0.00 13.616 16.125 14.482 13.774 13.550 13.431  0.847 
 1   7.69 -0.17  0.40455 -1.591 3.587  4.930  8.70  0.369 0.00 17.449 22.392 19.764 18.328 17.619 17.165  0.405 
 1   7.69  0.21  0.36682 -1.741 3.564  4.945 10.00  0.503 0.00 19.123 24.794 21.973 20.475 19.504 18.896  0.367 
 1   7.69  0.47  0.48774 -1.436 3.587  4.855  9.80  0.440 0.00 18.160 23.332 20.755 19.402 18.485 17.921  0.488 
 1   7.71 -0.23  0.15893 -2.019 3.522  4.692  7.30  0.247 0.00 17.118 23.389 20.178 18.578 17.463 16.795  0.159 
 1   7.71  0.23  0.36125 -1.756 3.563  4.950 10.00  0.505 0.00 19.160 24.856 22.023 20.523 19.546 18.935  0.361 
 1   7.75  0.13  2.67167  1.707 4.032  4.231  8.10  0.266 0.00  8.603 10.019  9.141  9.351  9.552  9.699  2.672 
 1   7.77 -0.23  0.47679 -1.402 3.604  4.880 10.30  0.382 0.00 18.576 23.195 20.669 19.290 18.706 18.327  0.477 
 1   7.77 -0.13  0.50628 -1.348 3.605  4.855  9.00  0.381 0.00 17.139 21.782 19.241 17.867 17.277 16.894  0.506 
 1   7.81 -0.11  0.40907 -1.591 3.584  4.925 10.10  0.407 0.00 18.848 23.911 21.258 19.810 19.060 18.579  0.409 
 1   7.85 -0.15  0.20670 -2.188 3.550  5.087  6.40  0.182 0.97 15.913 21.489 18.501 17.003 16.089 15.542  0.207 
 1   7.87  0.23  0.79941 -0.661 3.670  4.627  8.30  0.334 0.00 14.723 18.456 16.120 15.061 14.719 14.509  0.799 
 1   7.89  0.07  0.09192 -2.514 3.471  4.746  7.80  0.262 0.77 18.375 26.124 22.561 20.863 19.154 18.136  0.092 
 1   7.91  0.17  0.06649 -2.837 3.441  4.807  7.30  0.249 0.94 18.471 27.082 23.224 21.488 19.492 18.299  0.066 
 1   7.91  0.37  0.62361 -1.105 3.620  4.765 10.20  0.419 0.92 17.117 21.877 19.266 17.939 17.314 16.908  0.624 
 1   7.93 -0.33  0.35297 -1.710 3.588  4.993  9.00  0.311 0.99 17.310 22.108 19.499 18.067 17.414 17.001  0.353 
 1   7.93  0.09  0.52169 -1.343 3.598  4.836  8.60  0.274 0.86 16.179 20.926 18.374 17.019 16.308 15.859  0.522 
 1   7.95  0.03  0.48187 -1.436 3.591  4.869 10.00  0.396 0.00 18.360 23.299 20.696 19.288 18.564 18.098  0.482 
 1   7.95  0.21  0.48302 -1.447 3.586  4.858 10.90  0.468 0.00 19.288 24.477 21.853 20.443 19.592 19.055  0.483 
 1   7.95  0.25  2.09755  1.282 3.951  4.228  9.20  0.422 0.00 10.765 12.428 11.208 11.251 11.367 11.453  2.098 
 1   7.97  0.07  2.86090  1.850 4.051  4.194  8.40  0.354 0.00  8.545 10.110  9.279  9.474  9.667  9.803  2.861 
 1   7.99 -0.11  0.40684 -1.597 3.584  4.926  8.40  0.338 0.00 17.161 22.124 19.494 18.067 17.327 16.858  0.407 
 1   8.01 -0.29  0.99890 -0.066 3.771  4.535  8.90  0.358 0.00 13.835 15.841 14.580 14.047 13.883 13.806  0.999 
 1   8.01  0.07  0.31556 -1.868 3.560  4.991  9.50  0.434 0.00 18.941 24.584 21.723 20.219 19.272 18.681  0.316 
 1   8.01  0.09  0.50907 -1.375 3.595  4.846  7.40  0.226 0.75 15.181 19.929 17.371 16.021 15.290 14.833  0.509 
 1   8.01  0.45  2.64246  1.693 4.016  4.175  9.50  0.409 0.00 10.037 11.641 10.651 10.803 10.973 11.088  2.642 
 1   8.03  0.11  0.85344 -0.509 3.694  4.600  9.60  0.441 0.00 15.643 19.044 16.934 15.993 15.689 15.501  0.853 
 1   8.05  0.03  0.44958 -1.513 3.585  4.889  9.80  0.430 0.00 18.353 23.468 20.827 19.394 18.601 18.095  0.450 
 1   8.07 -0.17  0.18403 -2.242 3.539  5.046  7.90  0.271 0.00 18.275 24.212 21.124 19.569 18.562 17.953  0.184 
 1   8.07  0.01  1.06579 -0.012 3.765  4.482 10.10  0.356 0.92 14.338 16.611 15.142 14.528 14.346 14.255  1.066 
 1   8.09 -0.07  1.74052  1.012 3.921  4.296  9.90  0.430 0.00 12.140 13.849 12.605 12.558 12.627 12.692  1.741 
 1   8.09 -0.03  0.20317 -2.220 3.542  5.082  7.80  0.238 0.00 18.121 23.880 20.899 19.394 18.383 17.774  0.203 
 1   8.09 -0.01  0.36164 -1.739 3.571  4.967 10.00  0.420 0.00 19.117 24.466 21.730 20.257 19.390 18.841  0.362 
