#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   u      g      r      i      z        Mact
 1   6.61  0.23  0.17607 -1.979 3.512  4.658  8.40  0.203 0.00 18.118 24.412 21.317 19.767 18.518 17.773  0.176 
 1   6.67 -0.07  0.21832 -2.157 3.548  5.073  8.20  0.196 0.00 18.363 23.953 20.999 19.514 18.565 17.996  0.218 
 1   6.95 -0.21  0.50509 -1.334 3.609  4.857  9.50  0.258 0.00 17.606 21.978 19.504 18.187 17.648 17.306  0.505 
 1   7.01  0.01  0.77755 -0.678 3.673  4.646  9.90  0.248 0.00 16.366 19.780 17.598 16.619 16.306 16.120  0.778 
 1   7.07 -0.05  0.03150 -2.675 3.410  4.196  7.70  0.171 0.80 18.568 27.368 23.923 22.251 20.018 18.543  0.031 
 1   7.13  0.11  0.65552 -1.012 3.632  4.740  9.20  0.277 0.00 16.499 20.721 18.227 16.996 16.535 16.245  0.656 
 1   7.15 -0.23  0.18766 -1.841 3.525  4.537  8.10  0.207 0.87 16.979 22.947 19.829 18.272 17.247 16.632  0.163 
 1   7.15  0.17  0.21228 -2.210 3.534  5.059  8.60  0.198 0.00 18.896 24.727 21.744 20.245 19.172 18.530  0.212 
 1   7.23 -0.15  0.31965 -1.826 3.572  5.004  9.40  0.271 0.00 18.735 23.824 21.113 19.665 18.880 18.390  0.320 
 1   7.31  0.49  0.21832 -2.191 3.534  5.052  8.90  0.195 0.00 19.148 24.974 21.994 20.497 19.424 18.781  0.218 
 1   7.39  0.25  1.03179 -0.127 3.743  4.498  9.10  0.246 0.00 14.188 16.571 14.930 14.269 14.090 14.008  1.032 
 1   7.41  0.35  0.25159 -2.071 3.541  5.021  9.90  0.294 0.00 19.848 25.687 22.715 21.203 20.161 19.529  0.252 
 1   7.45  0.57  0.77756 -0.717 3.663  4.645 10.30  0.224 0.88 16.361 20.319 17.832 16.700 16.312 16.077  0.778 
 1   7.47  0.11  0.27303 -1.995 3.550  5.016  9.80  0.252 0.77 19.040 24.735 21.795 20.306 19.304 18.698  0.273 
 1   7.47  0.19  0.10174 -2.091 3.478  4.393  8.90  0.258 0.94 18.193 25.545 22.115 20.445 18.862 17.924  0.102 
 1   7.53 -0.09  0.25688 -2.015 3.558  5.040 10.20  0.218 0.73 19.398 24.956 22.043 20.559 19.614 19.041  0.257 
 1   7.53  0.01  0.12687 -1.985 3.495  4.454 10.50  0.261 0.85 19.590 26.476 23.205 21.579 20.151 19.298  0.127 
 1   7.55  0.33  0.18766 -2.018 3.507  4.652  6.90  0.142 0.89 16.133 22.306 19.244 17.718 16.488 15.757  0.167 
 1   7.61  0.15  0.27299 -2.000 3.548  5.012 10.00  0.293 0.00 19.771 25.477 22.539 21.043 20.052 19.450  0.273 
 1   7.63  0.05  0.70518 -0.874 3.648  4.698  7.60  0.156 0.00 14.555 18.302 15.946 14.843 14.474 14.255  0.705 
