#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   u      g      r      i      z        Mact
 1   7.21 -0.09  0.11653 -1.904 3.498  4.347  6.90  0.057 0.00 16.429 22.912 19.683 18.115 16.798 16.030  0.117 
 1   7.27  0.27  0.06170 -2.392 3.457  4.393  7.40  0.052 0.00 18.150 25.848 22.241 20.594 18.839 17.820  0.062 
 1   7.73  0.47  0.06086 -2.769 3.441  4.703  7.20  0.050 0.00 18.892 27.027 23.314 21.654 19.738 18.609  0.061 
 1   7.79  0.07  0.88658 -0.421 3.708  4.586 11.50  0.062 0.00 17.323 19.865 18.045 17.310 17.105 17.009  0.887 
 1   7.79  0.09  0.22144 -2.165 3.519  4.875  6.70  0.050 0.80 16.133 21.799 18.862 17.408 16.333 15.698  0.177 
 1   7.85  0.29  0.55389 -1.274 3.601  4.807  7.80  0.062 0.87 15.205 19.617 17.159 15.913 15.213 14.791  0.554 
 1   7.99 -0.21  0.23067 -2.087 3.559  5.071  6.70  0.058 0.00 16.689 21.823 18.983 17.547 16.734 16.252  0.231 
 1   8.09 -0.27  0.08933 -2.700 3.479  4.952  5.90  0.039 0.00 17.421 24.691 21.037 19.366 17.875 17.043  0.089 
 1   8.13  0.03  0.12934 -2.457 3.493  4.922  8.80  0.067 0.00 19.711 26.293 23.091 21.530 20.139 19.324  0.129 
 1   8.25 -0.15  0.55389 -1.217 3.617  4.812  9.20  0.059 0.00 17.012 20.994 18.597 17.380 16.912 16.631  0.554 
 1   8.25 -0.09  0.11864 -2.528 3.491  4.951  8.20  0.070 0.00 19.289 26.004 22.695 21.103 19.713 18.907  0.119 
 1   8.29  0.29  0.13449 -2.456 3.487  4.918  8.00  0.054 0.94 18.215 24.984 21.717 20.140 18.683 17.832  0.134 
 1   8.33  0.35  0.22508 -2.166 3.536  5.046  7.70  0.064 0.82 17.279 22.995 20.043 18.580 17.493 16.851  0.225 
 1   8.35  0.15  0.08325 -2.852 3.447  4.942  7.00  0.054 0.00 18.899 26.972 23.223 21.554 19.685 18.597  0.083 
 1   8.37  0.35  0.23067 -2.146 3.537  5.040  5.60  0.043 0.00 15.735 21.270 18.361 16.922 15.896 15.293  0.231 
 1   8.39  0.17  0.30991 -1.893 3.554  4.986  7.20  0.056 0.00 16.703 21.890 19.105 17.712 16.800 16.262  0.310 
 1   8.41  0.17  0.13195 -2.492 3.486  4.942  7.80  0.072 0.00 18.800 25.571 22.307 20.726 19.274 18.425  0.132 
 1   8.47  0.13  0.11150 -2.632 3.475  4.965  8.60  0.057 0.93 19.267 26.420 23.022 21.409 19.827 18.906  0.111 
 1   8.47  0.29  0.10176 -2.709 3.465  4.959  5.00  0.029 0.00 16.542 23.928 20.434 18.813 17.149 16.184  0.102 
