#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   u      g      r      i      z        Mact
 1   7.45  0.25  0.14517 -1.865 3.492  4.379  8.90  0.063 0.00 18.333 24.927 21.721 20.159 18.762 17.944  0.145 
 1   7.83  0.01  0.19756 -2.232 3.538  5.062  8.00  0.073 0.00 18.349 23.923 21.001 19.550 18.526 17.922  0.198 
 1   8.05  0.23  0.08423 -2.762 3.454  4.886  5.70  0.048 0.00 17.375 25.174 21.528 19.875 18.087 17.049  0.084 
 1   8.19  0.15  0.19814 -2.256 3.532  5.063  6.50  0.049 0.00 16.911 22.566 19.621 18.165 17.099 16.472  0.198 
 1   8.29  0.23  1.40830  0.549 3.822  4.272  8.40  0.065 0.00 11.798 13.133 12.000 11.723 11.699 11.744  1.408 
 1   8.37 -0.19  0.47538 -1.413 3.601  4.880  5.90  0.046 0.00 14.202 18.337 15.922 14.645 14.109 13.784  0.475 
 1   8.37  0.13  0.20554 -2.230 3.535  5.067  6.20  0.046 0.00 16.545 22.131 19.204 17.755 16.716 16.105  0.206 
 1   8.41  0.15  0.10713 -2.648 3.472  4.950  7.60  0.050 0.00 18.989 26.150 22.746 21.134 19.548 18.626  0.107 
 1   8.43  0.05  0.21883 -2.172 3.542  5.063  6.90  0.053 0.00 17.100 22.562 19.668 18.233 17.243 16.661  0.219 
 1   8.45  0.31  0.90193 -0.407 3.706  4.568  7.10  0.056 0.00 12.887 15.589 13.638 12.858 12.651 12.556  0.902 
 1   8.49  0.15  1.72132  0.954 3.885  4.205  7.70  0.059 0.77  9.789 10.993  9.875  9.769  9.820  9.908  1.721 
 1   8.49  0.41  0.90987 -0.387 3.708  4.563  4.00  0.025 0.00  9.737 12.398 10.440  9.670  9.473  9.389  0.910 
 1   8.59  0.17  0.14332 -2.464 3.492  4.971  6.00  0.046 0.00 16.931 23.510 20.306 18.748 17.351 16.534  0.143 
 1   8.63 -0.01  0.61409 -1.097 3.625  4.768  8.30  0.061 0.00 15.812 19.759 17.338 16.144 15.709 15.449  0.614 
 1   8.65 -0.13  0.47133 -1.433 3.597  4.880  7.90  0.062 0.00 16.253 20.507 18.059 16.764 16.188 15.837  0.471 
 1   8.71 -0.07  0.33265 -1.805 3.570  4.991  7.50  0.059 0.00 16.782 21.597 18.957 17.588 16.804 16.332  0.333 
 1   8.75 -0.01  0.16986 -2.369 3.517  5.052  7.40  0.060 0.00 18.092 24.081 21.040 19.542 18.362 17.670  0.170 
 1   8.75  0.07  0.21497 -2.188 3.540  5.064  6.90  0.058 0.00 17.140 22.645 19.740 18.299 17.295 16.704  0.215 
