#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   u      g      r      i      z        Mact
 1   6.91  0.45  0.09659 -1.965 3.477  4.243  7.90  0.124 0.00 17.584 24.695 21.324 19.701 18.154 17.247  0.097 
 1   6.95 -0.07  0.52319 -1.316 3.605  4.840  8.90  0.114 0.00 16.960 21.201 18.747 17.464 16.922 16.586  0.523 
 1   7.21  0.33  0.03495 -2.704 3.412  4.278  6.70  0.101 0.00 18.229 26.676 23.259 21.623 19.474 18.105  0.035 
 1   7.41  0.09  1.57395  0.774 3.865  4.266  8.10  0.121 0.80 10.599 11.925 10.809 10.616 10.622 10.678  1.574 
 1   7.45  0.01  0.52476 -1.328 3.601  4.837 10.30  0.127 0.00 18.390 22.724 20.249 18.950 18.375 18.016  0.525 
 1   7.57 -0.09  0.17539 -1.901 3.510  4.506  6.20  0.087 0.87 15.149 21.198 18.115 16.595 15.432 14.746  0.152 
 1   7.61  0.11  0.08602 -2.282 3.471  4.484  8.30  0.124 0.00 18.776 26.102 22.652 21.013 19.397 18.452  0.086 
 1   7.73  0.19  0.08172 -2.418 3.461  4.560  8.30  0.090 0.00 19.116 26.718 23.157 21.507 19.794 18.795  0.082 
 1   7.77  0.09  0.17376 -2.142 3.517  4.834  8.50  0.130 0.00 18.626 24.696 21.660 20.148 18.949 18.239  0.174 
 1   7.87  0.43  0.09296 -2.486 3.467  4.704  7.50  0.115 0.88 17.836 25.428 21.878 20.224 18.521 17.525  0.093 
 1   7.93  0.03  0.17782 -2.234 3.523  4.960  9.30  0.125 0.82 18.921 25.062 22.011 20.491 19.266 18.537  0.178 
 1   7.95  0.47  0.57136 -1.233 3.606  4.798  6.10  0.080 0.85 13.423 17.864 15.399 14.178 13.457 13.025  0.571 
 1   8.15 -0.01  0.53940 -1.287 3.606  4.825  9.10  0.144 0.93 16.447 20.803 18.322 17.019 16.442 16.082  0.539 
 1   8.17  0.23  0.93422 -0.337 3.715  4.553 12.50  0.144 0.00 18.114 20.754 18.899 18.147 17.940 17.841  0.934 
 1   8.23 -0.07  0.16337 -2.313 3.517  4.978  8.50  0.132 0.00 19.052 25.167 22.078 20.546 19.367 18.670  0.163 
 1   8.23  0.13  0.25376 -2.056 3.545  5.025  9.60  0.146 0.98 18.771 24.310 21.408 19.952 18.966 18.378  0.254 
 1   8.25  0.31  0.39028 -1.678 3.568  4.925  7.20  0.109 0.00 16.164 21.131 18.525 17.193 16.280 15.743  0.390 
 1   8.27 -0.01  0.09296 -2.721 3.468  4.946  4.80  0.048 0.00 16.373 23.679 20.212 18.590 16.961 16.016  0.093 
 1   8.27  0.07  0.27719 -1.977 3.553  5.015 10.40  0.126 0.71 19.652 25.112 22.241 20.799 19.828 19.248  0.277 
 1   8.29 -0.05  0.79554 -0.619 3.686  4.647 10.70  0.145 0.77 16.700 19.882 17.815 16.886 16.580 16.404  0.796 
 1   8.31 -0.35  0.26129 -1.957 3.574  5.053  7.90  0.118 0.00 17.562 22.390 19.699 18.268 17.573 17.148  0.261 
 1   8.31 -0.19  1.12111  0.154 3.794  4.455  7.60  0.118 0.00 11.986 13.462 12.361 11.987 11.903 11.899  1.121 
 1   8.33 -0.33  0.14453 -2.377 3.515  4.980  8.00  0.101 0.00 18.712 25.012 21.708 20.107 18.982 18.328  0.145 
 1   8.33  0.05  0.23805 -2.101 3.546  5.045  6.90  0.095 0.86 16.311 21.814 18.912 17.467 16.478 15.893  0.238 
 1   8.33  0.33  2.15070  1.350 3.950  4.168  9.20  0.145 0.00 10.595 11.820 10.694 10.830 10.999 11.138  2.151 
 1   8.35  0.25  0.37426 -1.721 3.565  4.939  8.80  0.121 0.00 17.872 22.914 20.255 18.897 17.993 17.456  0.374 
 1   8.35  0.33  0.43434 -1.565 3.576  4.892  9.60  0.130 0.83 17.743 22.677 20.111 18.791 17.873 17.333  0.434 
 1   8.41 -0.15  0.14568 -2.391 3.508  4.968  7.40  0.117 0.92 17.478 23.934 20.685 19.099 17.840 17.104  0.146 
 1   8.41  0.05  0.35974 -1.748 3.569  4.963  9.50  0.146 0.00 18.641 23.630 20.972 19.592 18.745 18.232  0.360 
 1   8.41  0.09  0.46000 -1.493 3.585  4.879  8.30  0.121 0.00 16.802 21.442 18.923 17.605 16.850 16.393  0.460 
 1   8.41  0.35  0.23814 -2.119 3.538  5.033  9.10  0.109 0.83 18.579 24.258 21.315 19.849 18.794 18.169  0.238 
 1   8.43  0.13  0.14061 -2.441 3.493  4.944  7.60  0.110 0.00 18.471 25.112 21.897 20.322 18.926 18.104  0.141 
 1   8.43  0.13  0.71250 -0.866 3.646  4.688 10.60  0.135 0.97 16.852 20.678 18.281 17.155 16.767 16.536  0.713 
 1   8.45 -0.19  0.22415 -2.115 3.556  5.075  7.30  0.108 0.00 17.357 22.640 19.752 18.294 17.450 16.947  0.224 
