#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   u      g      r      i      z        Mact
 1   6.67  0.13  0.10878 -1.868 3.485  4.230  7.80  0.106 0.00 17.240 24.091 20.805 19.210 17.743 16.882  0.109 
 1   6.75 -0.17  1.10485  0.101 3.786  4.471  8.60  0.130 0.00 13.117 14.675 13.532 13.124 13.027 13.012  1.105 
 1   6.91  0.05  0.28110 -1.964 3.555  5.015  8.60  0.143 0.00 18.280 23.601 20.778 19.351 18.431 17.881  0.281 
 1   7.05 -0.09  0.05553 -2.367 3.454  4.310  6.40  0.075 0.00 17.089 25.106 21.300 19.610 17.801 16.775  0.056 
 1   7.21  0.13  0.07479 -2.222 3.468  4.351  6.90  0.092 0.00 17.224 24.596 21.122 19.487 17.847 16.890  0.075 
 1   7.23  0.47  0.02797 -2.840 3.387  4.218  8.70  0.126 0.80 19.998 29.813 25.943 24.182 21.762 20.096  0.028 
 1   7.27  0.05  1.02458 -0.121 3.750  4.516  8.00  0.120 0.00 13.071 15.062 13.617 13.052 12.906 12.854  1.025 
 1   7.27  0.19  0.30157 -1.919 3.552  4.990 10.50  0.133 0.87 19.457 24.897 22.029 20.591 19.629 19.056  0.302 
 1   7.45  0.11  0.04070 -2.787 3.415  4.442  7.90  0.132 0.00 19.636 28.253 24.676 23.021 20.864 19.509  0.041 
 1   7.45  0.15  0.36279 -1.749 3.565  4.953  9.10  0.119 0.00 18.241 23.278 20.604 19.233 18.351 17.824  0.363 
 1   7.47  0.47  0.22879 -2.153 3.536  5.043  7.20  0.082 0.00 17.353 22.957 20.032 18.578 17.542 16.930  0.229 
 1   7.49  0.01  0.77537 -0.683 3.673  4.647  7.90  0.103 0.00 14.378 17.579 15.443 14.509 14.221 14.061  0.775 
 1   7.55  0.19  0.32533 -1.854 3.556  4.976 10.20  0.165 0.00 19.604 24.913 22.116 20.696 19.770 19.215  0.325 
 1   7.57  0.03  0.44090 -1.535 3.583  4.896  7.60  0.117 0.00 16.207 20.859 18.325 16.993 16.246 15.792  0.441 
 1   7.57  0.03  0.22662 -2.141 3.544  5.058  7.80  0.117 0.88 17.287 22.849 19.931 18.474 17.474 16.880  0.227 
 1   7.57  0.23  0.02759 -3.219 3.345  4.423  8.20  0.133 0.77 20.518 33.324 27.866 25.545 22.967 21.037  0.028 
 1   7.59  0.11  0.04542 -2.847 3.418  4.560  6.30  0.069 0.94 17.491 26.220 22.505 20.851 18.681 17.332  0.045 
 1   7.69  0.23  0.15380 -2.005 3.497  4.565  8.50  0.117 0.82 17.649 24.313 21.095 19.517 18.114 17.287  0.154 
 1   7.73 -0.05  1.10485  0.069 3.775  4.460 10.30  0.133 0.73 14.681 16.506 15.206 14.694 14.556 14.509  1.105 
 1   7.77 -0.09  0.05422 -2.888 3.428  4.717  6.10  0.068 0.85 17.492 26.305 22.434 20.753 18.617 17.312  0.054 
 1   7.77  0.31  0.29256 -1.947 3.550  4.995  8.80  0.150 0.00 18.437 23.882 21.007 19.564 18.612 18.044  0.293 
 1   7.79 -0.09  0.08731 -2.422 3.477  4.657 10.40  0.145 0.00 21.224 28.480 24.991 23.335 21.793 20.899  0.087 
