#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   u      g      r      i      z        Mact
 1   7.27 -0.35  0.04665 -2.572 3.436  4.368  8.50  0.069 0.00 19.701 28.006 24.256 22.573 20.598 19.453  0.047 
 1   7.31  0.17  1.30618  0.391 3.806  4.331  8.00  0.069 0.00 11.792 13.210 12.053 11.717 11.666 11.691  1.306 
 1   7.41  0.17  0.09920 -2.077 3.478  4.370  3.60  0.018 0.00 13.563 20.487 17.162 15.576 14.056 13.173  0.099 
 1   7.47  0.37  0.20806 -2.229 3.532  5.060  9.90  0.070 0.00 20.241 25.915 22.967 21.506 20.441 19.813  0.208 
 1   7.49 -0.23  0.26151 -1.977 3.567  5.046  9.40  0.078 0.80 18.569 23.639 20.838 19.403 18.613 18.141  0.262 
 1   7.49  0.03  0.11312 -2.033 3.490  4.429  8.90  0.074 0.00 18.751 25.422 22.191 20.620 19.202 18.371  0.113 
 1   7.59  0.05  0.12021 -2.056 3.491  4.483  8.00  0.057 0.00 17.911 24.528 21.313 19.750 18.344 17.521  0.120 
 1   7.81  0.17  0.42401 -1.589 3.575  4.901 11.30  0.074 0.00 20.044 24.792 22.271 20.964 20.105 19.598  0.424 
 1   7.83 -0.05  0.10902 -2.317 3.489  4.695  8.90  0.065 0.00 19.463 26.198 22.909 21.324 19.906 19.081  0.109 
 1   7.85  0.17  0.28455 -1.968 3.549  5.003  7.00  0.042 0.88 16.057 21.398 18.545 17.130 16.174 15.612  0.285 
 1   7.85  0.23  1.19564  0.193 3.781  4.390  9.60  0.081 0.77 13.620 15.428 14.058 13.556 13.441 13.416  1.196 
 1   7.87 -0.07  0.20806 -2.196 3.546  5.081  9.70  0.073 0.94 19.236 24.727 21.793 20.338 19.376 18.810  0.208 
 1   7.87  0.15  0.52521 -1.340 3.597  4.830  8.90  0.073 0.82 16.517 21.002 18.521 17.239 16.528 16.096  0.525 
 1   7.87  0.33  0.26151 -2.041 3.543  5.015  9.30  0.083 0.73 18.641 24.231 21.320 19.871 18.834 18.220  0.262 
 1   7.95 -0.29  0.09180 -2.583 3.486  4.872  6.70  0.051 0.00 17.927 25.019 21.424 19.763 18.344 17.547  0.092 
 1   7.95  0.35  0.17445 -2.259 3.513  4.937 10.00  0.072 0.00 20.418 26.486 23.445 21.941 20.724 20.007  0.174 
 1   8.01  0.01  1.39421  0.565 3.833  4.294  9.40  0.075 0.00 12.757 14.017 12.952 12.726 12.714 12.764  1.394 
 1   8.03  0.09  0.43382 -1.558 3.580  4.898  6.30  0.045 0.00 14.964 19.574 17.063 15.760 14.976 14.509  0.434 
 1   8.05  0.09  0.08761 -2.728 3.462  4.902  8.70  0.074 0.93 19.600 27.252 23.669 22.020 20.285 19.276  0.088 
 1   8.07  0.17  0.69803 -0.912 3.641  4.703 10.70  0.081 0.00 17.750 21.553 19.150 18.026 17.634 17.404  0.698 
 1   8.09 -0.17  0.33611 -1.780 3.576  4.996  8.60  0.070 0.00 17.820 22.502 19.902 18.530 17.813 17.377  0.336 
 1   8.09 -0.01  0.25389 -2.037 3.553  5.036  6.50  0.036 0.00 16.362 21.568 18.753 17.351 16.445 15.912  0.254 
 1   8.09  0.01  1.78636  1.037 3.919  4.276 12.60  0.086 0.81 14.420 15.612 14.502 14.493 14.584 14.690  1.786 
 1   8.17  0.03  0.09471 -2.685 3.470  4.925  8.50  0.082 0.00 19.983 27.269 23.825 22.198 20.582 19.640  0.095 
 1   8.19 -0.03  0.11209 -2.560 3.486  4.936  6.90  0.046 0.00 18.069 24.849 21.555 19.973 18.524 17.682  0.112 
 1   8.19  0.25  0.09864 -2.663 3.466  4.906  8.20  0.068 0.00 19.626 27.018 23.531 21.900 20.247 19.284  0.099 
