#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   u      g      r      i      z        Mact
 1   7.45 -0.23  0.45180 -1.466 3.599  4.899  7.30  0.100 0.00 15.734 19.988 17.546 16.238 15.679 15.337  0.452 
 1   7.57  0.03  0.06430 -2.571 3.452  4.571  6.60  0.078 0.80 17.221 25.239 21.584 19.924 18.051 16.942  0.064 
 1   7.81 -0.13  0.59374 -1.121 3.626  4.782  8.00  0.114 0.00 15.573 19.538 17.135 15.937 15.499 15.235  0.594 
 1   7.83 -0.25  0.15271 -2.099 3.518  4.738  7.60  0.101 0.00 17.616 23.778 20.568 18.999 17.881 17.226  0.153 
 1   7.87 -0.03  0.19978 -2.232 3.541  5.082  7.00  0.094 0.00 17.350 22.901 19.968 18.509 17.518 16.933  0.200 
 1   7.93 -0.07  0.38389 -1.666 3.578  4.947  8.10  0.109 0.00 17.035 21.754 19.177 17.816 17.066 16.609  0.384 
 1   8.01  0.19  0.41281 -1.619 3.572  4.908  6.00  0.058 0.77 14.335 19.243 16.627 15.290 14.407 13.887  0.413 
 1   8.03  0.35  0.18647 -2.278 3.522  5.020  7.50  0.083 0.94 17.232 23.197 20.185 18.691 17.515 16.820  0.186 
 1   8.11  0.05  2.59667  1.698 4.024  4.196  8.60  0.114 0.82  8.725  9.905  8.987  9.217  9.429  9.592  2.597 
 1   8.19  0.43  0.20685 -2.233 3.532  5.060  6.80  0.081 0.00 17.152 22.848 19.895 18.429 17.360 16.729  0.207 
 1   8.21  0.31  0.15271 -2.349 3.498  4.909  6.40  0.078 0.00 17.041 23.476 20.326 18.777 17.437 16.650  0.153 
 1   8.23  0.01  0.52004 -1.339 3.600  4.840  9.00  0.110 0.00 17.118 21.437 18.967 17.670 17.093 16.734  0.520 
 1   8.29  0.05  0.52373 -1.333 3.600  4.835  8.00  0.101 0.00 16.103 20.430 17.962 16.672 16.081 15.715  0.524 
 1   8.35  0.15  0.11553 -2.578 3.478  4.938  5.20  0.050 0.98 15.677 22.659 19.319 17.722 16.194 15.304  0.116 
 1   8.37  0.21  0.81071 -0.630 3.674  4.618  8.20  0.104 0.76 14.245 17.689 15.440 14.440 14.106 13.912  0.811 
 1   8.37  0.33  0.09187 -2.770 3.456  4.941  5.70  0.055 0.00 17.395 25.123 21.506 19.856 18.092 17.067  0.092 
 1   8.41  0.13  0.51798 -1.355 3.596  4.836  8.10  0.088 0.00 16.257 20.661 18.189 16.909 16.254 15.855  0.518 
 1   8.41  0.35  0.51934 -1.358 3.594  4.831  7.20  0.067 0.71 14.988 19.578 17.083 15.819 15.034 14.568  0.519 
 1   8.43  0.05  0.56093 -1.239 3.608  4.806  8.70  0.100 0.77 16.141 20.490 18.011 16.733 16.125 15.749  0.561 
 1   8.43  0.13  0.72889 -0.822 3.652  4.676  8.20  0.095 0.00 15.025 18.651 16.312 15.242 14.895 14.694  0.729 
 1   8.51 -0.07  0.47370 -1.439 3.595  4.877  9.50  0.092 0.00 17.868 22.244 19.765 18.455 17.840 17.462  0.474 
 1   8.53  0.07  0.17490 -2.322 3.518  5.022  7.90  0.110 0.92 17.774 23.891 20.837 19.321 18.102 17.381  0.175 
 1   8.55 -0.01  0.90859 -0.345 3.722  4.575  8.50  0.085 0.00 14.132 16.450 14.787 14.118 13.932 13.850  0.909 
 1   8.55  0.07  0.87952 -0.431 3.707  4.586  8.50  0.112 0.83 13.965 16.815 14.879 14.050 13.799 13.665  0.880 
 1   8.57  0.17  0.13391 -2.520 3.486  4.975  7.00  0.086 0.00 18.071 24.874 21.601 20.014 18.556 17.702  0.134 
 1   8.59 -0.15  1.43610  0.695 3.863  4.297 12.60  0.096 0.97 14.962 16.182 15.132 14.989 15.013 15.083  1.436 
 1   8.59  0.01  0.11378 -2.649 3.480  5.009  6.60  0.089 0.00 17.991 24.977 21.638 20.033 18.518 17.633  0.114 
 1   8.59  0.21  2.49952  1.695 3.956  3.910 12.10  0.101 0.00 12.632 13.789 12.686 12.862 13.048 13.188  2.500 
 1   8.61 -0.15  2.24942  1.574 3.980  4.081  8.40  0.103 0.00  9.234 10.408  9.386  9.596  9.796  9.947  2.249 
 1   8.63 -0.07  1.34723  0.540 3.833  4.307  8.70  0.114 0.00 12.121 13.429 12.367 12.133 12.113 12.155  1.347 
 1   8.63  0.03  0.63351 -1.052 3.628  4.749  8.90  0.111 0.00 16.301 20.296 17.861 16.666 16.230 15.965  0.634 
 1   8.67 -0.17  0.14355 -2.464 3.505  5.026  7.60  0.094 0.00 18.529 24.974 21.703 20.116 18.869 18.144  0.144 
 1   8.69 -0.17  0.45751 -1.460 3.597  4.891  8.30  0.103 0.00 16.720 21.041 18.577 17.264 16.681 16.322  0.458 
 1   8.69 -0.03  0.14624 -2.462 3.501  5.014  8.00  0.092 0.97 18.206 24.667 21.484 19.923 18.599 17.821  0.146 
 1   8.69  0.29  0.12862 -2.601 3.480  5.013  6.20  0.078 0.00 17.472 24.457 21.114 19.511 17.994 17.109  0.129 
