#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   u      g      r      i      z        Mact
 1   6.81 -0.03  0.08128 -2.049 3.481  4.269  7.80  0.083 0.00 17.693 24.655 21.305 19.699 18.202 17.331  0.081 
 1   7.41  0.09  0.29929 -1.914 3.556  4.998  8.80  0.089 0.00 18.355 23.551 20.771 19.370 18.466 17.929  0.299 
 1   7.91  0.17  0.11208 -2.412 3.479  4.762  5.90  0.059 0.80 16.120 23.255 19.866 18.257 16.681 15.761  0.112 
 1   8.01  0.17  0.07371 -2.850 3.446  4.886  7.40  0.061 0.87 18.681 26.982 23.175 21.497 19.555 18.411  0.074 
 1   8.27  0.07  0.09215 -2.732 3.464  4.937  7.90  0.087 0.88 18.876 26.568 22.978 21.323 19.579 18.560  0.092 
 1   8.27  0.21  0.16667 -2.326 3.508  4.963  5.90  0.056 0.94 15.759 22.002 18.909 17.385 16.103 15.349  0.167 
 1   8.37  0.25  0.24953 -2.077 3.541  5.021  7.50  0.087 0.85 16.864 22.450 19.532 18.080 17.052 16.443  0.250 
 1   8.41 -0.27  0.07371 -3.088 3.423  5.030  6.40  0.078 0.89 18.313 27.949 23.529 21.753 19.518 18.168  0.074 
 1   8.43  0.13  0.11688 -2.588 3.479  4.955  7.40  0.077 0.00 18.639 25.625 22.288 20.686 19.165 18.277  0.117 
 1   8.43  0.23  3.76788 -1.060 4.462  8.175  7.40  0.073 0.00 14.819 17.179 17.438 17.909 18.263 18.595  0.766 
 1   8.45 -0.13  0.38603 -1.649 3.582  4.947 11.60  0.071 0.93 19.829 24.445 21.882 20.529 19.819 19.389  0.386 
 1   8.55  0.01  0.27227 -1.984 3.555  5.023  9.00  0.073 0.00 18.730 23.932 21.137 19.732 18.831 18.296  0.272 
 1   8.59 -0.33  0.29929 -1.846 3.580  5.024  9.60  0.076 0.00 18.985 23.601 20.997 19.609 18.952 18.553  0.299 
 1   8.59 -0.03  0.15219 -2.400 3.506  4.989  8.10  0.089 0.76 18.372 24.862 21.679 20.120 18.780 17.990  0.152 
 1   8.59  0.31  0.78881 -0.681 3.667  4.630  9.00  0.099 0.00 15.472 18.926 16.623 15.617 15.309 15.139  0.789 
 1   8.71  0.05  0.14917 -2.454 3.499  5.008  7.10  0.064 0.00 18.004 24.397 21.255 19.712 18.384 17.605  0.149 
 1   8.71  0.07  0.45179 -1.510 3.584  4.885  6.90  0.091 0.77 14.978 19.698 17.139 15.808 15.023 14.550  0.452 
 1   8.71  0.11  0.18210 -2.321 3.521  5.050  6.40  0.073 0.00 16.973 22.878 19.869 18.381 17.230 16.552  0.182 
 1   8.71  0.19  0.16137 -2.412 3.502  5.013  8.70  0.081 0.00 19.501 25.847 22.719 21.179 19.874 19.106  0.161 
 1   8.73 -0.25  0.13229 -2.558 3.501  5.066  8.10  0.067 0.86 18.662 25.457 21.985 20.349 19.028 18.276  0.132 
 1   8.73 -0.21  0.16867 -2.348 3.526  5.063  8.80  0.084 0.00 19.440 25.378 22.245 20.708 19.652 19.031  0.169 
 1   8.73  0.25  0.66370 -1.000 3.630  4.726  6.90  0.081 0.00 14.170 18.171 15.705 14.527 14.082 13.814  0.664 
 1   8.75  0.09  0.38240 -1.687 3.571  4.936  8.70  0.082 0.00 17.687 22.534 19.935 18.591 17.749 17.246  0.382 
 1   8.75  0.13  1.45068  0.646 3.833  4.233  7.60  0.081 0.83 10.382 11.745 10.613 10.334 10.304 10.341  1.451 
 1   8.77  0.49  0.34204 -1.807 3.559  4.963  7.10  0.081 0.00 16.387 21.504 18.798 17.441 16.506 15.958  0.342 
 1   8.79 -0.29  0.32979 -1.775 3.582  5.005  6.50  0.079 0.00 15.707 20.270 17.696 16.324 15.673 15.278  0.330 
 1   8.81 -0.13  0.10335 -2.845 3.470  5.123  7.50  0.074 0.92 18.760 26.626 22.780 21.079 19.376 18.424  0.103 
 1   8.83  0.07  0.36022 -1.746 3.568  4.958  8.40  0.090 0.00 17.535 22.454 19.813 18.452 17.607 17.100  0.360 
 1   8.85 -0.03  0.58393 -1.167 3.618  4.789 11.90  0.087 0.00 19.588 23.652 21.217 19.990 19.514 19.225  0.584 
 1   8.85  0.09  0.74088 -0.781 3.658  4.665  8.10  0.086 0.97 14.145 17.695 15.392 14.343 14.005 13.811  0.741 
 1   8.85  0.29  0.09715 -2.976 3.445  5.127  6.00  0.066 0.00 18.210 26.618 22.642 20.937 19.022 17.919  0.097 
 1   8.87  0.07  0.28858 -1.941 3.555  5.005  8.60  0.075 0.00 18.222 23.422 20.633 19.232 18.326 17.790  0.289 
 1   8.87  0.31  0.72234 -0.846 3.647  4.675  8.40  0.077 0.00 15.284 19.057 16.632 15.523 15.150 14.934  0.722 
 1   8.89 -0.29  0.34703 -1.731 3.585  4.995  9.30  0.085 0.00 18.397 22.907 20.357 18.994 18.359 17.973  0.347 
 1   8.89 -0.25  0.31866 -1.809 3.578  5.009  8.30  0.076 0.00 17.593 22.245 19.641 18.259 17.574 17.158  0.319 
 1   8.89  0.03  0.23490 -2.108 3.546  5.048  8.20  0.073 0.00 18.240 23.639 20.765 19.335 18.376 17.810  0.235 
 1   8.89  0.07  0.22065 -2.166 3.541  5.059  8.00  0.098 0.00 18.186 23.728 20.816 19.365 18.362 17.769  0.221 
 1   8.93 -0.41  1.33542  0.674 3.866  4.300 11.80  0.076 0.00 14.885 16.052 15.030 14.928 14.966 15.045  1.335 
 1   8.93 -0.15  0.32586 -1.808 3.574  4.999  8.20  0.072 0.00 17.489 22.239 19.615 18.236 17.495 17.047  0.326 
 1   8.95  0.25  0.60872 -1.137 3.615  4.767  9.60  0.083 0.94 16.572 20.808 18.335 17.106 16.540 16.195  0.609 
 1   8.95  0.27  0.32469 -1.854 3.556  4.974  7.00  0.077 0.00 16.405 21.586 18.820 17.432 16.515 15.973  0.325 
 1   8.97 -0.11  0.43668 -1.521 3.589  4.903  7.30  0.086 0.76 15.416 19.982 17.439 16.097 15.410 14.991  0.437 
 1   8.99 -0.39  0.33935 -1.731 3.590  5.005  8.90  0.090 0.74 17.512 22.023 19.463 18.086 17.468 17.093  0.339 
 1   8.99 -0.07  1.09852  0.109 3.780  4.434  6.80  0.059 0.00 11.298 12.826 11.645 11.231 11.138 11.131  1.099 
 1   9.01 -0.21  0.17115 -2.403 3.527  5.127  8.00  0.073 0.00 18.777 24.720 21.566 20.026 18.976 18.363  0.171 
 1   9.01  0.05  0.48062 -1.437 3.591  4.865  8.60  0.083 0.00 16.963 21.432 18.942 17.640 16.960 16.546  0.481 
 1   9.01  0.09  0.15915 -2.525 3.502  5.119  7.90  0.085 0.94 18.317 24.866 21.627 20.057 18.714 17.928  0.159 
 1   9.03  0.17  1.30870  0.455 3.806  4.268  6.60  0.060 0.00 10.232 11.642 10.481 10.149 10.100 10.126  1.309 
 1   9.03  0.17  0.31490 -1.877 3.555  4.981  7.80  0.081 0.00 17.263 22.465 19.684 18.287 17.374 16.833  0.315 
 1   9.03  0.27  0.55944 -1.255 3.603  4.798 12.00  0.082 0.74 19.512 23.970 21.489 20.231 19.533 19.107  0.559 
 1   9.05 -0.23  0.26109 -1.976 3.567  5.044  9.60  0.070 0.84 18.729 23.769 20.978 19.549 18.764 18.296  0.261 
 1   9.05 -0.17  0.15885 -2.493 3.514  5.134  6.70  0.073 0.00 17.703 23.965 20.715 19.146 17.976 17.297  0.159 
 1   9.05 -0.11  0.10274 -3.024 3.458  5.250  6.70  0.075 0.00 19.029 27.334 23.241 21.504 19.700 18.705  0.103 
 1   9.05 -0.07  0.87610 -0.382 3.719  4.586 12.10  0.092 0.75 17.575 20.096 18.366 17.626 17.400 17.284  0.876 
 1   9.05  0.03  0.88307 -0.395 3.713  4.578  9.40  0.087 1.00 14.407 16.889 15.124 14.409 14.207 14.113  0.883 
 1   9.05  0.05  0.44845 -1.515 3.584  4.887 12.00  0.107 0.96 19.854 24.507 21.978 20.652 19.893 19.433  0.448 
 1   9.05  0.11  0.19028 -2.310 3.527  5.082  8.30  0.088 0.00 18.845 24.655 21.666 20.185 19.079 18.427  0.190 
 1   9.05  0.13  0.22766 -2.147 3.540  5.047  7.10  0.076 0.75 16.792 22.506 19.549 18.083 17.009 16.372  0.228 
 1   9.07 -0.31  0.63503 -0.954 3.649  4.738 10.30  0.063 0.00 17.455 20.873 18.677 17.650 17.309 17.113  0.635 
 1   9.07  0.19  0.31125 -1.889 3.554  4.982  8.40  0.085 0.00 17.893 23.140 20.338 18.933 18.012 17.466  0.311 
 1   9.09 -0.03  1.93541  1.889 3.664  2.438  6.60  0.070 0.00  6.647 10.039  7.713  6.776  6.486  6.317  1.935 
 1   9.09  0.19  0.66424 -0.993 3.631  4.722  8.30  0.079 0.00 15.552 19.515 17.066 15.894 15.459 15.198  0.664 
 1   9.11 -0.17  0.38269 -1.648 3.584  4.949  9.00  0.088 0.95 17.206 21.799 19.240 17.882 17.196 16.778  0.383 
 1   9.11 -0.15  0.19397 -2.253 3.543  5.098  7.20  0.083 0.00 17.602 23.155 20.161 18.680 17.739 17.185  0.194 
 1   9.11 -0.09  0.34454 -1.769 3.573  4.983  9.00  0.076 0.89 17.556 22.387 19.741 18.364 17.585 17.114  0.345 
 1   9.11  0.05  1.08407  0.065 3.771  4.436  8.90  0.080 0.72 13.317 15.144 13.801 13.280 13.147 13.105  1.084 
 1   9.11  0.07  0.25782 -2.032 3.549  5.024  8.90  0.080 0.00 18.749 24.099 21.242 19.819 18.878 18.322  0.258 
 1   9.11  0.29  0.40080 -1.644 3.570  4.911  8.70  0.085 0.00 17.580 22.468 19.896 18.581 17.676 17.146  0.401 
 1   9.13 -0.37  0.66369 -0.853 3.663  4.711  8.70  0.088 0.86 15.122 18.457 16.325 15.327 14.988 14.792  0.664 
 1   9.13 -0.17  0.52271 -1.290 3.611  4.836  6.80  0.050 0.00 14.794 18.828 16.426 15.188 14.695 14.397  0.523 
 1   9.13 -0.11  0.15677 -2.520 3.509  5.135  7.70  0.072 0.00 18.771 25.123 21.875 20.307 19.079 18.367  0.157 
 1   9.13 -0.01  0.36940 -1.714 3.573  4.956  8.00  0.078 0.00 17.054 21.836 19.241 17.887 17.090 16.608  0.369 
 1   9.13  0.01  0.84316 -0.486 3.701  4.598  8.80  0.073 0.00 14.784 17.438 15.567 14.800 14.579 14.470  0.843 
 1   9.13  0.05  0.46821 -1.467 3.588  4.873  9.50  0.079 0.00 17.936 22.444 19.946 18.641 17.938 17.512  0.468 
 1   9.13  0.11  0.45076 -1.514 3.582  4.882  9.10  0.085 0.00 17.656 22.287 19.776 18.469 17.691 17.226  0.451 
 1   9.15 -0.31  0.46271 -1.418 3.605  4.889  9.00  0.093 0.00 17.315 21.433 19.030 17.753 17.238 16.925  0.463 
 1   9.15 -0.13  0.65263 -0.955 3.644  4.728  9.30  0.073 0.00 16.456 20.063 17.773 16.691 16.327 16.114  0.653 
 1   9.15 -0.09  0.27460 -1.958 3.561  5.026  8.70  0.084 0.00 18.366 23.452 20.685 19.275 18.437 17.936  0.275 
 1   9.15 -0.07  0.38450 -1.660 3.578  4.943  9.30  0.084 0.86 17.637 22.386 19.787 18.425 17.662 17.200  0.384 
 1   9.15  0.13  0.37513 -1.707 3.568  4.937  8.20  0.077 0.00 17.237 22.141 19.517 18.171 17.309 16.796  0.375 
 1   9.15  0.15  0.20703 -2.224 3.534  5.062  7.10  0.075 0.00 17.431 23.071 20.132 18.674 17.624 17.005  0.207 
 1   9.15  0.21  0.36383 -1.745 3.564  4.944  8.40  0.085 0.00 17.532 22.556 19.882 18.523 17.629 17.100  0.364 
 1   9.15  0.27  0.58036 -1.186 3.612  4.784  6.00  0.062 0.80 13.295 17.613 15.144 13.913 13.277 12.891  0.580 
 1   9.15  0.33  0.12540 -2.818 3.469  5.178  4.80  0.046 0.95 15.931 23.518 19.846 18.193 16.527 15.574  0.125 
 1   9.15  0.37  0.28097 -1.978 3.547  5.000  7.90  0.075 0.00 17.616 22.988 20.130 18.707 17.752 17.188  0.281 
 1   9.15  0.43  0.16381 -2.508 3.501  5.110  6.00  0.066 0.83 16.525 23.184 19.911 18.335 16.947 16.136  0.164 
