#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   u      g      r      i      z        Mact
 1   6.91 -0.13  0.43763 -1.518 3.591  4.905  8.80  0.038 0.00 17.364 21.718 19.238 17.930 17.303 16.924  0.438 
 1   7.41 -0.25  0.09835 -2.065 3.498  4.435  7.50  0.036 0.00 17.432 24.027 20.651 19.043 17.762 17.028  0.098 
 1   7.73  0.11  1.26654  0.339 3.801  4.354  8.80  0.038 0.00 12.724 14.098 12.962 12.626 12.573 12.598  1.267 
 1   7.79  0.03  1.25446  0.337 3.804  4.363 11.80  0.041 0.80 15.421 16.873 15.709 15.337 15.266 15.274  1.254 
 1   7.79  0.31  0.09835 -2.351 3.472  4.617  9.40  0.037 0.00 20.048 27.187 23.788 22.181 20.598 19.678  0.098 
 1   7.91  0.23  0.14763 -2.219 3.495  4.752  6.70  0.030 0.87 16.392 22.959 19.758 18.205 16.806 15.989  0.148 
 1   8.03  0.29  0.33440 -1.829 3.558  4.969  6.40  0.032 0.00 15.743 20.812 18.088 16.725 15.819 15.288  0.334 
 1   8.13  0.37  0.18155 -2.290 3.518  5.005  8.00  0.042 0.00 18.495 24.404 21.405 19.925 18.752 18.064  0.182 
 1   8.25  0.23  0.18997 -2.278 3.524  5.035  8.20  0.038 0.00 18.665 24.449 21.478 20.011 18.885 18.225  0.190 
 1   8.27 -0.17  0.70881 -0.802 3.663  4.690  7.80  0.037 0.00 14.575 17.757 15.636 14.690 14.390 14.225  0.709 
 1   8.27  0.17  0.27736 -1.989 3.548  5.008  7.90  0.034 0.00 17.643 22.942 20.099 18.691 17.748 17.194  0.277 
 1   8.29  0.37  0.64842 -1.042 3.627  4.744  7.90  0.041 0.88 14.732 18.851 16.373 15.181 14.657 14.341  0.648 
 1   8.31 -0.21  0.14763 -2.362 3.512  4.961  7.30  0.038 0.77 17.439 23.814 20.545 18.971 17.741 17.029  0.148 
 1   8.35  0.33  0.12566 -2.520 3.482  4.931  8.00  0.043 0.82 18.482 25.497 22.146 20.551 19.009 18.109  0.126 
 1   8.37  0.09  0.08688 -2.818 3.454  4.955  7.30  0.033 0.73 18.764 26.860 23.152 21.486 19.619 18.495  0.087 
 1   8.39 -0.11  0.07421 -3.058 3.426  5.015  7.20  0.036 0.00 19.616 28.625 24.458 22.740 20.624 19.381  0.074 
 1   8.39  0.13  0.44645 -1.529 3.581  4.886  5.80  0.029 0.89 13.781 18.427 15.908 14.609 13.798 13.318  0.446 
 1   8.43 -0.19  0.53238 -1.264 3.614  4.831  8.00  0.045 0.00 15.931 19.909 17.520 16.298 15.822 15.536  0.532 
 1   8.45  0.15  0.20409 -2.237 3.534  5.066  8.10  0.045 0.00 18.464 24.072 21.138 19.688 18.639 18.023  0.204 
 1   8.55 -0.03  0.35108 -1.764 3.571  4.978  8.60  0.030 0.00 17.781 22.528 19.922 18.573 17.786 17.314  0.351 
 1   8.57 -0.11  0.21478 -2.163 3.550  5.078  7.30  0.032 0.00 17.478 22.796 19.888 18.451 17.556 17.032  0.215 
 1   8.61  0.03  0.39214 -1.655 3.575  4.930  8.00  0.039 0.00 16.907 21.594 19.045 17.719 16.919 16.440  0.392 
 1   8.61  0.37  0.33101 -1.838 3.557  4.971  7.90  0.034 0.00 17.264 22.353 19.624 18.262 17.347 16.812  0.331 
 1   8.65  0.23  0.12336 -2.621 3.477  5.003  5.60  0.025 0.00 16.921 23.891 20.549 18.958 17.426 16.537  0.123 
 1   8.69 -0.29  0.11862 -2.634 3.494  5.069  9.20  0.037 0.00 20.555 27.402 23.873 22.230 20.904 20.157  0.119 
 1   8.69 -0.09  0.29533 -1.899 3.565  5.013  8.40  0.039 0.00 17.917 22.835 20.132 18.749 17.943 17.463  0.295 
 1   8.69  0.27  0.58437 -1.199 3.609  4.788  8.60  0.043 0.83 15.874 20.178 17.720 16.490 15.847 15.459  0.584 
 1   8.73 -0.29  0.12652 -2.596 3.499  5.076  5.90  0.024 0.92 16.491 23.276 19.765 18.130 16.822 16.085  0.127 
 1   8.73 -0.07  0.78813 -0.625 3.686  4.647 10.00  0.041 0.00 16.332 19.166 17.198 16.367 16.120 15.993  0.788 
 1   8.79  0.39  2.06292  1.344 3.901  3.959 12.30  0.035 0.00 13.710 14.838 13.661 13.690 13.816 13.945  2.063 
 1   8.81  0.03  0.11716 -2.730 3.476  5.089  6.30  0.034 0.97 17.178 24.321 20.872 19.258 17.699 16.799  0.117 
 1   8.81  0.17  0.63982 -1.056 3.625  4.746  7.50  0.046 0.00 14.910 18.902 16.447 15.260 14.807 14.536  0.640 
 1   8.83  0.25  0.19612 -2.276 3.528  5.063  7.10  0.039 0.00 17.560 23.277 20.316 18.855 17.760 17.118  0.196 
 1   8.83  0.25  0.44079 -1.547 3.577  4.884  8.10  0.046 0.00 16.737 21.412 18.928 17.651 16.787 16.283  0.441 
 1   8.85 -0.13  0.32201 -1.821 3.572  5.000  8.30  0.039 0.00 17.623 22.366 19.736 18.367 17.616 17.165  0.322 
 1   8.85  0.21  0.10192 -2.913 3.453  5.116  7.60  0.040 0.00 19.653 27.667 23.859 22.184 20.367 19.325  0.102 
 1   8.87 -0.09  0.18284 -2.317 3.531  5.087  7.60  0.038 0.00 18.162 23.869 20.856 19.376 18.333 17.723  0.183 
 1   8.87  0.03  0.18862 -2.301 3.529  5.078  8.50  0.046 0.00 19.022 24.721 21.761 20.299 19.218 18.583  0.189 
 1   8.89 -0.21  0.52511 -1.277 3.614  4.836  5.10  0.019 0.00 13.063 16.999 14.623 13.407 12.935 12.654  0.525 
 1   8.89 -0.03  4.14012 -2.530 4.132  8.361  7.90  0.043 0.00 18.996 20.240 19.793 20.124 20.396 20.639  0.827 
 1   8.91 -0.03  0.52365 -1.320 3.603  4.836  8.80  0.040 0.00 16.871 21.034 18.597 17.332 16.789 16.458  0.524 
 1   8.91  0.01  0.11722 -2.795 3.474  5.145  8.60  0.035 0.00 20.358 27.602 24.086 22.460 20.885 19.980  0.117 
 1   8.91  0.21  0.12741 -2.731 3.474  5.115  8.50  0.035 0.76 19.667 27.190 23.603 21.963 20.293 19.320  0.127 
 1   8.91  0.41  0.18457 -2.347 3.518  5.070  9.70  0.042 0.00 20.337 26.273 23.244 21.756 20.588 19.904  0.185 
 1   8.93  0.05  1.97203  1.327 3.880  3.873  8.70  0.038 0.74  9.925 11.089  9.954  9.892  9.963 10.058  1.972 
 1   8.93  0.13  0.84752 -0.515 3.692  4.597  8.30  0.041 0.00 14.357 17.169 15.181 14.362 14.130 14.015  0.848 
 1   8.95 -0.05  0.20638 -2.204 3.544  5.079  7.00  0.038 0.00 17.279 22.693 19.785 18.347 17.394 16.835  0.206 
