#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   u      g      r      i      z        Mact
 1   7.43  0.41  0.11763 -1.990 3.483  4.377  9.40  0.136 0.00 19.145 26.108 22.789 21.179 19.684 18.806  0.118 
 1   7.51 -0.13  0.07389 -2.395 3.466  4.512  7.10  0.111 0.00 17.859 25.534 21.841 20.155 18.486 17.538  0.074 
 1   7.51  0.15  0.06036 -2.559 3.450  4.522  6.60  0.090 0.00 17.767 25.764 22.057 20.382 18.542 17.471  0.060 
 1   7.57 -0.17  0.42542 -1.540 3.591  4.916  8.60  0.106 0.80 16.717 21.263 18.724 17.373 16.710 16.304  0.425 
 1   7.61  0.41  0.05313 -2.746 3.435  4.594  4.70  0.054 0.00 16.335 24.525 20.889 19.244 17.266 16.082  0.053 
 1   7.63  0.01  0.13288 -2.018 3.497  4.514  8.30  0.135 0.87 17.467 24.102 20.894 19.316 17.929 17.110  0.133 
 1   7.73  0.39  2.08839  1.268 3.952  4.242  8.80  0.116 0.00 10.400 11.575 10.467 10.611 10.786 10.933  2.088 
 1   7.75  0.41  0.06199 -2.769 3.442  4.713  6.10  0.082 0.00 17.792 25.966 22.239 20.568 18.651 17.522  0.062 
 1   7.83 -0.03  0.11763 -2.272 3.492  4.694  9.80  0.134 0.00 20.251 26.987 23.724 22.130 20.724 19.898  0.118 
 1   7.89  0.43  0.07390 -2.724 3.451  4.781  7.50  0.117 0.00 19.079 27.071 23.368 21.687 19.858 18.792  0.074 
 1   8.01 -0.03  0.04043 -3.412 3.349  4.799  5.40  0.070 0.77 18.265 31.596 25.537 23.167 20.616 18.765  0.040 
 1   8.01  0.15  0.15331 -2.328 3.501  4.903  9.30  0.133 0.94 19.184 25.693 22.526 20.961 19.615 18.819  0.153 
 1   8.11  0.25  0.08159 -2.797 3.450  4.891  7.30  0.109 0.00 19.063 27.099 23.378 21.696 19.852 18.776  0.082 
 1   8.15 -0.03  0.06199 -3.100 3.415  4.935  5.50  0.076 0.00 18.020 27.494 23.174 21.424 19.199 17.859  0.062 
 1   8.17  0.11  0.08487 -2.778 3.456  4.914  8.80  0.128 0.93 19.838 27.809 24.119 22.438 20.619 19.556  0.085 
 1   8.17  0.27  0.11983 -2.525 3.480  4.907  8.80  0.109 0.00 19.882 26.892 23.553 21.942 20.424 19.534  0.120 
 1   8.19  0.17  0.15782 -2.335 3.503  4.929  9.10  0.144 0.00 19.709 26.129 22.991 21.434 20.122 19.345  0.158 
 1   8.23  0.15  0.34975 -1.783 3.563  4.963  8.60  0.140 0.81 17.288 22.518 19.752 18.346 17.432 16.885  0.350 
 1   8.25  0.35  0.50852 -1.385 3.591  4.840  9.10  0.107 0.00 17.332 21.892 19.423 18.166 17.394 16.935  0.509 
 1   8.25  0.45  0.15661 -2.345 3.501  4.927  8.20  0.126 0.00 18.833 25.274 22.129 20.571 19.245 18.462  0.157 
 1   8.27  0.15  0.33929 -1.812 3.561  4.970  7.40  0.109 0.98 15.964 21.092 18.362 16.975 16.079 15.545  0.339 
 1   8.29 -0.01  0.04772 -3.477 3.343  4.913  5.10  0.061 0.00 18.563 32.028 25.638 23.262 20.712 18.886  0.048 
 1   8.29  0.27  0.33557 -1.826 3.558  4.968  8.20  0.123 0.76 17.038 22.360 19.558 18.145 17.195 16.630  0.336 
