#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   u      g      r      i      z        Mact
 1   7.27 -0.09  0.52304 -1.312 3.606  4.840  7.90  0.041 0.00 15.950 20.055 17.633 16.379 15.858 15.541  0.523 
 1   7.35 -0.07  0.12021 -1.931 3.498  4.387  9.60  0.061 0.00 19.198 25.680 22.465 20.901 19.575 18.802  0.120 
 1   7.53  0.15  0.50164 -1.399 3.591  4.848  9.40  0.062 0.00 17.667 22.111 19.640 18.365 17.664 17.243  0.502 
 1   7.61  0.27  0.08908 -2.263 3.469  4.471  8.10  0.050 0.80 18.064 25.458 21.969 20.342 18.682 17.716  0.089 
 1   7.63  0.01  0.13256 -2.019 3.497  4.514  9.20  0.049 0.00 19.018 25.441 22.290 20.747 19.402 18.615  0.133 
 1   7.71  0.37  0.14466 -2.028 3.492  4.542  9.20  0.051 0.00 19.039 25.597 22.401 20.845 19.456 18.644  0.145 
 1   7.77  0.13  0.70027 -0.900 3.643  4.702  7.90  0.047 0.00 14.920 18.614 16.247 15.148 14.775 14.560  0.700 
 1   7.89 -0.07  0.18753 -2.212 3.535  5.008  6.10  0.036 0.00 16.400 21.983 19.035 17.580 16.558 15.959  0.188 
 1   7.89 -0.01  0.15113 -2.174 3.506  4.761  9.40  0.044 0.00 19.606 25.808 22.719 21.201 19.932 19.189  0.151 
 1   7.99  0.11  0.17325 -2.285 3.516  4.973  8.50  0.047 0.82 18.320 24.470 21.406 19.898 18.642 17.904  0.173 
 1   8.07 -0.15  0.40748 -1.588 3.586  4.927 10.20  0.046 0.85 18.374 22.893 20.356 19.017 18.337 17.926  0.407 
 1   8.11 -0.07  0.14466 -2.363 3.505  4.927  9.10  0.056 0.89 19.131 25.517 22.333 20.781 19.485 18.728  0.145 
 1   8.19 -0.03  0.49870 -1.388 3.598  4.860  9.30  0.045 0.00 17.539 21.794 19.342 18.058 17.473 17.116  0.499 
