#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   u      g      r      i      z        Mact
 1   6.61  0.33  0.16146 -1.809 3.501  4.406  8.30  0.612 0.00 17.593 24.790 21.470 19.751 18.336 17.461  0.161 
 1   6.61  0.39  0.22214 -2.177 3.535  5.049  7.70  0.601 0.00 17.914 24.360 21.238 19.607 18.463 17.747  0.222 
 1   6.91 -0.01  0.75560 -0.736 3.669  4.673 10.90  1.172 0.87 17.033 22.143 19.537 18.166 17.632 17.236  0.756 
 1   6.91  0.19  1.04681 -0.098 3.747  4.490  9.00  0.837 0.00 14.014 17.237 15.444 14.610 14.325 14.135  1.047 
 1   6.95  0.27  0.07940 -2.095 3.469  4.253  8.70  0.574 0.00 18.707 26.811 23.171 21.376 19.653 18.609  0.079 
 1   6.97  0.33  0.06926 -2.218 3.467  4.308  6.60  0.420 0.00 16.914 24.848 21.237 19.489 17.772 16.744  0.069 
 1   7.01  0.03  0.92633 -0.326 3.724  4.571  9.70  0.782 0.00 15.285 18.689 16.771 15.872 15.558 15.346  0.926 
 1   7.01  0.11  1.27356  0.348 3.803  4.352 11.70  0.797 0.88 15.145 17.795 16.337 15.708 15.496 15.364  1.274 
 1   7.05 -0.05  0.44059 -1.524 3.587  4.900 10.30  0.927 0.77 18.410 24.357 21.498 19.876 18.996 18.396  0.441 
 1   7.05  0.13  0.73411 -0.814 3.654  4.678 11.50  1.018 0.82 17.894 23.084 20.391 18.979 18.416 18.008  0.734 
 1   7.07 -0.03  0.12813 -1.819 3.499  4.306  9.80  0.910 0.73 18.569 26.445 22.930 21.084 19.557 18.595  0.128 
 1   7.07  0.05  1.45677  0.633 3.843  4.286  8.00  0.539 0.00 11.188 13.152 11.913 11.565 11.484 11.457  1.457 
 1   7.07  0.21  0.18978 -1.856 3.502  4.457  6.80  0.336 0.85 15.764 22.319 19.166 17.566 16.273 15.487  0.162 
 1   7.11 -0.13  0.29501 -1.894 3.567  5.016  9.40  0.720 0.00 18.906 24.840 21.903 20.291 19.382 18.786  0.295 
 1   7.15  0.13  0.09025 -2.050 3.477  4.296  7.90  0.630 0.00 17.794 25.713 22.154 20.360 18.713 17.708  0.090 
 1   7.15  0.29  0.47285 -1.472 3.584  4.865 10.80  0.938 0.00 19.250 25.224 22.437 20.881 19.896 19.247  0.473 
 1   7.17  0.25  0.13915 -1.801 3.490  4.287 10.50  0.843 0.00 19.772 27.653 24.142 22.313 20.749 19.771  0.139 
