#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   u      g      r      i      z        Mact
 1   7.83 -0.05  0.41869 -1.578 3.583  4.916  7.00  0.042 0.80 15.208 19.830 17.272 15.937 15.198 14.753  0.419 
 1   7.93  0.43  0.81392 -0.626 3.675  4.619  8.30  0.051 0.00 14.634 17.946 15.660 14.694 14.418 14.273  0.814 
 1   8.11 -0.01  0.19595 -2.244 3.538  5.070  8.00  0.046 0.00 18.379 23.919 20.998 19.553 18.536 17.938  0.196 
 1   8.31 -0.21  0.54191 -1.235 3.618  4.823  5.40  0.028 0.00 13.256 17.159 14.788 13.586 13.130 12.860  0.542 
 1   8.33 -0.11  0.20240 -2.210 3.547  5.087  7.00  0.031 0.00 17.295 22.674 19.746 18.302 17.385 16.849  0.202 
 1   8.35  0.21  0.21251 -2.212 3.533  5.056  7.70  0.040 0.00 18.000 23.606 20.676 19.227 18.175 17.557  0.213 
 1   8.39  0.33  2.33488  1.512 3.968  4.114  7.70  0.046 0.82  8.306  9.378  8.312  8.473  8.657  8.811  2.335 
 1   8.41  0.23  0.46088 -1.500 3.581  4.872  7.40  0.038 0.73 15.494 20.219 17.681 16.383 15.538 15.042  0.461 
 1   8.43  0.05  0.78583 -0.659 3.674  4.635  7.80  0.046 0.00 14.218 17.321 15.201 14.291 14.017 13.871  0.786 
 1   8.53 -0.01  0.22142 -2.155 3.545  5.066  7.10  0.042 0.00 17.257 22.635 19.758 18.332 17.375 16.813  0.221 
 1   8.57  0.11  0.64042 -1.047 3.627  4.746  6.20  0.032 0.00 13.588 17.502 15.074 13.901 13.467 13.210  0.640 
 1   8.57  0.17  0.35213 -1.778 3.563  4.958  6.60  0.037 0.93 15.141 20.157 17.455 16.094 15.208 14.686  0.352 
 1   8.61 -0.05  0.41868 -1.577 3.583  4.915  6.20  0.030 0.00 14.913 19.420 16.905 15.588 14.880 14.455  0.419 
