#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   u      g      r      i      z        Mact
 1   7.45  0.23  0.06107 -2.505 3.452  4.483  7.40  0.288 0.00 18.432 26.659 22.906 21.170 19.320 18.227  0.061 
 1   7.51 -0.25  2.06228  1.350 4.005  4.369  6.70  0.193 0.00  8.096  9.427  8.462  8.663  8.859  9.011  2.062 
 1   7.55  0.37  0.26706 -2.024 3.544  5.012  9.10  0.232 0.00 18.931 24.609 21.677 20.194 19.187 18.580  0.267 
 1   7.71  0.07  0.23463 -2.116 3.544  5.048  7.80  0.264 0.00 17.861 23.601 20.647 19.149 18.138 17.526  0.235 
 1   7.85  0.01  0.69174 -0.902 3.646  4.708 10.30  0.319 0.00 17.324 21.347 18.934 17.767 17.360 17.104  0.692 
 1   7.85  0.29  0.26766 -2.022 3.544  5.012  8.70  0.281 0.80 17.979 23.814 20.841 19.332 18.287 17.653  0.268 
 1   7.89  0.03  0.09312 -2.503 3.474  4.751  7.70  0.264 0.87 18.093 25.682 22.169 20.480 18.824 17.842  0.093 
 1   7.89  0.31  0.30641 -1.906 3.552  4.986  8.00  0.255 0.00 17.536 23.081 20.203 18.738 17.776 17.194  0.306 
 1   7.91  0.21  0.18828 -2.246 3.522  4.995  8.10  0.222 0.00 18.484 24.568 21.537 20.010 18.839 18.136  0.188 
 1   7.95 -0.07  0.26706 -1.988 3.559  5.032  9.50  0.257 0.00 19.239 24.661 21.806 20.335 19.442 18.896  0.267 
 1   7.99  0.27  0.06956 -2.875 3.442  4.869  5.20  0.127 0.00 17.158 25.491 21.678 19.981 18.048 16.909  0.070 
 1   8.05 -0.07  0.38845 -1.653 3.579  4.942  8.00  0.256 0.77 16.406 21.451 18.777 17.354 16.553 16.055  0.388 
 1   8.07  0.17  0.52235 -1.348 3.595  4.831  8.30  0.267 0.94 15.779 20.534 17.992 16.653 15.917 15.458  0.522 
 1   8.23  0.57  0.69172 -0.932 3.638  4.708  8.20  0.288 0.00 15.300 19.620 17.034 15.807 15.337 15.042  0.692 
 1   8.25  0.17  0.49464 -1.416 3.589  4.851  8.70  0.292 0.00 17.011 21.859 19.301 17.949 17.177 16.697  0.495 
 1   8.27  0.13  0.21882 -2.181 3.538  5.057  7.60  0.270 0.89 17.166 23.109 20.101 18.579 17.493 16.836  0.219 
 1   8.29 -0.17  0.36815 -1.693 3.581  4.968  8.50  0.298 0.00 17.502 22.444 19.801 18.369 17.638 17.177  0.368 
 1   8.29 -0.13  0.07041 -3.064 3.423  4.987  5.90  0.176 0.00 18.330 27.628 23.398 21.632 19.468 18.176  0.070 
 1   8.31 -0.29  2.57868  1.805 4.053  4.203  9.10  0.264 0.93  8.758 10.212  9.388  9.606  9.809  9.958  2.579 
 1   8.33 -0.33  0.58042 -1.105 3.634  4.788  5.80  0.161 0.00 13.333 17.159 14.839 13.686 13.274 13.024  0.580 
 1   8.33  0.49  0.26707 -2.024 3.544  5.012  7.10  0.206 0.81 16.377 22.097 19.151 17.666 16.635 16.015  0.267 
 1   8.35 -0.27  0.41934 -1.537 3.595  4.923  9.70  0.260 0.00 18.312 22.888 20.362 18.984 18.373 17.987  0.419 
 1   8.37 -0.27  0.62513 -1.000 3.643  4.752  8.20  0.255 0.98 14.749 18.616 16.291 15.150 14.745 14.495  0.625 
 1   8.45  0.13  1.01278 -0.142 3.744  4.508  8.90  0.310 0.71 13.835 16.396 14.740 14.022 13.801 13.680  1.013 
 1   8.49  0.23  0.18401 -2.302 3.519  5.028  8.50  0.315 0.86 18.359 24.848 21.705 20.114 18.840 18.069  0.184 
 1   8.51  0.53  0.48848 -1.433 3.587  4.853  7.90  0.249 0.00 16.252 21.127 18.624 17.339 16.451 15.921  0.488 
 1   8.53 -0.07  1.26019  0.389 3.815  4.355  9.80  0.276 0.00 13.596 15.227 14.089 13.735 13.657 13.648  1.260 
 1   8.53  0.35  0.33418 -1.829 3.558  4.969  8.80  0.293 0.92 17.477 23.010 20.163 18.704 17.739 17.152  0.334 
 1   8.57  0.11  0.31528 -1.872 3.558  4.987  9.10  0.281 0.00 18.550 23.999 21.175 19.718 18.786 18.217  0.315 
 1   8.61 -0.19  0.30328 -1.860 3.572  5.014  8.60  0.267 0.00 18.019 23.116 20.390 18.934 18.159 17.675  0.303 
 1   8.63  0.29  0.14543 -2.464 3.491  4.976  6.60  0.226 0.00 17.530 24.396 21.125 19.507 18.074 17.222  0.145 
 1   8.65  0.01  1.83318  1.126 3.916  4.184  6.20  0.154 0.00  8.154  9.438  8.277  8.312  8.428  8.541  1.833 
 1   8.65  0.05  0.09294 -2.878 3.454  5.046  6.40  0.190 0.00 18.366 26.459 22.704 20.995 19.174 18.110  0.093 
 1   8.69  0.15  0.24654 -2.081 3.543  5.028  9.40  0.299 0.96 18.661 24.500 21.525 20.012 18.974 18.344  0.247 
 1   8.71 -0.41  0.09822 -2.825 3.478  5.114  4.00  0.099 0.00 15.833 23.579 19.587 17.830 16.308 15.485  0.098 
 1   8.71 -0.09  0.25890 -2.007 3.558  5.037  9.20  0.250 0.94 18.303 23.769 20.884 19.404 18.506 17.959  0.259 
 1   8.71  0.39  1.11153  0.057 3.765  4.433  9.00  0.274 0.87 13.200 15.554 13.936 13.290 13.120 13.046  1.112 
 1   8.75 -0.37  0.60061 -1.040 3.641  4.767  7.60  0.258 0.97 14.272 18.142 15.831 14.683 14.271 14.015  0.601 
 1   8.75 -0.01  0.34966 -1.771 3.570  4.977  9.10  0.299 0.00 18.298 23.498 20.784 19.346 18.494 17.964  0.350 
 1   8.79 -0.09  0.29451 -1.901 3.565  5.013  5.10  0.160 0.77 14.111 19.344 16.539 15.100 14.240 13.720  0.295 
 1   8.79 -0.01  0.16082 -2.421 3.510  5.051  8.60  0.272 0.75 18.959 25.684 22.445 20.832 19.477 18.663  0.161 
 1   8.79  0.19  0.15472 -2.467 3.497  5.027  7.10  0.216 0.94 17.356 24.170 20.903 19.290 17.878 17.040  0.155 
 1   8.79  0.23  0.22321 -2.172 3.535  5.046  6.90  0.217 0.99 16.363 22.209 19.226 17.724 16.651 16.007  0.223 
 1   8.83 -0.43  0.60398 -1.013 3.646  4.763  7.20  0.260 0.00 14.501 18.228 15.979 14.881 14.493 14.254  0.604 
 1   8.83 -0.15  0.31898 -1.826 3.572  5.003  7.70  0.260 0.00 17.034 22.109 19.401 17.956 17.173 16.685  0.319 
 1   8.85 -0.37  0.19555 -2.201 3.557  5.105  7.80  0.273 0.72 17.659 23.500 20.400 18.819 17.906 17.345  0.196 
 1   8.85 -0.13  1.45153  0.737 3.862  4.258  8.60  0.260 0.00 11.529 13.005 11.881 11.700 11.702 11.745  1.452 
