#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   u      g      r      i      z        Mact
 1   6.61 -0.05  0.43386 -1.541 3.586  4.905 11.10  0.907 0.00 19.723 25.555 22.735 21.131 20.281 19.701  0.434 
 1   6.67  0.11  0.31483 -1.875 3.558  4.989 10.40  0.942 0.00 19.857 26.346 23.280 21.602 20.545 19.849  0.315 
 1   6.81  0.01  0.07984 -2.062 3.479  4.263  8.00  0.656 0.00 17.926 25.835 22.283 20.486 18.851 17.849  0.080 
 1   6.81  0.09  0.19991 -1.799 3.506  4.410 10.10  0.857 0.80 19.035 26.304 22.985 21.221 19.873 19.012  0.160 
 1   6.85 -0.05  0.71861 -0.817 3.659  4.691 10.50  1.117 0.87 16.828 21.999 19.358 17.954 17.404 17.000  0.719 
 1   6.85  0.09  2.34077  1.475 4.002  4.287 11.80  1.108 0.00 12.883 15.619 14.316 14.213 14.240 14.215  2.341 
 1   6.85  0.31  0.13080 -1.786 3.487  4.236  9.60  0.768 0.00 18.834 26.663 23.157 21.347 19.775 18.799  0.131 
 1   6.95  0.29  0.35242 -1.780 3.561  4.957 10.60  0.683 0.00 19.820 25.831 22.919 21.356 20.334 19.684  0.352 
 1   6.97  0.11  0.92284 -0.350 3.717  4.567  9.90  0.902 0.00 15.544 19.283 17.224 16.243 15.896 15.653  0.923 
 1   7.11 -0.01  0.30424 -1.889 3.562  5.003 11.10  1.254 0.94 19.903 26.826 23.659 21.874 20.787 20.047  0.304 
 1   7.17 -0.25  1.27426  0.427 3.835  4.401 12.80  1.040 0.82 16.153 18.953 17.570 16.983 16.763 16.608  1.274 
 1   7.17  0.11  0.54265 -1.292 3.602  4.818 10.60  1.002 0.73 18.206 24.074 21.254 19.663 18.832 18.251  0.543 
 1   7.21  0.03  0.05985 -2.383 3.456  4.369  8.30  0.738 0.00 19.028 27.824 23.960 22.082 20.191 19.036  0.060 
 1   7.21  0.05  0.18836 -1.858 3.509  4.483  8.70  0.790 0.85 17.648 24.764 21.488 19.755 18.429 17.588  0.161 
 1   7.23  0.15  0.08151 -2.136 3.470  4.313  9.40  0.841 0.00 19.511 27.977 24.261 22.381 20.626 19.541  0.082 
 1   7.25  0.21  0.37444 -1.721 3.565  4.939 10.60  1.015 0.00 19.672 26.116 23.127 21.465 20.400 19.697  0.374 
 1   7.37 -0.21  0.18456 -2.074 3.540  4.886  9.10  0.781 0.00 19.056 25.757 22.485 20.760 19.680 18.987  0.185 
 1   7.39  0.09  0.59928 -1.152 3.617  4.783 11.20  1.088 0.00 18.851 24.536 21.718 20.157 19.472 18.978  0.599 
 1   7.41  0.19  0.08904 -2.149 3.471  4.368  8.80  0.750 0.00 18.942 27.232 23.562 21.715 19.987 18.926  0.089 
 1   7.43 -0.15  0.35242 -1.741 3.578  4.984  8.60  0.623 0.81 17.175 22.800 19.969 18.406 17.560 17.007  0.352 
 1   7.43 -0.05  0.18699 -2.123 3.533  4.911  9.60  0.857 0.00 19.677 26.566 23.328 21.601 20.406 19.639  0.187 
 1   7.43  0.23  0.30598 -1.908 3.552  4.987 10.40  0.846 0.98 19.202 25.689 22.587 20.920 19.847 19.152  0.306 
 1   7.45  0.23  1.15170  0.106 3.771  4.422 13.90  0.948 0.76 18.158 21.435 19.691 18.857 18.562 18.358  1.152 
