#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   V      u      v      b      y      Hb_w   Hb_n     Mact
 1   8.79  0.23  0.80895 -0.626 3.674  4.614  9.40  0.116 0.00 15.734 16.238 19.568 18.035 16.832 16.181 16.559 13.403  0.809 
 1   8.81 -0.21  1.12863  0.202 3.800  4.435  3.80  0.028 0.91  7.556  7.612  9.387  8.495  7.956  7.593  7.768  4.672  1.129 
 1   8.81  0.07  0.97496 -0.202 3.738  4.528 10.20  0.120 0.00 15.474 15.696 18.107 16.997 16.168 15.672 15.927 12.809  0.975 
 1   8.83 -0.19  1.08725  0.109 3.787  4.459  9.10  0.128 0.00 13.598 13.755 15.616 14.697 14.128 13.736 13.931 10.833  1.087 
 1   8.83 -0.17  1.93453  1.337 3.930  4.053 10.40  0.121 0.98 11.131 11.251 12.927 11.599 11.336 11.235 11.330  8.421  1.935 
 1   8.83 -0.13  1.67251  1.022 3.901  4.189  8.60  0.118 0.00 10.814 10.898 12.591 11.365 11.044 10.882 11.001  8.059  1.673 
 1   8.83 -0.11  1.02400 -0.047 3.763  4.493  9.90  0.118 0.00 14.787 14.962 17.035 16.055 15.380 14.941 15.162 12.051  1.024 
 1   8.85 -0.33  0.84395 -0.379 3.730  4.610  9.90  0.131 0.00 15.617 15.884 18.226 17.159 16.360 15.860 16.120 12.994  0.844 
 1   8.85  0.17  1.77427  1.054 3.875  4.080  8.30  0.131 0.00 10.436 10.500 12.268 11.075 10.698 10.482 10.616  7.635  1.774 
 1   8.87  0.01  0.89026 -0.382 3.716  4.580  8.50  0.111 0.00 14.225 14.512 17.159 15.951 15.019 14.481 14.766 11.638  0.890 
 1   8.87  0.11  1.46230  0.681 3.836  4.211 13.10  0.134 0.00 16.168 16.262 18.043 16.999 16.543 16.244 16.403 13.363  1.462 
 1   8.87  0.29  0.62147 -1.106 3.619  4.758  8.00  0.112 0.00 15.535 16.511 20.378 18.511 17.264 16.438 16.983 13.809  0.621 
 1   8.87  0.49  0.87709 -0.458 3.698  4.577  8.20  0.113 0.00 14.114 14.476 17.620 16.194 15.042 14.431 14.765 11.631  0.877 
 1   8.87  0.55  0.69037 -0.930 3.637  4.700  8.90  0.110 0.88 15.471 16.379 20.246 18.368 17.104 16.305 16.830 13.658  0.690 
 1   8.89  0.09  1.24950  0.359 3.801  4.325 10.60  0.131 0.00 14.471 14.592 16.475 15.497 14.943 14.574 14.759 11.678  1.250 
 1   8.91 -0.11  0.94422 -0.212 3.742  4.541  9.20  0.136 0.84 14.125 14.412 16.839 15.731 14.896 14.384 14.654 11.528  0.944 
 1   8.91  0.19  0.70819 -0.883 3.643  4.688  8.70  0.127 0.86 15.201 16.036 19.771 18.011 16.738 15.966 16.459 13.280  0.708 
 1   8.93 -0.21  1.03051  0.003 3.774  4.491  9.80  0.110 0.00 14.563 14.717 16.643 15.719 15.110 14.698 14.902 11.795  1.031 
 1   8.93  0.03  2.25668  1.623 3.691  2.879  7.60  0.091 0.88  7.856  8.084 10.429  9.129  8.489  8.063  8.300  5.248  2.257 
 1   8.95  0.17  1.08742  0.028 3.762  4.441  8.30  0.111 0.78 12.734 12.939 15.254 14.172 13.390 12.913 13.159 10.047  1.087 
 1   8.95  0.27  1.86308  1.169 3.862  3.935 10.80  0.115 0.00 12.647 12.685 14.507 13.307 12.903 12.667 12.803  9.806  1.863 
 1   8.95  0.45  0.79784 -0.650 3.671  4.619  8.40  0.107 0.00 14.795 15.319 18.811 17.195 15.934 15.259 15.657 12.498  0.798 
 1   8.95  0.51  1.24771  0.337 3.794  4.318 10.60  0.134 0.00 14.527 14.629 16.726 15.658 15.008 14.610 14.811 11.735  1.248 
