#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   V      u      v      b      y      Hb_w   Hb_n     Mact
 1   9.29  0.15  0.71879 -0.837 3.649  4.672  7.10  0.089 0.87 13.468 14.206 17.860 16.150 14.878 14.137 14.604 11.423  0.719 
 1   9.29  0.21  1.07344  0.031 3.760  4.423  9.90  0.130 0.79 14.322 14.548 16.920 15.816 15.011 14.523 14.775 11.664  1.073 
 1   9.29  0.49  1.28435  0.454 3.797  4.225  8.80  0.108 0.00 12.435 12.506 14.571 13.501 12.871 12.487 12.680  9.606  1.284 
 1   9.31 -0.31  0.74870 -0.616 3.694  4.649  9.50  0.125 0.00 15.809 16.208 19.017 17.734 16.744 16.169 16.487 13.345  0.749 
 1   9.31 -0.19  1.58012  1.158 3.700  3.223  8.70  0.129 0.00 10.574 10.927 13.749 12.472 11.501 10.906 11.219  8.099  1.580 
 1   9.31 -0.19  0.83152 -0.433 3.717  4.603  9.50  0.112 0.00 15.352 15.642 18.198 17.033 16.142 15.613 15.893 12.763  0.832 
 1   9.31 -0.17  1.26538  0.548 3.826  4.242  8.40  0.090 0.91 11.316 11.405 13.121 12.171 11.708 11.387 11.548  8.480  1.265 
 1   9.31 -0.13  0.84662 -0.416 3.717  4.594 10.50  0.144 0.00 16.311 16.632 19.233 18.049 17.141 16.602 16.889 13.760  0.847 
 1   9.31 -0.07  0.75534 -0.683 3.676  4.649  8.90  0.131 0.94 14.782 15.338 18.582 17.092 15.931 15.280 15.662 12.501  0.755 
 1   9.31  0.11  1.75854  0.414 3.798  4.256 10.30  0.100 0.71 14.028 14.124 16.020 15.034 14.473 14.105 14.288 11.205  1.245 
 1   9.31  0.17  0.99815 -0.132 3.742  4.485 11.40  0.133 0.77 16.237 16.525 19.059 17.901 17.020 16.495 16.773 13.651  0.998 
 1   9.31  0.21  0.87038 -0.452 3.699  4.570 10.20  0.132 0.00 16.099 16.477 19.467 18.109 17.030 16.436 16.760 13.625  0.870 
 1   9.31  0.31  2.15616  0.819 3.797  3.937  9.50  0.110 0.71 12.221 12.302 14.331 13.251 12.659 12.283 12.471  9.396  1.522 
 1   9.31  0.43  0.74179 -0.785 3.654  4.655  9.40  0.128 0.85 15.674 16.446 20.198 18.421 17.130 16.377 16.854 13.681  0.742 
 1   9.33 -0.33  0.97923 -0.007 3.779  4.497 10.60  0.145 0.99 14.680 14.875 16.762 15.860 15.270 14.856 15.062 11.955  0.979 
 1   9.33 -0.23  0.99535 -0.027 3.770  4.489 11.40  0.122 0.00 16.236 16.410 18.372 17.438 16.813 16.390 16.601 13.492  0.995 
 1   9.33 -0.21  1.17490  0.396 3.817  4.326 10.10  0.140 0.00 13.881 14.025 15.757 14.815 14.343 14.008 14.177 11.108  1.175 
 1   9.33 -0.11  1.12037  0.206 3.791  4.391  9.70  0.133 0.00 13.956 14.107 15.978 15.038 14.475 14.088 14.281 11.188  1.120 
 1   9.33 -0.05  0.96582 -0.146 3.748  4.505 11.30  0.130 0.00 16.435 16.646 18.899 17.854 17.099 16.624 16.866 13.750  0.966 
 1   9.33  0.01  1.06433  0.065 3.771  4.429 10.10  0.150 0.95 14.097 14.292 16.410 15.402 14.716 14.272 14.496 11.389  1.064 
 1   9.33  0.01  1.17326  0.310 3.794  4.317 11.80  0.125 0.00 15.794 15.923 17.820 16.851 16.285 15.905 16.094 13.006  1.173 
 1   9.33  0.09  1.19261  0.325 3.791  4.301 11.10  0.127 0.00 15.058 15.185 17.133 16.143 15.554 15.166 15.360 12.272  1.193 
 1   9.33  0.21  1.68179  1.708 3.666  2.566 10.20  0.137 0.75 10.644 11.151 14.541 13.061 11.839 11.124 11.507  8.391  1.682 
 1   9.33  0.29  0.79952 -0.631 3.674  4.614  9.80  0.121 0.86 15.699 16.302 19.771 18.165 16.929 16.241 16.654 13.491  0.800 
 1   9.33  0.45  1.24768  0.397 3.791  4.249 12.30  0.101 0.00 16.077 16.152 18.235 17.171 16.527 16.133 16.330 13.251  1.248 
 1   9.35 -0.23  0.77219 -0.574 3.697  4.634  9.90  0.103 0.00 16.106 16.465 19.249 17.977 16.993 16.427 16.736 13.597  0.772 
 1   9.35 -0.19  0.76222 -0.617 3.689  4.640  9.90  0.112 0.77 15.915 16.410 19.422 18.051 16.983 16.363 16.718 13.567  0.762 
 1   9.35 -0.15  0.89756 -0.277 3.736  4.557 11.10  0.113 0.00 16.562 16.791 19.131 18.057 17.259 16.767 17.020 13.898  0.898 
 1   9.35 -0.15  1.34966  0.703 3.824  4.107 11.20  0.116 0.00 14.214 14.317 16.065 15.064 14.614 14.300 14.459 11.400  1.350 
 1   9.35 -0.03  0.65846 -0.962 3.639  4.721  8.40  0.108 0.71 15.273 16.106 19.770 18.065 16.808 16.038 16.525 13.344  0.658 
 1   9.35 -0.01  1.48297  0.840 3.801  3.917 10.80  0.143 0.00 13.469 13.603 15.516 14.483 13.951 13.585 13.768 10.688  1.483 
 1   9.35 -0.01  1.57184  0.948 3.787  3.777 11.10  0.145 0.99 12.751 12.947 15.146 14.049 13.376 12.928 13.155 10.055  1.555 
 1   9.35  0.11  0.65059 -1.008 3.630  4.726  7.90  0.124 0.00 15.191 16.038 19.802 18.038 16.750 15.968 16.470 13.284  0.651 
 1   9.35  0.11  1.12310  0.177 3.777  4.366 11.20  0.127 0.00 15.527 15.671 17.717 16.716 16.069 15.651 15.860 12.762  1.123 
 1   9.35  0.13  1.03011 -0.041 3.754  4.455 10.10  0.116 0.87 14.556 14.771 17.157 16.054 15.238 14.746 14.999 11.884  1.030 
 1   9.35  0.19  1.07227  0.041 3.761  4.415 10.40  0.126 0.00 15.068 15.237 17.474 16.415 15.674 15.216 15.447 12.342  1.072 
 1   9.35  0.33  1.22694  0.363 3.789  4.264 10.60  0.138 0.00 14.462 14.586 16.663 15.614 14.972 14.567 14.771 11.687  1.227 
 1   9.37 -0.43  0.97419  0.023 3.784  4.486  9.00  0.097 0.73 13.516 13.702 15.572 14.678 14.091 13.680 13.886 10.777  0.974 
 1   9.37 -0.33  1.39104  0.865 3.817  3.931 11.30  0.139 0.00 13.908 14.051 15.823 14.812 14.361 14.034 14.198 11.131  1.391 
 1   9.37 -0.25  0.38121 -1.635 3.588  4.952  5.80  0.063 0.80 14.135 15.280 19.300 17.416 16.155 15.220 15.818 12.651  0.381 
 1   9.37 -0.17  1.06957  0.121 3.784  4.429 10.60  0.102 0.00 15.067 15.199 17.071 16.147 15.572 15.181 15.373 12.275  1.070 
 1   9.37 -0.13  0.50189 -1.350 3.604  4.851  7.10  0.089 0.87 14.679 15.725 19.599 17.783 16.543 15.659 16.233 13.058  0.502 
 1   9.37 -0.11  1.42252  0.804 3.811  3.976  9.30  0.108 0.79 11.812 11.916 13.742 12.743 12.243 11.898 12.070  8.994  1.423 
 1   9.37 -0.11  1.92123  1.818 3.660  2.395 14.10  0.124 0.81 14.324 14.876 18.391 16.833 15.578 14.849 15.245 12.124  1.550 
 1   9.37 -0.09  0.92052 -0.239 3.738  4.539 10.40  0.122 0.00 15.768 16.000 18.345 17.266 16.467 15.976 16.229 13.108  0.921 
 1   9.37 -0.03  0.58131 -1.166 3.618  4.785  7.10  0.084 0.71 14.438 15.422 19.250 17.448 16.195 15.354 15.898 12.719  0.581 
 1   9.37 -0.03  1.16512  0.304 3.795  4.326 10.40  0.124 0.88 13.963 14.107 16.046 15.077 14.484 14.088 14.286 11.191  1.165 
 1   9.37 -0.01  0.86833 -0.400 3.714  4.579  9.20  0.112 0.00 14.970 15.267 17.930 16.715 15.776 15.234 15.522 12.393  0.868 
 1   9.37  0.01  0.83995 -0.480 3.700  4.589 10.00  0.121 0.96 15.331 15.724 18.655 17.319 16.270 15.682 16.007 12.867  0.840 
 1   9.37  0.03  0.62284 -1.069 3.626  4.749  8.10  0.106 0.00 15.541 16.396 20.168 18.409 17.118 16.326 16.835 13.646  0.623 
 1   9.37  0.07  0.77593 -0.663 3.673  4.628  9.10  0.116 0.00 15.529 16.040 19.295 17.798 16.626 15.983 16.357 13.199  0.776 
 1   9.37  0.09  1.58822  1.657 3.659  2.563  9.40  0.134 0.00 10.029 10.604 14.240 12.633 11.322 10.574 10.981  7.858  1.588 
 1   9.37  0.09  1.26755  0.476 3.799  4.208 11.20  0.142 0.78 14.534 14.683 16.664 15.653 15.058 14.664 14.863 11.775  1.268 
 1   9.37  0.13  1.09735  0.117 3.771  4.390  8.20  0.128 0.98 11.986 12.147 14.283 13.258 12.566 12.127 12.347  9.245  1.097 
 1   9.37  0.21  1.14890  0.215 3.777  4.336  9.40  0.119 0.00 13.633 13.764 15.858 14.833 14.167 13.745 13.955 10.859  1.149 
 1   9.37  0.25  0.74008 -0.785 3.654  4.654  8.60  0.105 0.83 14.914 15.655 19.306 17.590 16.325 15.587 16.050 12.875  0.740 
 1   9.37  0.35  0.78200 -0.673 3.668  4.625  9.10  0.123 0.00 15.554 16.110 19.584 17.976 16.728 16.049 16.452 13.290  0.782 
 1   9.39 -0.41  1.37385  0.881 3.816  3.907 12.20  0.143 0.00 14.767 14.921 16.683 15.677 15.233 14.904 15.069 12.001  1.374 
 1   9.39 -0.21  1.10227  0.233 3.799  4.390  8.50  0.119 0.00 12.689 12.825 14.603 13.693 13.173 12.807 12.988  9.899  1.102 
 1   9.39 -0.21  0.87852 -0.298 3.736  4.568  9.20  0.110 0.00 14.715 14.944 17.260 16.198 15.409 14.920 15.172 12.048  0.879 
 1   9.39 -0.19  1.18319  0.422 3.815  4.297  9.20  0.141 0.00 12.916 13.060 14.809 13.859 13.381 13.043 13.214 10.143  1.183 
 1   9.39 -0.19  1.75728  0.808 3.811  3.964  9.80  0.107 0.80 12.551 12.656 14.455 13.451 12.973 12.638 12.805  9.732  1.397 
 1   9.39 -0.17  1.00315 -0.019 3.768  4.476  8.60  0.107 0.00 13.416 13.575 15.572 14.621 13.980 13.555 13.766 10.657  1.003 
 1   9.39 -0.17  1.46935  0.929 3.798  3.815 11.70  0.124 0.00 14.147 14.275 16.158 15.136 14.620 14.258 14.437 11.353  1.469 
 1   9.39 -0.15  0.53417 -1.258 3.613  4.821  7.30  0.089 0.00 15.216 16.133 19.912 18.160 16.897 16.066 16.601 13.417  0.534 
 1   9.39 -0.09  0.98021 -0.092 3.756  4.490 10.10  0.119 0.00 15.100 15.287 17.438 16.431 15.721 15.266 15.496 12.382  0.980 
 1   9.39 -0.09  0.90580 -0.273 3.734  4.550 10.90  0.126 0.00 16.353 16.599 18.994 17.896 17.075 16.574 16.833 13.712  0.906 
 1   9.39 -0.05  0.85739 -0.412 3.714  4.584  8.50  0.125 0.00 14.300 14.611 17.268 16.057 15.122 14.579 14.869 11.739  0.857 
 1   9.39  0.05  1.21062  0.389 3.796  4.262 10.60  0.085 0.80 14.134 14.236 16.193 15.202 14.605 14.216 14.410 11.318  1.211 
 1   9.39  0.07  1.14897  0.258 3.785  4.328  9.90  0.119 0.00 14.025 14.154 16.127 15.139 14.533 14.135 14.333 11.240  1.149 
 1   9.39  0.19  1.54766  0.988 3.776  3.689  9.10  0.109 0.00 11.401 11.515 13.672 12.569 11.916 11.497 11.704  8.612  1.548 
 1   9.39  0.21  0.41091 -1.613 3.572  4.898  6.00  0.071 0.90 14.180 15.659 19.735 17.685 16.581 15.591 16.223 13.107  0.411 
 1   9.39  0.41  0.92993 -0.295 3.720  4.526 10.70  0.128 0.75 15.964 16.331 19.239 17.925 16.882 16.294 16.613 13.486  0.930 
 1   9.41 -0.41  0.99847  0.091 3.790  4.452 10.80  0.153 0.00 15.342 15.539 17.322 16.443 15.910 15.521 15.714 12.615  0.998 
 1   9.41 -0.29  1.05731  0.180 3.798  4.420  9.90  0.130 0.94 13.640 13.804 15.610 14.711 14.170 13.785 13.975 10.879  1.057 
 1   9.41 -0.27  1.38882  0.840 3.804  3.904 10.00  0.134 0.91 12.147 12.286 14.064 13.069 12.603 12.269 12.437  9.367  1.389 
 1   9.41 -0.25  0.85842 -0.330 3.733  4.580 10.70  0.136 0.00 16.295 16.558 18.903 17.832 17.033 16.534 16.793 13.668  0.858 
 1   9.41 -0.21  0.89775 -0.249 3.742  4.553 11.00  0.136 0.00 16.393 16.633 18.897 17.857 17.094 16.611 16.859 13.738  0.898 
 1   9.41 -0.19  0.72868 -0.709 3.676  4.658  9.00  0.119 0.00 15.543 16.033 19.132 17.709 16.602 15.981 16.338 13.183  0.729 
 1   9.41 -0.09  0.59852 -1.106 3.625  4.768  8.00  0.113 0.77 15.134 16.063 19.847 18.088 16.816 15.996 16.522 13.338  0.599 
 1   9.41 -0.07  0.76843 -0.638 3.682  4.635  6.50  0.076 0.00 12.864 13.278 16.315 14.920 13.830 13.228 13.569 10.418  0.768 
 1   9.41 -0.07  1.06324  0.098 3.776  4.418  8.50  0.103 0.87 12.595 12.752 14.813 13.829 13.163 12.732 12.948  9.840  1.063 
 1   9.41 -0.03  0.89810 -0.312 3.727  4.557  8.20  0.135 0.84 13.362 13.700 16.343 15.143 14.214 13.666 13.962 10.830  0.898 
 1   9.41  0.07  1.32490  0.588 3.799  4.113 10.10  0.124 0.00 13.401 13.515 15.427 14.419 13.867 13.497 13.681 10.600  1.325 
 1   9.41  0.13  1.04653  0.010 3.759  4.431 11.00  0.135 0.84 15.400 15.628 17.977 16.885 16.089 15.603 15.854 12.741  1.047 
 1   9.41  0.25  1.33347  0.558 3.790  4.113 11.70  0.156 0.00 15.076 15.220 17.281 16.224 15.604 15.202 15.404 12.322  1.333 
 1   9.43 -0.43  1.30757  0.787 3.821  3.998  9.90  0.114 0.83 12.396 12.526 14.224 13.264 12.829 12.509 12.669  9.600  1.308 
 1   9.43 -0.39  1.10005  0.354 3.813  4.324 11.50  0.123 0.90 14.933 15.087 16.809 15.911 15.424 15.070 15.245 12.161  1.100 
 1   9.43 -0.29  0.86755 -0.290 3.740  4.572  9.20  0.131 0.82 14.352 14.657 17.041 15.959 15.140 14.628 14.899 11.770  0.868 
 1   9.43 -0.19  0.85787 -0.352 3.728  4.581  8.70  0.107 0.00 14.350 14.595 17.006 15.905 15.074 14.570 14.831 11.706  0.858 
 1   9.43 -0.13  0.72449 -0.741 3.669  4.661  9.10  0.113 0.00 15.722 16.251 19.457 17.982 16.836 16.195 16.569 13.408  0.724 
 1   9.43 -0.07  0.88793 -0.320 3.727  4.562  8.30  0.100 0.84 13.493 13.798 16.398 15.216 14.302 13.764 14.053 10.920  0.888 
 1   9.43 -0.07  0.99987 -0.043 3.760  4.468 11.20  0.126 0.00 16.077 16.261 18.380 17.380 16.687 16.240 16.466 13.355  1.000 
 1   9.43 -0.05  1.47741  0.875 3.700  3.480 11.60  0.154 0.00 14.184 14.560 17.436 16.142 15.139 14.536 14.855 11.734  1.477 
 1   9.43 -0.03  0.92903 -0.228 3.737  4.528  8.40  0.114 0.00 13.741 13.964 16.340 15.247 14.433 13.940 14.194 11.074  0.929 
 1   9.43 -0.01  0.83186 -0.490 3.701  4.598  7.60  0.102 0.00 13.596 13.933 16.757 15.469 14.462 13.895 14.202 11.067  0.832 
 1   9.43  0.03  1.06843  0.092 3.772  4.407 11.80  0.133 0.74 16.143 16.354 18.506 17.484 16.782 16.330 16.563 13.454  1.068 
 1   9.43  0.07  0.80231 -0.590 3.682  4.606  6.00  0.070 0.00 12.245 12.655 15.759 14.333 13.214 12.604 12.949  9.799  0.802 
 1   9.43  0.07  1.33055  0.600 3.796  4.091  9.80  0.113 0.71 12.913 13.034 15.012 13.992 13.403 13.015 13.209 10.122  1.331 
 1   9.43  0.09  1.11716  0.191 3.778  4.354 12.20  0.110 0.87 16.086 16.236 18.350 17.331 16.649 16.215 16.432 13.329  1.117 
 1   9.43  0.21  1.36865  0.614 3.786  4.050 10.10  0.126 0.86 12.924 13.050 15.117 14.071 13.438 13.031 13.234 10.146  1.369 
 1   9.43  0.27  0.38420 -1.683 3.567  4.921  2.80  0.015 0.00 11.779 13.223 17.284 15.231 14.137 13.156 13.778 10.665  0.384 
 1   9.43  0.27  1.32607  0.549 3.788  4.110 11.80  0.126 0.84 14.831 14.956 17.052 15.997 15.348 14.936 15.142 12.054  1.326 
 1   9.45 -0.47  0.72671 -0.614 3.699  4.654 10.10  0.136 0.86 15.973 16.427 19.236 17.960 16.974 16.387 16.716 13.569  0.727 
 1   9.45 -0.37  1.03376  0.197 3.804  4.416 12.30  0.141 0.00 16.576 16.747 18.466 17.581 17.090 16.729 16.908 13.822  1.034 
 1   9.45 -0.33  1.49662  0.638 3.829  4.156  9.70  0.126 0.83 12.873 13.002 14.697 13.716 13.290 12.985 13.141 10.085  1.245 
 1   9.45 -0.29  1.20875  0.546 3.828  4.233 11.10  0.152 0.00 14.505 14.659 16.365 15.393 14.956 14.642 14.804 11.747  1.209 
 1   9.45 -0.25  1.15830  0.423 3.817  4.293  9.10  0.116 0.80 12.551 12.688 14.465 13.522 13.022 12.670 12.847  9.768  1.158 
 1   9.45 -0.25  1.07923  0.220 3.799  4.393  9.40  0.118 0.00 13.619 13.758 15.521 14.619 14.104 13.740 13.919 10.830  1.079 
 1   9.45 -0.23  0.84597 -0.365 3.728  4.588 10.70  0.098 0.00 16.382 16.620 19.011 17.920 17.096 16.595 16.855 13.729  0.846 
 1   9.45 -0.23  0.90210 -0.225 3.745  4.546 11.50  0.125 0.89 16.354 16.611 18.938 17.874 17.081 16.585 16.843 13.719  0.902 
 1   9.45 -0.21  0.53480 -1.241 3.616  4.819  7.50  0.090 0.77 14.946 15.897 19.693 17.938 16.676 15.832 16.373 13.191  0.535 
 1   9.45 -0.19  0.92669 -0.178 3.749  4.527  8.20  0.122 0.86 13.004 13.252 15.556 14.501 13.718 13.227 13.481 10.358  0.927 
 1   9.45 -0.19  0.84426 -0.386 3.723  4.590  8.40  0.106 0.00 14.134 14.392 16.857 15.733 14.879 14.365 14.633 11.506  0.844 
 1   9.45 -0.17  0.57725 -1.139 3.625  4.783  6.80  0.083 1.00 13.667 14.484 18.183 16.480 15.203 14.417 14.915 11.727  0.577 
 1   9.45 -0.09  0.81282 -0.511 3.701  4.609  8.30  0.109 0.86 13.918 14.344 17.272 15.941 14.896 14.300 14.635 11.489  0.813 
 1   9.45 -0.07  1.66686  2.067 3.640  2.048 12.70  0.113 0.89 12.302 12.981 16.889 15.155 13.752 12.951 13.394 10.270  1.484 
 1   9.45 -0.05  0.96399 -0.131 3.749  4.496 11.10  0.103 0.00 16.196 16.377 18.595 17.563 16.820 16.355 16.590 13.474  0.964 
 1   9.45 -0.03  0.67093 -0.924 3.643  4.707  8.50  0.122 0.00 15.580 16.307 19.887 18.231 16.968 16.240 16.693 13.511  0.671 
 1   9.45 -0.03  0.88749 -0.334 3.724  4.562 10.70  0.115 0.00 16.305 16.565 19.093 17.939 17.057 16.537 16.809 13.684  0.887 
 1   9.45 -0.03  1.05542  0.090 3.773  4.409 12.10  0.137 0.00 16.645 16.815 18.841 17.863 17.220 16.796 17.008 13.905  1.055 
 1   9.45  0.03  1.50134  2.174 3.627  1.895 10.40  0.137 0.00  9.735 10.545 14.799 12.899 11.376 10.512 10.996  7.871  1.501 
 1   9.45  0.05  1.09852  0.163 3.777  4.370  9.40  0.134 0.73 13.581 13.778 15.890 14.874 14.195 13.755 13.980 10.875  1.099 
 1   9.45  0.05  0.87885 -0.381 3.713  4.563  9.60  0.112 0.00 15.323 15.620 18.320 17.090 16.134 15.587 15.878 12.749  0.879 
 1   9.45  0.07  1.51131  1.717 3.666  2.510  7.10  0.090 0.00  7.577  8.058 11.561 10.011  8.749  8.032  8.415  5.296  1.511 
 1   9.45  0.07  0.81448 -0.556 3.687  4.597 10.30  0.109 0.75 16.193 16.705 19.853 18.413 17.291 16.654 17.022 13.871  0.814 
 1   9.45  0.07  1.35972  0.646 3.789  4.028 11.40  0.130 0.00 14.554 14.685 16.673 15.645 15.058 14.667 14.861 11.774  1.360 
 1   9.45  0.09  0.88594 -0.373 3.713  4.557 10.30  0.123 0.81 15.669 16.060 18.914 17.620 16.603 16.021 16.342 13.205  0.886 
 1   9.45  0.15  1.16670  0.288 3.782  4.293  9.90  0.155 0.77 13.732 13.924 16.066 15.022 14.341 13.903 14.126 11.029  1.167 
 1   9.45  0.17  0.94428 -0.243 3.728  4.512 10.40  0.129 0.00 15.777 16.035 18.629 17.448 16.536 16.008 16.282 13.162  0.944 
 1   9.45  0.17  0.94197 -0.249 3.727  4.514 10.60  0.144 0.71 15.804 16.153 18.838 17.622 16.678 16.121 16.420 13.294  0.942 
 1   9.45  0.25  0.72882 -0.810 3.651  4.659  9.10  0.094 0.00 15.895 16.550 20.172 18.480 17.198 16.483 16.925 13.748  0.729 
 1   9.45  0.27  0.85004 -0.492 3.692  4.574  9.70  0.102 0.00 15.701 16.088 19.188 17.773 16.650 16.042 16.379 13.238  0.850 
 1   9.47 -0.31  1.42334  1.816 3.687  2.471 10.70  0.111 0.81 10.884 11.259 14.133 12.828 11.852 11.239 11.564  8.449  1.423 
 1   9.47 -0.29  0.82970 -0.381 3.728  4.596  8.90  0.116 0.88 14.160 14.473 16.988 15.846 14.972 14.442 14.725 11.592  0.830 
 1   9.47 -0.29  1.13278  0.404 3.818  4.304 10.70  0.139 0.99 13.726 13.876 15.590 14.656 14.193 13.859 14.027 10.957  1.133 
 1   9.47 -0.27  0.69221 -0.784 3.667  4.678  8.80  0.100 0.74 15.239 15.841 19.088 17.600 16.453 15.784 16.182 13.017  0.692 
 1   9.47 -0.23  1.44672  1.776 3.685  2.508 10.50  0.126 0.95 10.705 11.093 14.013 12.697 11.695 11.073 11.402  8.285  1.447 
 1   9.47 -0.19  0.90252 -0.235 3.742  4.544 11.10  0.147 0.00 16.457 16.706 18.975 17.932 17.169 16.684 16.933 13.813  0.903 
 1   9.47 -0.09  1.17526  0.373 3.802  4.289  8.60  0.114 0.88 12.022 12.151 14.021 13.068 12.511 12.133 12.321  9.231  1.175 
 1   9.47 -0.07  0.90156 -0.280 3.732  4.548 10.50  0.126 0.98 15.281 15.539 17.995 16.872 16.024 15.513 15.778 12.655  0.902 
 1   9.47 -0.05  1.83786  1.395 3.674  2.849  8.00  0.119 0.79  9.281  9.742 13.009 11.558 10.393  9.715 10.079  6.957  1.456 
 1   9.47 -0.05  0.63137 -1.025 3.633  4.740  8.10  0.101 0.00 15.432 16.215 19.883 18.183 16.908 16.147 16.628 13.441  0.631 
 1   9.47 -0.05  1.07711  0.146 3.780  4.389 11.00  0.119 0.00 15.405 15.549 17.508 16.546 15.936 15.530 15.732 12.632  1.077 
 1   9.47 -0.03  0.83699 -0.465 3.705  4.593  9.40  0.104 0.00 15.334 15.657 18.419 17.159 16.178 15.621 15.921 12.787  0.837 
 1   9.47 -0.01  0.90074 -0.304 3.727  4.551  9.90  0.145 0.00 15.430 15.710 18.227 17.078 16.204 15.683 15.956 12.833  0.901 
 1   9.47  0.01  1.46683  1.461 3.668  2.762 10.40  0.119 0.98 11.320 11.788 15.047 13.602 12.438 11.760 12.124  9.002  1.467 
 1   9.47  0.03  0.63123 -1.041 3.628  4.738  8.10  0.122 0.93 14.858 15.750 19.536 17.766 16.484 15.681 16.199 13.012  0.631 
 1   9.47  0.03  1.44927  0.828 3.696  3.501  9.90  0.117 0.74 12.412 12.735 15.449 14.228 13.282 12.710 13.010  9.893  1.449 
 1   9.47  0.07  1.47399  1.469 3.665  2.743  9.10  0.111 0.00 10.198 10.712 14.201 12.654 11.398 10.682 11.070  7.946  1.474 
 1   9.47  0.09  1.26186  0.489 3.792  4.162 10.00  0.128 0.00 13.546 13.672 15.635 14.625 14.041 13.654 13.847 10.761  1.262 
 1   9.47  0.11  0.97996 -0.135 3.744  4.484  9.70  0.125 0.00 14.807 15.018 17.391 16.294 15.485 14.995 15.245 12.130  0.980 
 1   9.47  0.15  0.68054 -0.928 3.637  4.694  8.10  0.095 0.00 15.191 15.955 19.653 17.918 16.639 15.886 16.363 13.181  0.681 
 1   9.47  0.19  1.81264  0.479 3.785  4.151 12.60  0.129 0.70 16.173 16.302 18.354 17.316 16.688 16.283 16.486 13.397  1.277 
 1   9.49 -0.55  1.29041  0.956 3.814  3.795  9.90  0.118 0.00 12.280 12.418 14.160 13.158 12.726 12.402 12.562  9.490  1.290 
 1   9.49 -0.43  0.59389 -1.024 3.645  4.761  7.40  0.085 0.00 14.730 15.385 18.766 17.219 16.021 15.323 15.745 12.569  0.594 
 1   9.49 -0.41  0.98627  0.082 3.788  4.449 11.30  0.106 0.00 15.865 16.017 17.783 16.911 16.380 15.998 16.185 13.085  0.986 
 1   9.49 -0.25  1.24882  0.613 3.818  4.137  9.60  0.139 0.85 12.485 12.633 14.398 13.438 12.959 12.615 12.788  9.714  1.249 
 1   9.49 -0.25  1.07189  0.215 3.798  4.390 10.00  0.121 0.92 13.721 13.873 15.703 14.792 14.241 13.855 14.046 10.949  1.072 
 1   9.49 -0.25  0.86470 -0.305 3.736  4.570 10.60  0.153 0.00 16.132 16.404 18.725 17.664 16.878 16.381 16.639 13.516  0.865 
 1   9.49 -0.19  0.77896 -0.564 3.697  4.627  8.90  0.104 0.83 14.692 15.135 18.064 16.732 15.690 15.090 15.429 12.280  0.779 
 1   9.49 -0.19  1.33373  0.734 3.794  3.952 10.00  0.138 0.00 12.934 13.086 14.970 13.976 13.444 13.069 13.255 10.167  1.334 
 1   9.49 -0.05  0.86962 -0.367 3.720  4.570  8.60  0.110 0.00 14.286 14.557 17.124 15.953 15.054 14.528 14.805 11.678  0.870 
 1   9.49 -0.03  1.42524  0.958 3.691  3.343 11.30  0.117 0.00 13.674 14.058 17.056 15.710 14.653 14.031 14.362 11.239  1.425 
 1   9.49 -0.01  1.22870  0.468 3.796  4.190  9.90  0.137 0.95 12.877 13.017 14.919 13.938 13.379 12.999 13.189 10.102  1.229 
 1   9.49 -0.01  0.85419 -0.423 3.710  4.580 10.30  0.128 0.00 16.128 16.454 19.173 17.934 16.973 16.420 16.717 13.586  0.854 
 1   9.49 -0.01  1.09433  0.203 3.782  4.347 11.70  0.136 0.00 15.962 16.117 18.089 17.113 16.504 16.098 16.301 13.204  1.094 
 1   9.49  0.05  0.83242 -0.500 3.695  4.585 10.40  0.136 0.71 16.196 16.682 19.708 18.331 17.255 16.637 16.987 13.843  0.832 
 1   9.49  0.07  1.30274  0.564 3.788  4.085 11.70  0.098 0.70 14.918 15.035 17.058 16.033 15.417 15.016 15.215 12.123  1.303 
 1   9.49  0.11  0.87255 -0.408 3.707  4.561 10.60  0.146 0.88 15.923 16.348 19.313 17.967 16.905 16.305 16.638 13.499  0.873 
 1   9.49  0.13  1.32000  0.569 3.782  4.065 11.20  0.108 0.80 14.251 14.373 16.441 15.407 14.767 14.354 14.559 11.465  1.320 
 1   9.49  0.15  1.89154  0.949 4.313  5.637 11.60  0.111 0.00 13.997 16.095 16.224 16.065 16.024 16.084 15.994 12.943  0.891 
 1   9.49  0.21  1.09475  0.124 3.767  4.366 10.60  0.119 0.74 14.875 15.072 17.344 16.269 15.515 15.048 15.287 12.180  1.095 
 1   9.49  0.39  0.73899 -0.780 3.654  4.649  9.10  0.105 0.00 15.819 16.466 20.123 18.410 17.116 16.399 16.842 13.668  0.739 
 1   9.51 -0.53  1.06441  0.307 3.817  4.371 12.40  0.148 0.76 16.189 16.387 18.109 17.211 16.729 16.370 16.551 13.469  1.064 
 1   9.51 -0.47  0.97522  0.064 3.789  4.465  9.90  0.137 0.00 14.509 14.696 16.454 15.590 15.065 14.678 14.868 11.768  0.975 
 1   9.51 -0.31  1.09249  0.340 3.812  4.332 10.50  0.130 0.00 14.420 14.566 16.281 15.363 14.890 14.549 14.719 11.644  1.092 
 1   9.51 -0.27  1.35441  0.954 3.702  3.370  6.80  0.093 0.00  9.185  9.496 12.212 10.979 10.047  9.474  9.775  6.653  1.354 
