#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   u      g      r      i      z        Mact
 1   7.33 -0.01  0.05581 -2.484 3.449  4.410  9.00  0.360 0.00 19.979 28.419 24.612 22.846 20.947 19.819  0.056 
 1   7.41 -0.03  0.49636 -1.394 3.597  4.862  8.50  0.356 0.00 16.754 21.506 18.940 17.550 16.902 16.483  0.496 
 1   7.49  0.01  0.15020 -1.852 3.503  4.426  9.20  0.318 0.80 18.013 24.801 21.571 19.946 18.569 17.740  0.150 
 1   7.81 -0.19  0.17258 -2.077 3.513  4.687 10.10  0.360 0.87 19.379 25.823 22.595 20.967 19.813 19.112  0.149 
 1   7.83 -0.13  0.11808 -2.265 3.497  4.708  9.40  0.320 0.00 19.832 26.812 23.431 21.759 20.384 19.567  0.118 
 1   7.91  0.33  0.26190 -2.040 3.543  5.015  8.20  0.297 0.00 18.070 23.871 20.910 19.402 18.375 17.751  0.262 
 1   7.99 -0.07  1.20680  0.274 3.802  4.399 12.30  0.314 0.00 16.384 18.137 16.960 16.547 16.440 16.410  1.207 
 1   7.99  0.15  1.20284  0.220 3.785  4.386  6.80  0.227 0.00 11.021 12.839 11.546 11.079 10.967 10.938  1.203 
 1   8.01 -0.01  0.14169 -2.374 3.501  4.914  8.90  0.305 0.77 19.055 25.942 22.675 21.040 19.629 18.781  0.142 
 1   8.11 -0.09  0.11580 -2.525 3.491  4.935  9.70  0.337 0.94 20.077 27.280 23.849 22.161 20.699 19.829  0.116 
 1   8.15  0.13  0.36393 -1.743 3.566  4.953  8.30  0.312 0.82 16.875 22.294 19.506 18.054 17.125 16.555  0.364 
 1   8.17 -0.07  0.26647 -1.989 3.558  5.032  7.70  0.316 0.73 16.956 22.606 19.681 18.173 17.227 16.645  0.266 
 1   8.17 -0.07  0.09933 -2.641 3.479  4.937  7.90  0.323 0.00 19.273 26.742 23.228 21.522 19.957 19.033  0.099 
 1   8.17  0.17  0.14867 -2.356 3.497  4.900  8.40  0.298 0.85 18.454 25.406 22.121 20.481 19.043 18.181  0.149 
 1   8.21 -0.05  0.25378 -2.030 3.555  5.039  7.90  0.259 0.89 17.112 22.689 19.770 18.282 17.343 16.773  0.254 
 1   8.21  0.43  0.11808 -2.541 3.479  4.912  8.50  0.368 0.00 19.622 27.073 23.628 21.927 20.349 19.404  0.118 
 1   8.27  0.29  0.17128 -2.317 3.511  4.978  9.10  0.332 0.93 18.940 25.556 22.381 20.772 19.458 18.663  0.171 
 1   8.29  0.07  0.10466 -2.632 3.475  4.937  9.00  0.383 0.00 20.351 27.925 24.441 22.725 21.111 20.145  0.105 
 1   8.31 -0.11  0.27243 -1.965 3.562  5.031  7.10  0.304 0.00 16.781 22.199 19.352 17.867 16.997 16.460  0.272 
 1   8.39 -0.01  0.24706 -2.059 3.551  5.041 10.30  0.361 0.98 19.483 25.244 22.289 20.773 19.794 19.194  0.247 
 1   8.41  0.05  0.24899 -2.060 3.548  5.034  9.30  0.388 0.00 19.220 25.070 22.095 20.566 19.562 18.945  0.249 
 1   8.41  0.09  0.50398 -1.386 3.594  4.849  6.20  0.247 0.76 13.998 18.798 16.229 14.871 14.125 13.659  0.504 
 1   8.41  0.13  0.21235 -2.205 3.536  5.062  8.50  0.314 0.00 18.783 24.758 21.743 20.209 19.129 18.474  0.212 
 1   8.43  0.09  0.14634 -2.403 3.498  4.944  7.20  0.289 0.00 17.977 24.755 21.524 19.903 18.520 17.691  0.146 
 1   8.45  0.15  0.14638 -2.410 3.495  4.940  8.50  0.351 0.77 18.772 25.905 22.571 20.906 19.424 18.531  0.146 
 1   8.47 -0.05  0.26468 -1.998 3.557  5.032  7.80  0.314 0.00 17.564 23.109 20.224 18.733 17.814 17.249  0.265 
 1   8.51  0.09  0.51697 -1.353 3.597  4.838  7.70  0.287 0.00 15.854 20.536 17.994 16.643 15.975 15.551  0.517 
 1   8.51  0.25  0.16073 -2.371 3.503  4.972  9.20  0.326 0.00 19.898 26.608 23.403 21.784 20.436 19.623  0.161 
 1   8.53  0.11  0.11234 -2.644 3.476  4.982  8.60  0.337 0.00 19.980 27.466 24.004 22.305 20.705 19.750  0.112 
 1   8.53  0.13  0.12366 -2.572 3.482  4.976  8.70  0.313 0.83 19.316 26.765 23.313 21.626 20.030 19.077  0.124 
 1   8.53  0.51  0.27207 -2.008 3.545  5.009  9.20  0.305 0.00 18.991 24.762 21.809 20.304 19.292 18.676  0.272 
 1   8.57  0.09  4.41971 -1.813 4.309  8.353  6.90  0.257 0.00 16.201 18.312 18.232 18.579 18.859 19.119  0.833 
 1   8.57  0.35  0.21728 -2.194 3.534  5.052  9.30  0.332 0.00 19.556 25.601 22.570 21.027 19.926 19.257  0.217 
 1   8.59 -0.39  0.59818 -1.042 3.642  4.770  7.60  0.317 0.00 14.975 18.889 16.577 15.427 15.012 14.751  0.598 
 1   8.59 -0.05  0.43980 -1.525 3.587  4.899  8.10  0.251 0.00 16.683 21.465 18.889 17.508 16.790 16.340  0.440 
 1   8.59  0.11  0.28330 -1.963 3.552  5.008  9.60  0.390 0.00 19.278 25.046 22.108 20.592 19.609 19.002  0.283 
 1   8.59  0.33  0.40966 -1.626 3.572  4.909  9.50  0.361 0.00 18.336 23.623 20.982 19.590 18.624 18.038  0.410 
 1   8.63 -0.01  0.39139 -1.655 3.576  4.936  8.70  0.348 0.00 17.607 22.745 20.084 18.650 17.818 17.293  0.391 
 1   8.63  0.53  0.33543 -1.825 3.558  4.968  7.70  0.298 0.00 17.034 22.520 19.716 18.278 17.302 16.712  0.335 
 1   8.65 -0.07  0.58020 -1.168 3.619  4.792 10.30  0.377 0.00 17.990 22.478 19.949 18.632 18.110 17.771  0.580 
 1   8.65  0.29  0.28091 -1.981 3.547  5.003  7.60  0.252 0.96 16.608 22.280 19.351 17.866 16.869 16.267  0.281 
 1   8.67 -0.39  0.15504 -2.380 3.523  5.047  7.00  0.265 0.00 17.721 24.116 20.768 19.115 18.049 17.413  0.155 
 1   8.67  0.21  0.10993 -2.721 3.468  5.018  8.30  0.307 0.00 19.873 27.612 24.039 22.328 20.644 19.646  0.110 
 1   8.67  0.33  0.47655 -1.461 3.585  4.861 12.70  0.370 0.94 20.458 25.578 23.001 21.639 20.729 20.173  0.477 
 1   8.69 -0.11  2.42845  1.753 3.955  3.837  9.10  0.408 0.00  9.487 11.144  9.927 10.003 10.130 10.204  2.428 
 1   8.69 -0.11  0.22369 -2.129 3.552  5.070  9.80  0.328 0.00 19.894 25.622 22.632 21.103 20.166 19.592  0.224 
 1   8.69 -0.01  0.11473 -2.682 3.480  5.044  7.90  0.332 0.76 18.944 26.683 23.120 21.405 19.739 18.735  0.115 
 1   8.69  0.27  0.26190 -2.039 3.543  5.014  9.40  0.401 0.00 19.267 25.231 22.231 20.690 19.643 19.000  0.262 
 1   8.69  0.35  0.47108 -1.474 3.583  4.864  8.30  0.309 0.97 16.041 21.063 18.512 17.174 16.273 15.727  0.471 
 1   8.69  0.45  0.42525 -1.587 3.574  4.897  9.80  0.367 0.74 18.094 23.468 20.805 19.407 18.407 17.804  0.425 
 1   8.71  0.25  1.26650  0.348 3.797  4.325 10.40  0.352 0.00 14.299 16.251 14.930 14.458 14.341 14.303  1.266 
 1   8.71  0.29  0.16760 -2.388 3.507  5.022  7.70  0.291 0.00 18.439 25.020 21.841 20.241 18.931 18.143  0.168 
 1   8.73 -0.05  1.01902 -0.073 3.757  4.494  9.80  0.294 0.00 14.752 16.894 15.475 14.891 14.721 14.643  1.019 
 1   8.73 -0.01  0.20185 -2.228 3.541  5.080  9.50  0.352 0.77 19.308 25.496 22.427 20.862 19.725 19.027  0.202 
 1   8.75  0.01  0.16728 -2.382 3.514  5.047  8.90  0.349 0.99 18.887 25.413 22.248 20.645 19.378 18.611  0.167 
 1   8.75  0.11  0.19108 -2.287 3.528  5.064 10.30  0.354 0.86 20.174 26.558 23.439 21.852 20.637 19.896  0.191 
 1   8.75  0.19  0.16247 -2.419 3.503  5.025  7.70  0.362 0.00 18.517 25.301 22.068 20.433 19.079 18.260  0.162 
 1   8.77  0.01  0.31146 -1.870 3.562  4.996  9.70  0.335 0.00 19.146 24.583 21.775 20.305 19.398 18.836  0.311 
 1   8.77  0.05  0.73794 -0.782 3.658  4.667  8.70  0.320 0.00 15.426 19.248 16.906 15.808 15.439 15.210  0.738 
 1   8.77  0.25  0.21336 -2.208 3.533  5.055  7.40  0.317 0.72 17.212 23.485 20.401 18.836 17.646 16.918  0.213 
 1   8.77  0.53  0.28903 -1.956 3.549  4.997  9.40  0.323 0.84 18.475 24.282 21.321 19.809 18.791 18.170  0.289 
 1   8.79 -0.19  1.86410  1.256 3.935  4.137 10.20  0.428 0.00 11.830 13.538 12.288 12.294 12.386 12.454  1.864 
 1   8.79 -0.01  0.13729 -2.567 3.493  5.059  9.40  0.275 0.00 20.586 27.555 24.224 22.582 21.151 20.300  0.137 
 1   8.81 -0.33  0.10888 -2.767 3.486  5.131  8.00  0.322 0.00 19.689 27.416 23.549 21.763 20.280 19.440  0.109 
 1   8.81 -0.17  0.55619 -1.204 3.619  4.809  9.00  0.353 0.97 16.086 20.524 18.024 16.709 16.186 15.849  0.556 
 1   8.81 -0.07  0.09937 -2.896 3.462  5.125  6.30  0.207 1.00 17.558 25.632 21.781 20.048 18.295 17.292  0.099 
 1   8.81 -0.03  0.41102 -1.599 3.581  4.919  8.80  0.272 0.96 16.865 21.824 19.204 17.800 17.012 16.520  0.411 
 1   8.81 -0.03  0.51176 -1.352 3.601  4.847 13.00  0.296 0.70 20.779 25.504 22.939 21.562 20.899 20.473  0.512 
 1   8.81  0.03  0.11546 -2.743 3.475  5.091  7.70  0.292 0.00 19.328 26.871 23.330 21.630 20.024 19.075  0.115 
 1   8.81  0.09  0.13324 -2.615 3.485  5.064  8.80  0.301 0.00 20.107 27.336 23.922 22.252 20.742 19.845  0.133 
 1   8.81  0.13  0.32133 -1.857 3.558  4.981  8.90  0.315 0.00 18.312 23.809 20.977 19.512 18.572 17.995  0.321 
 1   8.83  0.05  0.23201 -2.122 3.545  5.050 10.70  0.363 0.00 20.775 26.662 23.673 22.143 21.116 20.488  0.232 
 1   8.83  0.11  0.37226 -1.716 3.568  4.944  7.40  0.232 0.00 16.460 21.599 18.918 17.518 16.634 16.096  0.372 
 1   8.83  0.15  0.15186 -2.494 3.496  5.042  9.40  0.337 0.86 19.832 26.961 23.600 21.933 20.463 19.581  0.152 
 1   8.83  0.21  0.16793 -2.418 3.506  5.051  8.40  0.378 0.00 19.214 25.966 22.734 21.099 19.767 18.961  0.168 
 1   8.83  0.23  0.18678 -2.323 3.520  5.060  8.60  0.328 0.00 19.178 25.507 22.395 20.818 19.613 18.883  0.187 
 1   8.85 -0.19  0.55174 -1.210 3.619  4.812 10.20  0.333 0.00 17.996 22.369 19.885 18.586 18.078 17.753  0.552 
 1   8.85 -0.17  0.20275 -2.198 3.550  5.090 10.10  0.323 0.92 19.707 25.594 22.520 20.961 19.996 19.408  0.203 
